Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AsyncChatEvent.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,35,7,25,14,5,3,,,,9,15,10,5,,,,,,1,1,1,1,,,0,,,,"0.12",5,5,5,5
File,"ChatEvent.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,29,5,8,7,0,16,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,"2.00",0,0,0,0
File,"MVAsyncPlayerChatListener.java",1,1,1,1,6,0,4,2,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,34,6,15,9,3,13,,,,8,11,8,3,,,,,,1,1,1,1,,,0,,,,"0.87",2,2,2,2
File,"MVChatListener.java",4,4,4,3,23,0,19,3,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,66,6,50,17,27,10,,,,29,39,17,25,,,,,,7,7,7,5,,,3,,,,"0.20",8,8,8,6
File,"MVPlayerChatListener.java",1,1,1,1,6,0,4,2,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,35,6,16,10,3,14,,,,8,11,8,3,,,,,,1,1,1,1,,,0,,,,"0.88",2,2,2,2
File,"NormalChatEvent.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,37,7,26,15,5,4,,,,9,15,10,5,,,,,,1,1,1,1,,,0,,,,"0.15",5,5,5,5
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.onarandombox",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.onarandombox.MultiverseCore",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.onarandombox.MultiverseCore.listeners",1,1,1,1,6,0,5,0,,,,,6,0,0,,6,,20,5,20,,4,0,0,16,,236,37,140,72,43,60,,,,69,98,60,41,,,,,,7,7,7,5,,,3,,,,"0.43",22,22,22,20
