Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"PodamFactoryImpl.java",6,6,7,2,64,10,34,19,,,,,1,0,7,44,,44,44,3,44,,0,37,0,7,,2985,514,1573,444,1133,898,,,,647,942,330,729,,,,,,26,26,30,10,,,5,,,,"0.57",297,297,341,94
Package,"uk",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.co",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.co.jemos",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.co.jemos.podam",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.co.jemos.podam.api",6,6,7,2,64,10,34,19,,,,,1,0,7,,1,,44,3,44,,0,37,0,7,,2985,514,1573,444,1133,898,,,,647,942,330,729,,,,,,26,26,30,10,,,5,,,,"0.57",297,297,341,94
Public Class,"uk.co.jemos.podam.api.PodamFactoryImpl",6,6,7,2,64,10,34,19,2,72,72,0,,0,7,,,,44,3,44,44,0,37,0,7,,2933,509,1526,397,1133,898,,,,600,895,283,729,,,,,,26,26,30,10,,1,5,,81,51,"0.59",297,297,341,94
Public Constructor,"uk.co.jemos.podam.api.PodamFactoryImpl.PodamFactoryImpl",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,4,1,2,3,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.75",1,1,1,1
Public Constructor,"uk.co.jemos.podam.api.PodamFactoryImpl.PodamFactoryImpl",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,3,1,1,6,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Public Constructor,"uk.co.jemos.podam.api.PodamFactoryImpl.PodamFactoryImpl",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,3,1,1,7,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.33",1,1,1,1
Public Constructor,"uk.co.jemos.podam.api.PodamFactoryImpl.PodamFactoryImpl",,,,,,,,,,,,,,,,,,,,,,,,,,,5,14,0,5,2,2,9,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"1.80",1,1,1,1
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.containsAttributeStrategyAnnotation",,,,,,,,,,,,,,,,,,,,,,,,,,,2,23,2,12,3,7,9,3,3,0,4,8,3,5,3,3,3,3,2,,,,,2,,2,2,,,"0.75",3,3,3,3
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.fillCollection",,,,,,,,,,,,,,,,,,,,,,,,,,,6,56,2,27,15,20,27,11,4,1,12,15,9,14,3,3,4,1,0,,,,,0,,1,0,,,"1.00",3,3,4,1
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.fillCollection",,,,,,,,,,,,,,,,,,,,,,,,,,,8,91,10,47,9,33,34,14,48,2,18,27,7,21,8,8,11,3,5,,,,,3,,2,2,,,"0.72",8,8,11,3
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.fillMap",,,,,,,,,,,,,,,,,,,,,,,,,,,6,67,3,38,20,31,26,18,4,1,22,25,12,23,3,3,4,1,0,,,,,0,,1,0,,,"0.68",3,3,4,1
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.fillMap",,,,,,,,,,,,,,,,,,,,,,,,,,,5,96,17,55,14,42,24,24,36,2,34,42,12,34,7,7,8,3,3,,,,,3,,2,2,,,"0.44",7,7,8,3
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.fillTypeArgMap",,,,,,,,,,,,,,,,,,,,,,,,,,,9,63,4,40,12,28,19,10,40,2,20,28,10,23,8,8,9,1,1,,,,,0,,4,0,,,"0.47",8,8,9,1
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getBooleanValueForAnnotation",,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,6,11,3,7,7,4,3,0,5,9,4,5,3,3,3,3,2,,,,,2,,2,2,,,"0.64",3,3,3,3
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getByteValueWithinRange",,,,,,,,,,,,,,,,,,,,,,,,,,,7,58,10,31,9,23,17,10,6,1,13,20,8,15,6,6,7,3,4,,,,,3,,4,2,,,"0.55",6,6,7,3
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getCharacterValueWithinRange",,,,,,,,,,,,,,,,,,,,,,,,,,,5,47,12,23,7,16,12,7,5,1,10,16,7,12,5,5,5,3,3,,,,,3,,4,2,,,"0.52",5,5,5,3
Private Generic Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getDefaultFieldValue",,,,,,,,,,,,,,,,,,,,,,,,,,,6,39,8,18,5,13,13,7,3,0,8,11,4,9,3,3,3,1,2,,,,,0,,2,0,,,"0.72",3,3,3,1
TypeVariable,"uk.co.jemos.podam.api.PodamFactoryImpl.getDefaultFieldValue.T",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getDoubleValueWithinRange",,,,,,,,,,,,,,,,,,,,,,,,,,,8,56,13,31,9,23,12,10,6,1,13,20,8,15,6,6,7,3,4,,,,,3,,4,2,,,"0.39",6,6,7,3
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getField",,,,,,,,,,,,,,,,,,,,,,,,,,,6,32,3,17,3,12,12,4,6,1,7,11,3,8,4,4,4,3,2,,,,,2,,2,2,,,"0.71",4,4,4,3
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getFloatValueWithinRange",,,,,,,,,,,,,,,,,,,,,,,,,,,8,62,11,31,9,23,20,10,6,1,13,20,8,15,6,6,7,3,4,,,,,3,,4,2,,,"0.65",6,6,7,3
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getIntegerValueWithinRange",,,,,,,,,,,,,,,,,,,,,,,,,,,8,63,13,31,9,23,19,10,6,1,13,20,8,15,6,6,7,3,4,,,,,3,,4,2,,,"0.61",6,6,7,3
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getLongValueWithinRange",,,,,,,,,,,,,,,,,,,,,,,,,,,8,59,11,31,9,23,17,10,6,1,13,20,8,15,6,6,7,3,4,,,,,3,,4,2,,,"0.55",6,6,7,3
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getMapKeyOrElementValue",,,,,,,,,,,,,,,,,,,,,,,,,,,3,56,4,30,5,24,22,13,3,0,7,10,2,8,3,3,6,1,2,,,,,0,,1,0,,,"0.73",3,3,6,1
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getParameterValuesForConstructor",,,,,,,,,,,,,,,,,,,,,,,,,,,6,61,10,24,16,17,27,7,2,0,11,14,10,10,2,2,2,1,0,,,,,0,,1,0,,,"1.12",2,2,2,1
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getShortValueWithinRange",,,,,,,,,,,,,,,,,,,,,,,,,,,7,60,11,31,9,23,18,10,6,1,13,20,8,15,6,6,7,3,4,,,,,3,,4,2,,,"0.58",6,6,7,3
Public Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getStrategy",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,4,2,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.75",1,1,1,1
Private Generic Method,"uk.co.jemos.podam.api.PodamFactoryImpl.instantiatePojo",,,,,,,,,,,,,,,,,,,,,,,,,,,10,107,12,58,8,44,37,14,90,2,16,28,5,25,11,11,15,6,8,,,,,8,,4,7,,,"0.64",11,11,15,6
TypeVariable,"uk.co.jemos.podam.api.PodamFactoryImpl.instantiatePojo.T",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.instantiatePojoWithoutConstructors",,,,,,,,,,,,,,,,,,,,,,,,,,,10,140,31,68,18,53,41,18,53,2,26,37,14,29,9,9,11,4,5,,,,,5,,3,3,,,"0.60",9,9,11,4
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.isWrapper",,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,1,15,1,13,9,2,1,0,1,2,1,1,9,9,9,1,0,,,,,0,,0,0,,,"0.60",9,9,9,1
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.manufactureAttributeValue",,,,,,,,,,,,,,,,,,,,,,,,,,,14,160,27,84,17,65,49,26,130,2,27,44,8,41,17,17,20,1,12,,,,,0,,2,0,,,"0.58",17,17,20,1
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.manufactureParameterValue",,,,,,,,,,,,,,,,,,,,,,,,,,,8,46,2,10,7,4,34,2,1,0,3,4,3,2,1,1,1,1,0,,,,,0,,0,0,,,"3.40",1,1,1,1
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.manufactureParameterValue",,,,,,,,,,,,,,,,,,,,,,,,,,,11,120,19,73,30,60,28,19,5,1,39,44,19,35,5,5,5,1,4,,,,,0,,2,0,,,"0.38",5,5,5,1
Public Generic Method,"uk.co.jemos.podam.api.PodamFactoryImpl.manufacturePojo",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,4,2,1,3,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.75",1,1,1,1
Public Generic Method,"uk.co.jemos.podam.api.PodamFactoryImpl.manufacturePojo",,,,,,,,,,,,,,,,,,,,,,,,,,,7,20,0,17,3,13,3,4,5,1,7,9,2,8,5,5,5,5,10,,,,,10,,1,10,,,"0.18",5,5,5,5
TypeVariable,"uk.co.jemos.podam.api.PodamFactoryImpl.manufacturePojo.T",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
TypeVariable,"uk.co.jemos.podam.api.PodamFactoryImpl.manufacturePojo.T",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Private Generic Method,"uk.co.jemos.podam.api.PodamFactoryImpl.manufacturePojoInternal",,,,,,,,,,,,,,,,,,,,,,,,,,,12,221,32,144,37,114,45,41,19079,4,55,82,25,72,26,26,30,10,16,,,,,11,,5,9,,,"0.31",26,26,30,10
TypeVariable,"uk.co.jemos.podam.api.PodamFactoryImpl.manufacturePojoInternal.T",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.mergeTypeArrays",,,,,,,,,,,,,,,,,,,,,,,,,,,5,23,3,11,2,7,9,2,2,0,6,8,2,6,2,2,2,1,1,,,,,0,,1,0,,,"0.82",2,2,2,1
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.resolveArrayElementValue",,,,,,,,,,,,,,,,,,,,,,,,,,,9,116,16,68,20,51,32,20,120,2,26,38,14,31,11,11,14,3,5,,,,,3,,4,2,,,"0.47",11,11,14,3
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.resolveCollectionType",,,,,,,,,,,,,,,,,,,,,,,,,,,5,53,2,30,3,20,21,5,26,1,8,17,2,15,9,9,11,1,3,,,,,0,,3,0,,,"0.70",9,9,11,1
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.resolveCollectionValueWhenCollectionIsPojoAttribute",,,,,,,,,,,,,,,,,,,,,,,,,,,18,88,12,47,10,38,29,7,16,1,17,21,5,17,9,9,11,1,22,,,,,0,,2,0,,,"0.62",9,9,11,1
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.resolveGenericParameter",,,,,,,,,,,,,,,,,,,,,,,,,,,14,56,2,41,10,31,13,11,18,1,20,29,8,23,9,9,11,1,4,,,,,0,,2,0,,,"0.32",9,9,11,1
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.resolveMapType",,,,,,,,,,,,,,,,,,,,,,,,,,,5,55,4,27,3,18,24,4,14,1,7,15,2,13,8,8,9,1,3,,,,,0,,3,0,,,"0.89",8,8,9,1
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.resolveMapValueWhenMapIsPojoAttribute",,,,,,,,,,,,,,,,,,,,,,,,,,,17,106,17,57,14,47,32,14,16,1,29,34,8,29,9,9,11,1,16,,,,,0,,3,0,,,"0.56",9,9,11,1
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.resolvePrimitiveValue",,,,,,,,,,,,,,,,,,,,,,,,,,,7,126,42,69,3,49,15,19,33,2,18,43,2,41,25,25,25,1,7,,,,,0,,2,0,,,"0.22",25,25,25,1
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.resolveStringValue",,,,,,,,,,,,,,,,,,,,,,,,,,,4,64,16,27,5,18,21,8,11,1,8,15,4,11,6,6,8,4,3,,,,,3,,3,2,,,"0.78",6,6,8,4
