Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CustomNCDConverter.java",4,4,5,1,31,4,25,0,,,,,3,0,9,15,,13,15,9,15,,0,9,2,4,,561,87,454,186,307,21,,,,313,386,187,272,,,,,,28,28,34,7,,,3,,,,"0.05",74,74,84,23
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.dawnsci",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.dawnsci.conversion",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.dawnsci.conversion.converters",4,4,5,1,31,4,25,0,,,,,3,0,9,,1,,15,9,15,,0,9,2,4,,561,87,454,186,307,21,,,,313,386,187,272,,,,,,28,28,34,7,,,3,,,,"0.05",74,74,84,23
Public Class,"org.dawnsci.conversion.converters.CustomNCDConverter",5,5,6,1,35,4,29,1,1,52,52,0,,0,9,,,,13,0,13,13,0,9,2,2,,501,81,408,140,307,13,,,,267,340,141,272,,,,,,28,28,34,7,,2,3,,0,0,"0.03",74,74,84,23
Public Constructor,"org.dawnsci.conversion.converters.CustomNCDConverter.CustomNCDConverter",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,2,3,0,3,1,0,3,4,2,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Class,"org.dawnsci.conversion.converters.CustomNCDConverter.OutputBean",0,0,0,0,0,0,0,0,1,2,2,0,,0,0,,,,0,5,0,0,0,0,0,0,,7,0,7,6,0,0,,,,5,6,6,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Public Enum Type,"org.dawnsci.conversion.converters.CustomNCDConverter.SAS_FORMAT",0,0,0,0,0,0,0,0,1,1,1,0,,0,0,,,,2,4,2,2,0,0,0,2,,1,0,1,1,0,0,,,,1,1,1,0,,,,,,0,0,0,0,,1,0,,,,"0.00",0,0,0,0
Public Implicit Method,"org.dawnsci.conversion.converters.CustomNCDConverter.SAS_FORMAT.valueOf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",0,0,0,0
Public Implicit Method,"org.dawnsci.conversion.converters.CustomNCDConverter.SAS_FORMAT.values",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",0,0,0,0
Private Method,"org.dawnsci.conversion.converters.CustomNCDConverter.buildFileName",,,,,,,,,,,,,,,,,,,,,,,,,,,4,13,2,11,4,8,0,6,2,0,7,9,4,8,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Protected Method,"org.dawnsci.conversion.converters.CustomNCDConverter.convert",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,3,2,0,1,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.33",1,1,1,1
Public Method,"org.dawnsci.conversion.converters.CustomNCDConverter.createBean",,,,,,,,,,,,,,,,,,,,,,,,,,,7,30,1,27,3,19,2,19,15,1,12,18,3,16,6,6,8,1,1,,,,,0,,2,0,,,"0.07",6,6,8,1
Private Method,"org.dawnsci.conversion.converters.CustomNCDConverter.exportASCII",,,,,,,,,,,,,,,,,,,,,,,,,,,7,28,4,24,6,19,0,14,6,1,15,19,6,17,4,4,4,1,1,,,,,0,,2,0,,,"0.00",4,4,4,1
Private Method,"org.dawnsci.conversion.converters.CustomNCDConverter.exportCanSAS",,,,,,,,,,,,,,,,,,,,,,,,,,,16,143,25,115,46,97,4,59,1168,3,91,104,46,91,14,14,16,1,1,,,,,0,,3,0,,,"0.03",14,14,16,1
Private Method,"org.dawnsci.conversion.converters.CustomNCDConverter.getAxis",,,,,,,,,,,,,,,,,,,,,,,,,,,4,13,1,11,2,8,1,9,2,0,6,8,2,6,2,2,2,1,1,,,,,0,,1,0,,,"0.09",2,2,2,1
Private Method,"org.dawnsci.conversion.converters.CustomNCDConverter.getAxisDatasetName",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,1,8,2,5,0,5,2,0,3,5,2,4,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"org.dawnsci.conversion.converters.CustomNCDConverter.getAxisUnit",,,,,,,,,,,,,,,,,,,,,,,,,,,7,32,0,32,10,26,0,14,19,1,16,25,9,23,9,9,9,7,14,,,,,13,,3,13,,,"0.00",9,9,9,7
Private Method,"org.dawnsci.conversion.converters.CustomNCDConverter.getCommandNodeString",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,4,4,0,2,1,0,4,5,4,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.dawnsci.conversion.converters.CustomNCDConverter.getTitleNodeString",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,4,4,0,2,1,0,4,5,4,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"org.dawnsci.conversion.converters.CustomNCDConverter.iterate",,,,,,,,,,,,,,,,,,,,,,,,,,,19,164,29,130,35,97,5,36,1480706,6,82,109,37,89,28,28,34,5,8,,,,,6,,3,5,,,"0.04",28,28,34,5
Private Method,"org.dawnsci.conversion.converters.CustomNCDConverter.nameStringFromSliceArray",,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,1,11,3,8,0,5,2,0,9,11,4,8,3,3,3,1,0,,,,,0,,1,0,,,"0.00",3,3,3,1
