Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ComposedConfiguration.java",1,1,1,1,4,0,4,0,,,,,1,0,0,46,,46,45,2,45,,2,1,0,42,,266,49,193,94,52,25,,,,55,102,54,48,,,,,,2,2,2,1,,,1,,,,"0.13",47,47,47,46
File,"DelegatingList.java",1,1,1,1,6,0,3,2,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,27,5,12,6,3,10,,,,6,9,6,3,,,,,,1,1,1,1,,,0,,,,"0.83",2,2,2,2
File,"LazyComponentList.java",1,1,1,1,7,0,5,1,,,,,1,0,0,10,,10,10,5,10,,0,0,2,8,,113,16,75,36,30,22,,,,37,55,32,30,,,,,,5,5,5,1,,,2,,,,"0.29",17,17,17,10
File,"ListImpl.java",1,1,1,1,3,0,3,0,,,,,1,0,0,24,,25,25,0,25,,0,0,0,25,,108,28,80,31,24,0,,,,30,55,31,24,,,,,,1,1,1,1,,,0,,,,"0.00",24,24,24,24
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.fluentlenium",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.fluentlenium.configuration",1,1,1,1,4,0,4,0,,,,,1,0,0,,1,,45,2,45,,2,1,0,42,,266,49,193,94,52,25,,,,55,102,54,48,,,,,,2,2,2,1,,,1,,,,"0.13",47,47,47,46
Public Class,"org.fluentlenium.configuration.ComposedConfiguration",1,1,1,1,4,0,4,0,2,16,16,0,,0,0,,,,45,2,45,45,2,1,0,42,,257,46,187,88,52,25,,,,49,96,48,48,,,,,,2,2,2,1,,1,1,,94,48,"0.13",47,47,47,46
Public Constructor,"org.fluentlenium.configuration.ComposedConfiguration.ComposedConfiguration",,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,0,7,1,4,6,4,2,0,3,5,1,4,2,2,2,1,0,,,,,0,,1,0,,,"0.86",2,2,2,1
Public Method,"org.fluentlenium.configuration.ComposedConfiguration.getAwaitAtMost",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.fluentlenium.configuration.ComposedConfiguration.getAwaitPollingEvery",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.fluentlenium.configuration.ComposedConfiguration.getBaseUrl",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.fluentlenium.configuration.ComposedConfiguration.getBrowserTimeout",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.fluentlenium.configuration.ComposedConfiguration.getBrowserTimeoutRetries",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.fluentlenium.configuration.ComposedConfiguration.getCapabilities",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Generic Method,"org.fluentlenium.configuration.ComposedConfiguration.getConfig",,,,,,,,,,,,,,,,,,,,,,,,,,,24,7,0,7,1,5,0,6,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
TypeVariable,"org.fluentlenium.configuration.ComposedConfiguration.getConfig.T",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Public Method,"org.fluentlenium.configuration.ComposedConfiguration.getConfigurationDefaults",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.fluentlenium.configuration.ComposedConfiguration.getConfigurationFactory",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Method,"org.fluentlenium.configuration.ComposedConfiguration.getConfigurations",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"org.fluentlenium.configuration.ComposedConfiguration.getCustomProperty",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",2,2,2,2
Lambda Method,"org.fluentlenium.configuration.ComposedConfiguration.getCustomProperty.(lambda_expr_1)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0,1,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.fluentlenium.configuration.ComposedConfiguration.getDeleteCookies",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.fluentlenium.configuration.ComposedConfiguration.getDriverLifecycle",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
