Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ConcurrentLRUHashMap.java",2,2,2,1,12,0,8,3,,,,,12,3,9,78,,78,75,26,78,,26,3,0,49,,1279,140,732,221,448,419,,,,410,603,238,387,,,,,,13,13,13,10,,,5,,,,"0.57",176,176,194,117
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.firefly",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.firefly.utils",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.firefly.utils.collection",2,2,2,1,12,0,8,3,,,,,12,3,9,,1,,75,26,78,,26,3,0,49,,1279,140,732,221,448,419,,,,410,603,238,387,,,,,,13,13,13,10,,,5,,,,"0.57",176,176,194,117
Public Generic Class,"com.firefly.utils.collection.ConcurrentLRUHashMap",2,2,2,1,17,0,8,8,3,20,20,0,,1,7,,,,27,6,28,28,1,3,0,24,,1270,138,725,214,448,419,,,,403,596,231,387,,,,,,13,13,13,10,,2,4,,91,66,"0.58",76,76,80,49
Public Constructor,"com.firefly.utils.collection.ConcurrentLRUHashMap.ConcurrentLRUHashMap",,,,,,,,,,,,,,,,,,,,,,,,,,,11,34,3,18,4,14,13,6,16,1,12,17,4,13,5,5,7,1,0,,,,,0,,1,0,,,"0.72",5,5,7,1
Public Constructor,"com.firefly.utils.collection.ConcurrentLRUHashMap.ConcurrentLRUHashMap",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Constructor,"com.firefly.utils.collection.ConcurrentLRUHashMap.ConcurrentLRUHashMap",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Constructor,"com.firefly.utils.collection.ConcurrentLRUHashMap.ConcurrentLRUHashMap",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
