Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractAuthenticator.java",1,1,1,1,5,0,5,0,,,,,1,0,0,16,,21,21,6,21,,0,0,10,11,,180,30,112,49,46,38,,,,65,87,49,42,,,,,,3,3,3,1,,,2,,,,"0.34",21,21,22,16
File,"AbstractLogoutHandler.java",2,2,2,1,13,1,10,2,,,,,1,0,0,3,,3,3,2,3,,0,0,1,2,,72,10,43,17,21,19,,,,23,32,17,18,,,,,,6,6,6,1,,,2,,,,"0.44",8,8,8,3
File,"AbstractLogoutValve.java",2,2,2,1,10,0,9,1,,,,,1,0,0,1,,2,2,1,2,,0,0,1,1,,42,5,22,13,7,15,,,,15,18,13,6,,,,,,2,2,2,1,,,1,,,,"0.68",2,2,2,1
File,"Cas10CasAuthenticator.java",1,1,1,1,3,0,3,0,,,,,1,0,2,4,,4,4,1,4,,0,0,4,0,,42,8,22,12,7,12,,,,12,17,12,6,,,,,,1,1,1,1,,,0,,,,"0.55",4,4,4,4
File,"Cas20CasAuthenticator.java",1,1,1,1,4,0,4,0,,,,,1,0,2,4,,4,4,1,4,,0,0,4,0,,48,8,28,12,12,12,,,,16,22,12,11,,,,,,2,2,2,1,,,1,,,,"0.43",5,5,5,4
File,"Cas20ProxyCasAuthenticator.java",1,1,1,1,4,0,4,0,,,,,1,0,2,6,,6,6,3,6,,0,0,4,2,,63,12,39,17,16,12,,,,23,31,17,15,,,,,,2,2,2,1,,,1,,,,"0.31",7,7,7,6
File,"LogoutHandler.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,37,3,7,6,0,27,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,"3.86",0,0,0,0
File,"ProxyCallbackValve.java",1,1,1,1,6,0,5,0,,,,,1,1,1,5,,5,4,3,5,,0,0,1,4,,78,15,46,22,18,17,,,,29,37,22,17,,,,,,2,2,2,1,,,1,,,,"0.37",7,7,7,5
File,"RegexUriLogoutHandler.java",1,1,1,1,5,0,3,2,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,45,8,18,10,4,19,,,,10,14,10,4,,,,,,1,1,1,1,,,0,,,,"1.06",3,3,3,3
File,"RegexUriLogoutValve.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,2,4,,0,0,2,2,,46,7,24,13,8,15,,,,14,19,13,8,,,,,,1,1,1,1,,,0,,,,"0.62",4,4,4,4
