Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",0,0,0,0,0,0,0,0,,,,,0,0,0,,3,,0,0,0,,0,0,0,0,,602,0,0,0,0,602,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"CoapClientApplication.java",1,1,1,1,20,2,12,5,,,,,6,0,1,15,,15,15,4,15,,0,0,0,15,,315,52,140,58,80,123,,,,68,89,55,49,,,,,,3,3,3,1,,,2,,,,"0.88",20,20,21,15
File,"CoapResponseDispatcher.java",2,2,3,1,20,3,14,1,,,,,3,0,0,14,,14,14,4,14,,0,8,0,6,,311,75,186,60,110,50,,,,83,121,50,84,,,,,,6,6,6,1,,,3,,,,"0.27",38,38,42,14
File,"InternalMessageRetransmittedMessage.java",1,1,1,1,6,0,3,2,,,,,1,0,0,5,,5,5,3,5,,0,0,0,5,,103,10,27,14,7,66,,,,13,19,13,6,,,,,,1,1,1,1,,,0,,,,"2.44",5,5,5,5
File,"ObservableWebservice.java",1,1,1,1,8,0,5,2,,,,,1,0,2,18,,18,18,8,18,,0,2,3,13,,355,63,130,56,51,162,,,,62,88,45,45,,,,,,4,4,5,4,,,1,,,,"1.25",24,24,25,21
File,"ObservationTimesOutWithoutRestart.java",0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,232,0,0,0,0,232,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"OutgoingMessageReliabilityHandler.java",2,2,2,1,19,3,13,2,,,,,3,0,4,16,,16,16,6,16,,0,8,0,8,,394,90,230,82,136,74,,,,102,146,69,106,,,,,,6,6,6,1,,,3,,,,"0.32",38,38,39,16
File,"ServerSendsPiggyBackedResponseTest.java",0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,181,0,0,0,0,181,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"ServerSendsSeparateResponseTest.java",0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,189,0,0,0,0,189,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"TestResponseProcessor.java",1,1,1,1,6,0,5,0,,,,,1,0,0,10,,10,10,6,10,,0,0,0,10,,147,32,79,39,32,36,,,,38,55,32,31,,,,,,3,3,4,1,,,1,,,,"0.46",12,12,13,10
File,"Token.java",1,1,1,1,7,0,5,0,,,,,1,1,2,7,,7,6,1,7,,0,1,0,6,,113,22,54,26,24,37,,,,29,42,23,21,,,,,,4,4,4,4,,,1,,,,"0.69",12,12,13,10
File,"TokenFactory.java",2,2,2,1,18,2,10,5,,,,,2,0,0,6,,6,6,3,6,,0,2,0,4,,183,34,79,30,41,70,,,,41,56,31,30,,,,,,5,5,5,5,,,2,,,,"0.89",13,13,13,10
File,"TransmissionInformationProcessor.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,55,4,8,7,0,43,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,"5.38",0,0,0,0
Package,"de",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.uniluebeck",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.uniluebeck.itm",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.uniluebeck.itm.ncoap",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.uniluebeck.itm.ncoap.application",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.uniluebeck.itm.ncoap.application.client",1,1,2,1,18,2,11,3,,,,,12,1,3,,4,,41,12,42,,0,11,0,31,,922,183,459,174,255,280,,,,221,308,159,184,,,,,,6,6,6,5,,,3,,,,"0.61",83,83,89,49
Public Class,"de.uniluebeck.itm.ncoap.application.client.CoapClientApplication",1,1,1,1,23,3,11,8,1,21,21,0,,0,1,,,,10,4,10,10,0,0,0,10,,291,48,120,38,80,123,,,,48,69,35,49,,,,,,2,2,3,1,,1,1,,72,32,"1.02",11,11,12,10
