Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BaseUrlCustomizer.java",1,1,1,1,4,0,4,0,,,,,1,0,1,4,,4,4,0,4,,0,1,1,2,,57,9,30,17,8,18,,,,12,18,12,6,,,,,,2,2,2,1,,,1,,,,"0.60",5,5,5,4
File,"MasterPasswordCustomizerSupport.java",1,1,2,1,9,1,7,0,,,,,1,0,1,4,,5,5,1,5,,0,0,3,2,,81,14,46,22,16,21,,,,20,28,16,13,,,,,,4,4,5,1,,,2,,,,"0.46",7,7,8,4
File,"TemplateInterpolatorCustomizerSupport.java",1,1,1,1,5,0,5,0,,,,,2,0,0,6,,7,7,1,7,,0,0,3,4,,72,11,40,19,11,21,,,,18,25,17,8,,,,,,1,1,1,1,,,0,,,,"0.53",6,6,6,6
File,"UserTokenCustomizer.java",1,1,1,1,5,0,5,0,,,,,1,0,4,7,,7,7,1,7,,0,4,1,2,,99,13,63,34,23,23,,,,29,41,26,18,,,,,,4,4,4,1,,,1,,,,"0.37",11,11,11,7
File,"UsernamePasswordCustomizer.java",1,1,1,1,5,0,5,0,,,,,1,0,3,5,,5,5,0,5,,0,2,1,2,,70,10,42,23,13,18,,,,16,24,15,9,,,,,,3,3,4,1,,,1,,,,"0.43",7,7,8,5
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.sonatype",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.sonatype.nexus",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.sonatype.nexus.maven",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.sonatype.nexus.maven.m2settings",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
