Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractSynchronization.java",2,2,2,1,15,1,9,4,,,,,1,0,1,9,,13,13,6,13,,0,0,8,5,,219,35,109,43,57,75,,,,61,83,45,52,,,,,,4,4,4,1,,,3,,,,"0.69",20,20,20,9
File,"LocationMflSynchronization.java",1,1,1,1,10,0,6,3,,,,,1,0,0,6,,6,6,0,6,,0,0,1,5,,103,15,52,27,21,36,,,,24,31,22,12,,,,,,1,1,1,1,,,0,,,,"0.69",6,6,6,6
File,"LocationMflSynchronizationTest.java",2,2,2,1,26,5,17,3,,,,,1,0,0,3,,3,3,2,3,,0,1,0,2,,128,26,75,40,42,27,,,,59,67,38,42,,,,,,3,3,3,1,,,1,,,,"0.36",6,6,6,3
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.openmrs",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.openmrs.module",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.openmrs.module.kenyaemr",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.openmrs.module.kenyaemr.metadata",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.openmrs.module.kenyaemr.metadata.sync",1,1,1,1,15,1,9,3,,,,,3,0,1,,3,,22,8,22,,0,1,9,12,,450,76,236,110,120,138,,,,144,181,105,106,,,,,,4,4,4,1,,,3,,,,"0.58",32,32,32,18
Public Abstract Generic Class,"org.openmrs.module.kenyaemr.metadata.sync.AbstractSynchronization",2,2,2,1,15,1,9,4,1,14,14,1,,0,1,,,,13,6,13,13,0,0,8,5,,201,31,95,30,57,75,,,,48,70,32,52,,,,,,4,4,4,1,,1,3,,75,66,"0.79",20,20,20,9
Public Constructor,"org.openmrs.module.kenyaemr.metadata.sync.AbstractSynchronization.AbstractSynchronization",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,3,1,1,3,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
TypeVariable,"org.openmrs.module.kenyaemr.metadata.sync.AbstractSynchronization.T",0,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,,0,0,"0.00",0,0,0,0
Protected Abstract Method,"org.openmrs.module.kenyaemr.metadata.sync.AbstractSynchronization.fetchAllExisting",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,1,1,0,4,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"4.00",0,0,0,0
Protected Abstract Method,"org.openmrs.module.kenyaemr.metadata.sync.AbstractSynchronization.fetchExistingById",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,1,1,0,5,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"5.00",0,0,0,0
Public Method,"org.openmrs.module.kenyaemr.metadata.sync.AbstractSynchronization.getCreatedObjects",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,3,1,1,4,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.33",1,1,1,1
Protected Abstract Method,"org.openmrs.module.kenyaemr.metadata.sync.AbstractSynchronization.getObjectHash",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,1,1,0,5,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"5.00",0,0,0,0
Protected Abstract Method,"org.openmrs.module.kenyaemr.metadata.sync.AbstractSynchronization.getObjectSyncKey",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,1,1,0,5,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"5.00",0,0,0,0
Public Method,"org.openmrs.module.kenyaemr.metadata.sync.AbstractSynchronization.getRetiredObjects",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,3,1,1,4,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.33",1,1,1,1
Public Method,"org.openmrs.module.kenyaemr.metadata.sync.AbstractSynchronization.getUpdatedObjects",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,3,1,1,4,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.33",1,1,1,1
Protected Method,"org.openmrs.module.kenyaemr.metadata.sync.AbstractSynchronization.initializeCache",,,,,,,,,,,,,,,,,,,,,,,,,,,4,24,2,18,2,11,4,10,4,1,6,11,3,9,4,4,4,1,2,,,,,0,,3,0,,,"0.22",4,4,4,1
Protected Method,"org.openmrs.module.kenyaemr.metadata.sync.AbstractSynchronization.mergeWithExisting",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,4,1,2,5,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"1.25",1,1,1,1
Protected Method,"org.openmrs.module.kenyaemr.metadata.sync.AbstractSynchronization.retireExistingNotInSource",,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,1,10,2,6,4,6,3,0,4,8,3,6,3,3,3,1,0,,,,,0,,2,0,,,"0.40",3,3,3,1
Public Method,"org.openmrs.module.kenyaemr.metadata.sync.AbstractSynchronization.run",,,,,,,,,,,,,,,,,,,,,,,,,,,4,26,5,18,4,12,3,9,4,1,8,12,4,10,4,4,4,1,2,,,,,0,,3,0,,,"0.17",4,4,4,1
Protected Method,"org.openmrs.module.kenyaemr.metadata.sync.AbstractSynchronization.synchronizeObject",,,,,,,,,,,,,,,,,,,,,,,,,,,9,35,5,21,5,16,9,12,3,0,13,16,5,15,4,4,4,1,1,,,,,0,,2,0,,,"0.43",4,4,4,1
Public Class,"org.openmrs.module.kenyaemr.metadata.sync.LocationMflSynchronization",1,1,1,1,10,0,6,3,1,12,12,0,,0,0,,,,6,0,6,19,0,0,1,5,,85,10,39,15,21,36,,,,12,19,10,12,,,,,,1,1,1,1,,2,0,,0,0,"0.92",6,6,6,6
