Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Component.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,8,8,0,8,,0,0,0,8,,43,12,24,23,0,8,,,,17,18,18,0,,,,,,0,0,0,0,,,0,,,,"0.33",0,0,0,0
File,"ComponentProperties.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,11,11,0,11,,0,0,0,11,,30,9,20,19,0,2,,,,18,19,19,0,,,,,,0,0,0,0,,,0,,,,"0.10",0,0,0,0
File,"MyUtilities.java",2,2,2,1,9,0,8,0,,,,,1,49,2,49,,49,0,0,49,,0,3,0,46,,617,84,464,173,244,79,,,,217,333,160,224,,,,,,6,6,7,3,,,3,,,,"0.17",104,104,119,51
File,"PeriodicAggBatchSend.java",1,1,1,1,3,0,3,0,,,,,2,0,0,4,,4,4,3,4,,0,0,0,4,,36,11,25,13,6,0,,,,13,19,13,6,,,,,,1,1,1,1,,,0,,,,"0.00",4,4,4,4
File,"StormBoltComponent.java",2,2,2,1,11,0,10,0,,,,,1,0,2,19,,22,22,16,22,,0,2,7,13,,298,36,241,87,125,26,,,,119,163,76,100,,,,,,6,6,6,5,,,3,,,,"0.11",43,43,46,23
File,"StormComponent.java",0,0,0,0,0,0,0,0,,,,,1,0,2,0,,7,7,0,7,,0,0,0,7,,24,7,14,13,2,3,,,,12,13,13,0,,,,,,0,0,0,0,,,0,,,,"0.21",0,0,0,0
File,"StormDataSource.java",2,2,3,1,13,1,11,0,,,,,1,0,2,15,,15,15,14,15,,0,2,2,11,,277,39,219,87,113,22,,,,110,155,72,96,,,,,,7,7,9,1,,,4,,,,"0.10",43,43,47,15
File,"StormDstJoin.java",4,4,4,1,27,2,21,2,,,,,1,0,2,11,,11,11,14,11,,0,1,2,8,,363,54,277,104,158,34,,,,141,190,79,131,,,,,,11,11,11,6,,,5,,,,"0.12",47,47,50,16
File,"StormOperator.java",4,4,4,1,22,2,18,1,,,,,1,0,2,8,,8,8,7,8,,0,0,1,7,,234,36,185,71,99,13,,,,96,133,61,84,,,,,,11,11,11,6,,,4,,,,"0.07",35,35,38,13
File,"StormRandomDataSource.java",2,2,2,2,16,0,16,0,,,,,1,0,2,2,,2,2,7,2,,0,0,1,1,,82,7,70,48,24,5,,,,47,53,40,15,,,,,,4,4,4,4,,,2,,,,"0.07",5,5,5,5
