Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AdminRequestHandler.java",1,1,1,1,4,0,4,0,,,,,1,1,0,3,,3,2,1,3,,0,1,0,2,,58,8,35,26,6,15,,,,26,30,25,6,,,,,,1,1,1,1,,,0,,,,"0.43",3,3,3,3
File,"AdminTask.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,9,2,7,6,0,0,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"AdminTasks.java",2,2,2,2,7,0,7,0,,,,,1,2,1,2,,2,0,0,2,,0,0,0,2,,41,7,34,13,18,0,,,,13,18,12,8,,,,,,3,3,3,3,,,1,,,,"0.00",4,4,4,4
File,"FindRequestsTask.java",1,1,1,1,8,0,8,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,25,4,21,17,5,0,,,,16,18,16,5,,,,,,1,1,1,1,,,0,,,,"0.00",1,1,1,1
File,"GetRequestCountTask.java",1,1,1,1,8,0,8,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,25,4,21,17,5,0,,,,16,18,16,5,,,,,,1,1,1,1,,,0,,,,"0.00",1,1,1,1
File,"GlobalSettingsUpdateTask.java",1,1,1,1,6,0,6,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,14,10,3,0,,,,9,11,9,3,,,,,,1,1,1,1,,,0,,,,"0.00",1,1,1,1
File,"HttpAdminClient.java",1,1,1,1,6,0,6,0,,,,,1,0,1,15,,15,15,4,15,,0,5,0,10,,166,24,127,66,57,16,,,,68,91,58,51,,,,,,5,5,5,3,,,2,,,,"0.13",24,24,24,19
File,"NewStubMappingTask.java",1,1,1,1,6,0,6,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,16,3,13,9,3,0,,,,8,10,8,3,,,,,,1,1,1,1,,,0,,,,"0.00",1,1,1,1
File,"NotFoundAdminTask.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,12,2,10,7,1,0,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,"0.00",1,1,1,1
File,"RequestSpec.java",1,1,1,1,5,0,5,0,,,,,1,1,0,6,,6,5,2,6,,0,0,0,6,,50,13,37,16,16,0,,,,21,32,14,19,,,,,,5,5,6,5,,,1,,,,"0.00",10,10,11,10
