Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Customization.java",1,1,1,1,10,0,6,3,,,,,1,1,0,11,,11,10,2,11,,0,6,0,5,,137,17,76,26,40,44,,,,36,54,25,31,,,,,,4,3,4,1,,,2,,,,"0.58",19,17,19,11
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.skyscreamer",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.skyscreamer.jsonassert",1,1,1,1,10,0,6,3,,,,,1,1,0,,1,,10,2,11,,0,6,0,5,,137,17,76,26,40,44,,,,36,54,25,31,,,,,,4,3,4,1,,,2,,,,"0.58",19,17,19,11
Public Final Class,"org.skyscreamer.jsonassert.Customization",1,1,1,1,10,0,6,3,1,8,8,0,,1,0,,,,10,2,11,11,0,6,0,5,,133,15,74,24,40,44,,,,34,52,23,31,,,,,,4,3,4,1,,1,2,,77,68,"0.59",19,17,19,11
Public Constructor,"org.skyscreamer.jsonassert.Customization.Customization",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,1,4,0,5,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.skyscreamer.jsonassert.Customization.appliesToPath",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.skyscreamer.jsonassert.Customization.buildPattern",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.skyscreamer.jsonassert.Customization.buildPattern",,,,,,,,,,,,,,,,,,,,,,,,,,,8,11,0,11,3,7,0,5,3,0,7,10,4,8,3,3,3,1,0,,,,,0,,2,0,,,"0.00",3,3,3,1
Private Method,"org.skyscreamer.jsonassert.Customization.buildPatternForLevel",,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,0,12,1,9,0,4,4,1,4,6,1,5,4,2,4,1,6,,,,,0,,1,0,,,"0.00",4,2,4,1
Private Method,"org.skyscreamer.jsonassert.Customization.buildPatternLevel1",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,5,3,3,0,2,1,0,3,4,3,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.skyscreamer.jsonassert.Customization.buildPatternLevel2",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,8,3,5,0,3,2,0,4,6,3,3,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"org.skyscreamer.jsonassert.Customization.buildPatternLevel3",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,2,8,3,5,0,3,2,0,4,6,3,3,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Static Method,"org.skyscreamer.jsonassert.Customization.customization",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,3,1,1,7,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.33",1,1,1,1
Public Method,"org.skyscreamer.jsonassert.Customization.matches",,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,0,4,2,1,12,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"3.00",1,1,1,1
Public Method,"org.skyscreamer.jsonassert.Customization.matches",,,,,,,,,,,,,,,,,,,,,,,,,,,5,29,0,7,2,3,22,2,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"3.14",2,2,2,1
