Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"YouTrackBugReporter.java",4,4,4,1,33,6,25,1,,,,,3,0,7,10,,10,10,8,10,,0,4,0,6,,406,87,277,122,183,43,,,,190,232,115,153,,,,,,13,13,14,4,,,3,,,,"0.16",41,41,45,15
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.sylvanaar",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.sylvanaar.idea",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.sylvanaar.idea.errorreporting",4,4,4,1,33,6,25,1,,,,,3,0,7,,1,,10,8,10,,0,4,0,6,,406,87,277,122,183,43,,,,190,232,115,153,,,,,,13,13,14,4,,,3,,,,"0.16",41,41,45,15
Public Class,"com.sylvanaar.idea.errorreporting.YouTrackBugReporter",4,4,4,1,37,8,27,2,1,38,38,0,,0,7,,,,8,8,8,8,0,4,0,4,,343,82,234,79,183,28,,,,147,189,72,153,,,,,,13,13,14,4,,2,3,,78,64,"0.12",34,34,38,13
Private Method,"com.sylvanaar.idea.errorreporting.YouTrackBugReporter.findExisting",,,,,,,,,,,,,,,,,,,,,,,,,,,7,43,7,33,10,24,3,15,13,1,18,24,9,21,6,6,6,3,4,,,,,3,,3,3,,,"0.09",6,6,6,3
Public Method,"com.sylvanaar.idea.errorreporting.YouTrackBugReporter.getReportActionText",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"com.sylvanaar.idea.errorreporting.YouTrackBugReporter.popupResultInfo",,,,,,,,,,,,,,,,,,,,,,,,,,,1,35,0,35,7,28,0,2,1,0,17,24,8,20,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Anonymous Class,"com.sylvanaar.idea.errorreporting.YouTrackBugReporter.popupResultInfo.(Anon_1)",6,6,6,1,31,0,31,0,1,10,10,0,,0,0,,,,1,0,1,1,0,0,0,1,,32,0,32,6,27,0,,,,16,22,7,19,,,,,,6,6,6,1,,2,0,,0,0,"0.00",6,6,6,1
Public Method,"com.sylvanaar.idea.errorreporting.YouTrackBugReporter.popupResultInfo.(Anon_1).run",,,,,,,,,,,,,,,,,,,,,,,,,,,11,31,0,31,6,26,0,8,9,1,16,22,7,19,6,6,6,1,3,,,,,0,,0,0,,,"0.00",6,6,6,1
Anonymous Class,"com.sylvanaar.idea.errorreporting.YouTrackBugReporter.popupResultInfo.(Anon_1).run.(Anon_2)",1,1,1,1,5,0,5,0,1,6,6,0,,0,0,,,,1,0,1,1,0,0,0,1,,6,0,6,1,5,0,,,,2,3,1,2,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"com.sylvanaar.idea.errorreporting.YouTrackBugReporter.popupResultInfo.(Anon_1).run.(Anon_2).hyperlinkUpdate",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,0,4,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"com.sylvanaar.idea.errorreporting.YouTrackBugReporter.runCommand",,,,,,,,,,,,,,,,,,,,,,,,,,,7,31,7,23,8,18,1,12,3,0,16,19,8,16,3,3,3,1,1,,,,,0,,2,0,,,"0.04",3,3,3,1
