Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractGenerator.java",1,1,1,1,8,1,6,0,,,,,6,2,5,12,,12,10,1,12,,0,0,6,6,,167,38,104,45,57,25,,,,56,78,46,49,,,,,,3,3,3,3,,,2,,,,"0.24",19,19,19,14
File,"GraphBuilder.java",5,5,5,1,27,4,21,1,,,,,1,0,0,9,,9,9,3,9,,0,6,2,1,,299,59,205,59,137,35,,,,108,172,73,133,,,,,,8,8,8,3,,,4,,,,"0.17",48,48,49,11
File,"MethodOutline.java",2,2,2,1,5,0,4,0,,,,,1,0,0,16,,16,16,7,16,,0,0,0,16,,150,32,91,35,46,27,,,,51,76,32,48,,,,,,14,14,15,9,,,1,,,,"0.30",35,35,37,24
Package,"unquietcode",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"unquietcode.tools",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"unquietcode.tools.flapi",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"unquietcode.tools.flapi.generator",1,1,1,1,8,1,6,0,,,,,6,2,5,,1,,10,1,12,,0,0,6,6,,167,38,104,45,57,25,,,,56,78,46,49,,,,,,3,3,3,3,,,2,,,,"0.24",19,19,19,14
Public Abstract Class,"unquietcode.tools.flapi.generator.AbstractGenerator",1,1,1,1,10,1,8,0,1,14,14,0,,1,5,,,,6,1,7,7,0,0,6,1,,154,35,94,35,57,25,,,,46,68,36,49,,,,,,3,3,3,3,,1,2,,57,28,"0.27",13,13,13,9
Anonymous Class,"unquietcode.tools.flapi.generator.AbstractGenerator.(Anon_1)",2,2,2,1,10,2,8,0,1,6,6,0,,0,0,,,,1,0,1,1,0,0,0,1,,11,2,9,3,7,0,,,,4,6,3,5,,,,,,2,2,2,1,,2,1,,0,0,"0.00",2,2,2,1
Public Method,"unquietcode.tools.flapi.generator.AbstractGenerator.(Anon_1).createType",,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,2,8,2,6,0,5,2,0,4,6,3,5,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Anonymous Class,"unquietcode.tools.flapi.generator.AbstractGenerator.(Anon_2)",1,1,1,1,3,0,3,0,1,4,4,0,,0,0,,,,1,0,1,1,0,0,0,1,,4,0,4,1,3,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"unquietcode.tools.flapi.generator.AbstractGenerator.(Anon_2).createType",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,0,2,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Anonymous Class,"unquietcode.tools.flapi.generator.AbstractGenerator.(Anon_3)",1,1,1,1,4,0,4,0,1,4,4,0,,0,0,,,,1,0,1,1,0,0,0,1,,5,0,5,2,4,0,,,,2,3,2,2,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"unquietcode.tools.flapi.generator.AbstractGenerator.(Anon_3).createType",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,3,0,3,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Anonymous Class,"unquietcode.tools.flapi.generator.AbstractGenerator.(Anon_4)",1,1,1,1,3,0,3,0,1,4,4,0,,0,0,,,,1,0,1,1,0,0,0,1,,4,0,4,1,3,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"unquietcode.tools.flapi.generator.AbstractGenerator.(Anon_4).createType",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,0,2,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Constructor,"unquietcode.tools.flapi.generator.AbstractGenerator.AbstractGenerator",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Static Final Class,"unquietcode.tools.flapi.generator.AbstractGenerator.BUILDER_NARROWED_INTERFACE_STRATEGY",1,1,1,1,4,0,4,0,1,4,4,0,,1,0,,,,0,0,1,1,0,0,0,1,,6,0,6,4,2,0,,,,3,4,3,2,,,,,,1,1,1,1,,1,0,,0,0,"0.00",1,1,1,1
Public Static Method,"unquietcode.tools.flapi.generator.AbstractGenerator.BUILDER_NARROWED_INTERFACE_STRATEGY.createType",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,2,2,0,4,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"unquietcode.tools.flapi.generator.AbstractGenerator.addMethod",,,,,,,,,,,,,,,,,,,,,,,,,,,10,17,3,12,4,8,2,5,4,1,6,10,5,8,3,3,3,1,0,,,,,0,,1,0,,,"0.17",3,3,3,1
Protected Method,"unquietcode.tools.flapi.generator.AbstractGenerator.getType",,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,4,19,4,13,4,6,4,1,9,12,4,10,3,3,3,3,2,,,,,2,,1,2,,,"0.21",3,3,3,3
Protected Method,"unquietcode.tools.flapi.generator.AbstractGenerator.makeMethodKey",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,6,2,4,0,7,1,0,3,4,2,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Method,"unquietcode.tools.flapi.generator.AbstractGenerator.makeMethodKey",,,,,,,,,,,,,,,,,,,,,,,,,,,6,16,4,12,4,9,0,3,3,0,8,12,5,9,3,3,3,1,1,,,,,0,,2,0,,,"0.00",3,3,3,1
Protected Method,"unquietcode.tools.flapi.generator.AbstractGenerator.ref",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"unquietcode.tools.flapi.generator.AbstractGenerator.ref",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Package,"unquietcode.tools.flapi.graph",5,5,5,1,27,4,21,1,,,,,1,0,0,,1,,9,3,9,,0,6,2,1,,299,59,205,59,137,35,,,,108,172,73,133,,,,,,8,8,8,3,,,4,,,,"0.17",48,48,49,11
Public Class,"unquietcode.tools.flapi.graph.GraphBuilder",5,5,5,1,27,4,21,1,1,20,20,0,,0,0,,,,9,3,9,9,0,6,2,1,,285,54,196,50,137,35,,,,99,163,64,133,,,,,,8,8,8,3,,1,4,,85,62,"0.18",48,48,49,11
Private Method,"unquietcode.tools.flapi.graph.GraphBuilder.addTransition",,,,,,,,,,,,,,,,,,,,,,,,,,,7,35,3,32,8,26,0,17,10,1,20,27,9,24,8,8,8,1,4,,,,,0,,2,0,,,"0.00",8,8,8,1
Public Method,"unquietcode.tools.flapi.graph.GraphBuilder.buildGraph",,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,2,11,2,7,2,8,3,0,5,9,3,7,3,3,4,1,0,,,,,0,,2,0,,,"0.18",3,3,4,1
Protected Method,"unquietcode.tools.flapi.graph.GraphBuilder.computeMinusMethod",,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,3,13,3,9,2,6,3,0,7,10,3,9,3,3,3,1,1,,,,,0,,1,0,,,"0.15",3,3,3,1
Private Method,"unquietcode.tools.flapi.graph.GraphBuilder.convertBlock",,,,,,,,,,,,,,,,,,,,,,,,,,,5,42,8,33,7,24,1,15,22,1,17,29,11,23,8,8,8,3,2,,,,,2,,2,2,,,"0.03",8,8,8,3
Private Method,"unquietcode.tools.flapi.graph.GraphBuilder.deduplicate",,,,,,,,,,,,,,,,,,,,,,,,,,,2,24,5,17,6,12,2,5,5,1,9,15,8,12,4,4,4,1,0,,,,,0,,2,0,,,"0.12",4,4,4,1
Private Method,"unquietcode.tools.flapi.graph.GraphBuilder.findAllBlocks",,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,3,14,1,8,0,5,7,1,4,12,4,8,5,5,5,1,1,,,,,0,,2,0,,,"0.00",5,5,5,1
Private Method,"unquietcode.tools.flapi.graph.GraphBuilder.getStateFromBlockAndMethods",,,,,,,,,,,,,,,,,,,,,,,,,,,6,25,5,20,6,15,0,11,8,1,12,18,8,15,4,4,4,1,1,,,,,0,,1,0,,,"0.00",4,4,4,1
Private Method,"unquietcode.tools.flapi.graph.GraphBuilder.initializeReferenceMap",,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,1,17,5,8,0,5,9,1,4,11,4,8,5,5,5,1,0,,,,,0,,2,0,,,"0.00",5,5,5,1
Protected Method,"unquietcode.tools.flapi.graph.GraphBuilder.makeCombinations",,,,,,,,,,,,,,,,,,,,,,,,,,,4,49,9,34,8,25,6,11,22,1,18,28,10,24,8,8,8,1,0,,,,,0,,4,0,,,"0.18",8,8,8,1
Package,"unquietcode.tools.flapi.outline",2,2,2,1,5,0,4,0,,,,,1,0,0,,1,,16,7,16,,0,0,0,16,,150,32,91,35,46,27,,,,51,76,32,48,,,,,,14,14,15,9,,,1,,,,"0.30",35,35,37,24
Public Class,"unquietcode.tools.flapi.outline.MethodOutline",2,2,2,1,5,0,4,0,3,7,7,0,,0,0,,,,16,7,16,16,0,0,0,16,,141,27,87,31,46,27,,,,47,72,28,48,,,,,,14,14,15,9,,1,1,,69,69,"0.31",35,35,37,24
Public Method,"unquietcode.tools.flapi.outline.MethodOutline.compareTo",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"unquietcode.tools.flapi.outline.MethodOutline.copy",,,,,,,,,,,,,,,,,,,,,,,,,,,8,11,1,10,2,8,0,7,1,0,8,9,2,8,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"unquietcode.tools.flapi.outline.MethodOutline.equals",,,,,,,,,,,,,,,,,,,,,,,,,,,7,19,3,16,3,13,0,4,9,1,10,19,2,17,14,14,15,9,8,,,,,8,,1,8,,,"0.00",14,14,15,9
Public Method,"unquietcode.tools.flapi.outline.MethodOutline.getBlockChain",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"unquietcode.tools.flapi.outline.MethodOutline.getMethodSignature",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"unquietcode.tools.flapi.outline.MethodOutline.getReturnType",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"unquietcode.tools.flapi.outline.MethodOutline.hashCode",,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,0,10,3,7,0,2,1,0,7,8,2,7,7,7,7,1,0,,,,,0,,0,0,,,"0.00",7,7,7,1
Public Method,"unquietcode.tools.flapi.outline.MethodOutline.isImplicitTerminal",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"unquietcode.tools.flapi.outline.MethodOutline.isRequired",,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,2,1,0,,,,,0,,0,0,,,"0.00",1,1,2,1
Public Method,"unquietcode.tools.flapi.outline.MethodOutline.isTerminal",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"unquietcode.tools.flapi.outline.MethodOutline.isTerminal",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"unquietcode.tools.flapi.outline.MethodOutline.returnType",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,2,0,1,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"unquietcode.tools.flapi.outline.MethodOutline.setImplicitTerminal",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"unquietcode.tools.flapi.outline.MethodOutline.setMethodSignature",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
