Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"MonitorConfig.java",1,1,1,1,6,0,4,1,,,,,2,1,0,15,,15,14,4,15,,0,1,0,14,,151,20,84,35,31,47,,,,36,57,33,25,,,,,,3,3,4,1,,,2,,,,"0.56",19,19,21,15
File,"SortedTagList.java",1,1,1,1,5,0,4,1,,,,,2,1,1,16,,16,15,3,16,,0,1,0,15,,146,22,84,38,28,40,,,,32,56,32,27,,,,,,2,2,2,1,,,1,,,,"0.48",19,19,20,16
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.netflix",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.netflix.servo",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.netflix.servo.monitor",1,1,1,1,6,0,4,1,,,,,2,1,0,,1,,14,4,15,,0,1,0,14,,151,20,84,35,31,47,,,,36,57,33,25,,,,,,3,3,4,1,,,2,,,,"0.56",19,19,21,15
Public Final Class,"com.netflix.servo.monitor.MonitorConfig",1,1,1,1,7,0,4,2,1,8,8,0,,1,0,,,,8,2,9,9,0,1,0,8,,119,17,74,25,31,28,,,,26,47,23,25,,,,,,2,2,4,1,,1,1,,22,22,"0.38",11,11,13,9
Public Static Class,"com.netflix.servo.monitor.MonitorConfig.Builder",1,1,1,1,4,0,4,0,1,8,8,0,,0,0,,,,6,2,6,6,0,0,0,6,,36,6,30,9,13,0,,,,12,22,10,13,,,,,,3,3,3,1,,1,2,,58,58,"0.00",8,8,8,6
Public Constructor,"com.netflix.servo.monitor.MonitorConfig.Builder.Builder",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.netflix.servo.monitor.MonitorConfig.Builder.build",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
