Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractXTestJavaValidator.java",1,1,1,1,10,0,10,4,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,22,5,17,9,7,4,,,,12,14,8,7,,,,,,1,1,1,1,,,0,,,,"0.24",1,1,1,1
File,"AbstractXTestProposalProvider.java",1,1,1,1,3,0,2,0,,,,,1,0,0,23,,23,23,0,23,,0,0,0,23,,90,4,68,31,13,18,,,,19,43,30,13,,,,,,1,1,1,1,,,0,,,,"0.26",23,23,23,23
File,"AbstractXTestSemanticSequencer.java",3,2,17,2,28,0,23,4,,,,,1,0,0,48,,48,48,7,48,,0,0,46,2,,1532,102,1204,129,977,226,,,,264,376,121,259,,,,,,93,58,777,92,,,3,,,,"0.19",146,111,830,139
File,"Body.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,66,7,9,7,0,51,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,"5.67",0,0,0,0
File,"BodyImpl.java",2,1,2,1,15,0,10,5,,,,,1,0,0,9,,9,9,2,9,,0,0,2,7,,211,21,110,32,44,81,,,,42,59,25,34,,,,,,3,2,5,1,,,1,,,,"0.74",21,16,23,9
File,"ExtensionMethods.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,12,1,6,3,1,5,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,"0.83",1,1,1,1
File,"InternalXTestLexer.java",3,2,5,1,31,5,22,3,,,,,2,0,93,86,,86,86,1,86,,0,0,0,86,,3425,570,2418,669,1634,439,,,,934,1216,417,854,,,,,,79,50,82,9,,,5,,,,"0.18",295,210,443,114
File,"InternalXTestParser.java",9,9,10,5,67,16,44,6,,,,,15,0,781,260,,260,260,15,260,,0,0,2,258,,20202,4673,13434,2957,9243,2130,,,,6272,8628,2073,7478,,,,,,122,96,122,62,,,9,,,,"0.16",2510,2360,2779,1311
File,"XTestAdapterFactory.java",1,1,1,1,10,0,5,5,,,,,2,0,1,19,,19,19,1,19,,0,0,0,19,,259,21,113,25,41,126,,,,31,54,30,25,,,,,,3,3,3,3,,,1,,,,"1.12",22,22,22,21
File,"XTestFactory.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,6,6,1,6,,6,0,0,0,,83,10,12,10,1,62,,,,9,10,10,1,,,,,,0,0,0,0,,,0,,,,"5.17",0,0,0,0
File,"XTestFactoryImpl.java",1,1,1,1,12,0,6,5,,,,,1,2,0,10,,10,8,0,10,,0,0,0,10,,158,16,78,26,28,66,,,,30,44,24,26,,,,,,6,3,6,3,,,2,,,,"0.85",17,13,17,12
File,"XTestGrammarAccess.java",1,1,1,1,2,0,2,0,,,,,11,0,0,289,,289,289,145,289,,0,0,0,289,,1627,311,780,456,423,536,,,,443,743,453,423,,,,,,2,2,2,1,,,0,,,,"0.69",299,299,299,289
