Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"DataFile.java",1,1,1,1,2,0,2,0,,,,,1,0,0,36,,36,36,17,36,,0,0,0,36,,204,54,146,78,35,4,,,,60,97,62,35,,,,,,1,1,1,1,,,0,,,,"0.03",36,36,36,36
File,"DataFileFormController.java",2,2,3,1,40,9,28,3,,,,,1,0,0,2,,2,2,1,2,,0,0,2,0,,136,31,88,49,47,17,,,,66,72,46,38,,,,,,3,3,4,1,,,2,,,,"0.19",5,5,6,2
File,"DataFileLoader.java",9,7,10,1,60,11,44,5,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,399,77,247,64,180,75,,,,156,197,71,153,,,,,,31,18,32,1,,,7,,,,"0.30",49,36,50,5
File,"OzTrackUtil.java",3,3,3,1,34,6,28,0,,,,,1,2,1,2,,2,0,0,2,,0,0,0,2,,101,22,74,34,44,5,,,,55,63,34,41,,,,,,6,6,6,1,,,3,,,,"0.07",7,7,7,2
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.oztrack",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.oztrack.controller",2,2,3,1,40,9,28,3,,,,,1,0,0,,1,,2,1,2,,0,0,2,0,,136,31,88,49,47,17,,,,66,72,46,38,,,,,,3,3,4,1,,,2,,,,"0.19",5,5,6,2
Public Class,"org.oztrack.controller.DataFileFormController",2,2,3,1,40,9,28,3,1,20,20,0,,0,0,,,,2,1,2,2,0,0,2,0,,100,24,59,20,47,17,,,,37,43,17,38,,,,,,3,3,4,1,,2,2,,50,50,"0.29",5,5,6,2
Protected Method,"org.oztrack.controller.DataFileFormController.formBackingObject",,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,3,13,5,8,0,9,2,0,7,9,4,7,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Protected Method,"org.oztrack.controller.DataFileFormController.onSubmit",,,,,,,,,,,,,,,,,,,,,,,,,,,7,65,15,43,13,38,7,40,3,0,29,32,11,30,3,3,4,1,2,,,,,0,,2,0,,,"0.16",3,3,4,1
Package,"org.oztrack.data",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.oztrack.data.loader",9,7,10,1,60,11,44,5,,,,,1,0,0,,1,,5,1,5,,0,0,0,5,,399,77,247,64,180,75,,,,156,197,71,153,,,,,,31,18,32,1,,,7,,,,"0.30",49,36,50,5
Public Class,"org.oztrack.data.loader.DataFileLoader",9,7,10,1,60,11,44,5,1,34,34,0,,0,0,,,,5,1,5,5,0,0,0,5,,320,61,225,43,180,34,,,,135,176,50,153,,,,,,31,18,32,1,,1,7,,60,40,"0.15",49,36,50,5
