Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AnnotationProcessor.java",3,3,4,1,21,1,14,5,,,,,5,0,4,52,,46,42,15,42,,23,9,0,10,,1292,120,857,264,547,315,,,,440,634,267,466,,,,,,16,16,20,5,,,5,,,,"0.37",181,176,214,65
File,"AnnotationProcessorTest.java",1,1,1,1,15,1,12,0,,,,,1,0,0,54,,54,53,4,53,,0,3,0,50,,959,161,731,341,516,67,,,,522,579,288,463,,,,,,2,2,2,1,,,1,,,,"0.09",56,56,56,54
File,"DEECo.java",1,1,1,1,7,0,7,0,,,,,3,0,0,16,,16,16,9,16,,4,1,0,11,,213,40,149,67,62,24,,,,78,112,63,59,,,,,,5,5,5,1,,,3,,,,"0.16",26,26,26,16
File,"DEECoTest.java",1,1,1,1,20,2,12,4,,,,,11,0,0,19,,19,19,0,19,,0,1,0,18,,445,77,269,130,165,99,,,,189,211,113,165,,,,,,2,2,2,1,,,1,,,,"0.37",20,20,20,19
File,"InvalidOperationException.java",1,1,1,1,3,0,3,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,18,3,7,4,2,8,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,,"1.14",1,1,1,1
File,"SecurityRuntimeModel.java",1,1,1,1,6,0,6,0,,,,,9,6,5,15,,15,7,26,13,,0,0,0,13,,265,49,209,137,54,7,,,,129,156,110,50,,,,,,2,2,4,1,,,1,,,,"0.03",18,18,21,15
Package,"cz",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"cz.cuni",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"cz.cuni.mff",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"cz.cuni.mff.d3s",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"cz.cuni.mff.d3s.deeco",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
