Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractDrop.java",1,1,1,1,7,0,7,0,,,,,1,0,0,7,,7,7,3,7,,0,0,0,7,,90,12,59,22,17,19,,,,18,29,15,15,,,,,,4,4,4,1,,,2,,,,"0.32",10,10,10,7
File,"AbstractDropSource.java",1,1,1,1,7,0,6,0,,,,,1,0,3,25,,26,26,12,26,,0,3,2,21,,295,55,220,78,86,20,,,,112,157,83,82,,,,,,4,4,4,1,,,3,,,,"0.09",40,40,40,25
File,"Drop.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,7,7,0,7,,7,0,0,0,,22,9,13,11,0,0,,,,10,11,11,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"EntityDrop.java",2,2,2,1,11,1,9,0,,,,,1,9,0,11,,11,2,1,11,,0,4,4,3,,174,35,119,42,59,20,,,,58,82,44,53,,,,,,4,4,5,1,,,2,,,,"0.17",22,22,27,11
Package,"se",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"se.crafted",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"se.crafted.chrisb",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"se.crafted.chrisb.ecoCreature",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"se.crafted.chrisb.ecoCreature.drops",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"se.crafted.chrisb.ecoCreature.drops.models",1,1,2,1,10,1,8,0,,,,,3,9,0,,3,,16,4,25,,7,4,4,10,,286,56,191,75,76,39,,,,86,122,70,68,,,,,,4,4,5,1,,,2,,,,"0.20",32,32,37,18
