Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"WaveBase.java",1,1,1,1,10,0,6,3,,,,,1,0,2,38,,38,37,14,37,,1,2,0,34,,545,80,288,114,125,177,,,,121,184,80,113,,,,,,8,8,8,1,,,2,,,,"0.61",64,59,69,38
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jrebirth",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jrebirth.af",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jrebirth.af.core",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jrebirth.af.core.wave",1,1,1,1,10,0,6,3,,,,,1,0,2,,1,,37,14,37,,1,2,0,34,,545,80,288,114,125,177,,,,121,184,80,113,,,,,,8,8,8,1,,,2,,,,"0.61",64,59,69,38
Public Class,"org.jrebirth.af.core.wave.WaveBase",1,1,1,1,10,0,6,3,3,23,23,0,,0,2,,,,37,14,37,37,1,2,0,34,,522,76,269,95,125,177,,,,102,165,61,113,,,,,,8,8,8,1,,1,2,,93,90,"0.66",64,59,69,38
Constructor,"org.jrebirth.af.core.wave.WaveBase.WaveBase",,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,5,1,3,5,6,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Generic Method,"org.jrebirth.af.core.wave.WaveBase.add",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,6,3,3,3,3,1,0,3,4,2,3,1,1,1,1,0,,,,,0,,0,0,,,"0.50",1,1,1,1
TypeVariable,"org.jrebirth.af.core.wave.WaveBase.add.T",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
