Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"OSCPacketDispatcherTest.java",2,2,2,1,8,0,8,0,,,,,1,0,0,6,,6,6,3,6,,0,0,2,4,,79,11,57,18,29,11,,,,27,41,16,29,,,,,,3,3,3,1,,,1,,,,"0.19",13,13,14,6
File,"OSCPortTest.java",1,1,1,1,8,0,8,0,,,,,1,0,0,8,,8,8,2,8,,0,0,2,6,,99,11,75,27,49,15,,,,48,60,25,45,,,,,,3,3,3,1,,,1,,,,"0.20",11,11,11,8
File,"TestOSCListener.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,33,7,19,11,6,7,,,,9,13,9,4,,,,,,1,1,1,1,,,0,,,,"0.37",3,3,3,3
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.illposed",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.illposed.osc",1,1,1,1,7,0,7,0,,,,,3,0,0,,3,,17,7,17,,0,0,4,13,,211,29,151,56,84,33,,,,84,114,50,78,,,,,,3,3,3,1,,,1,,,,"0.22",27,27,28,17
Public Class,"com.illposed.osc.OSCPacketDispatcherTest",2,2,2,1,8,0,8,0,1,6,6,0,,0,0,,,,6,3,6,6,0,0,2,4,,67,8,55,16,29,4,,,,25,39,14,29,,,,,,3,3,3,1,,2,1,,16,16,"0.07",13,13,14,6
Protected Method,"com.illposed.osc.OSCPacketDispatcherTest.setUp",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,8,2,5,0,4,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"com.illposed.osc.OSCPacketDispatcherTest.tearDown",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,1,3,2,0,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.illposed.osc.OSCPacketDispatcherTest.testDispatchBundle",,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,0,12,2,8,0,4,4,1,6,9,2,8,3,3,3,1,0,,,,,0,,1,0,,,"0.00",3,3,3,1
Public Method,"com.illposed.osc.OSCPacketDispatcherTest.testDispatchToListener1",,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,10,2,6,0,3,4,1,4,7,2,6,3,3,3,1,0,,,,,0,,1,0,,,"0.00",3,3,3,1
Public Method,"com.illposed.osc.OSCPacketDispatcherTest.testDispatchToListener2",,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,10,2,6,0,3,4,1,4,7,2,6,3,3,3,1,0,,,,,0,,1,0,,,"0.00",3,3,3,1
Public Method,"com.illposed.osc.OSCPacketDispatcherTest.testDispatchToNobody",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,2,4,0,3,2,0,3,5,2,4,2,2,3,1,0,,,,,0,,1,0,,,"0.00",2,2,3,1
Public Class,"com.illposed.osc.OSCPortTest",1,1,1,1,8,0,8,0,1,9,9,0,,0,0,,,,8,2,8,8,0,0,2,6,,89,9,74,26,49,8,,,,47,59,24,45,,,,,,3,3,3,1,,2,1,,25,25,"0.11",11,11,11,8
Protected Method,"com.illposed.osc.OSCPortTest.setUp",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,2,3,0,4,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"com.illposed.osc.OSCPortTest.tearDown",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,2,3,0,2,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.illposed.osc.OSCPortTest.testBundle",,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,10,5,8,0,1,1,0,8,9,5,6,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.illposed.osc.OSCPortTest.testBundle2",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,8,3,6,0,3,1,0,6,7,3,6,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.illposed.osc.OSCPortTest.testBundleReceiving",,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,0,17,3,13,1,11,4,1,10,13,3,12,3,3,3,1,0,,,,,0,,1,0,,,"0.06",3,3,3,1
