Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AA.java",1,1,1,1,5,0,5,0,,,,,1,0,1,10,,10,10,1,10,,0,0,0,10,,79,12,67,25,30,0,,,,31,46,20,27,,,,,,3,3,4,1,,,1,,,,"0.00",14,14,17,10
File,"AADelete.java",17,17,22,4,114,5,107,6,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,243,14,224,22,183,13,,,,142,174,19,162,,,,,,33,33,43,8,,,6,,,,"0.06",34,34,44,9
File,"AAInsert.java",5,5,7,4,48,1,45,1,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,109,7,99,12,78,3,,,,69,81,11,71,,,,,,10,10,13,7,,,4,,,,"0.03",11,11,14,8
File,"AANode.java",1,1,1,1,5,0,5,0,,,,,1,0,0,9,,9,9,0,9,,0,0,0,9,,70,10,60,20,27,0,,,,26,41,16,26,,,,,,4,4,5,1,,,1,,,,"0.00",14,14,16,9
File,"ADTs.java",3,3,4,1,14,0,14,0,,,,,1,1,2,1,,1,0,0,1,,0,0,0,1,,36,3,25,11,15,12,,,,10,14,7,7,,,,,,3,3,4,1,,,1,,,,"0.48",3,3,4,1
File,"AVL.java",1,1,1,1,3,0,3,0,,,,,1,0,1,5,,5,5,0,5,,0,0,0,5,,33,7,26,15,6,0,,,,10,16,11,5,,,,,,1,1,1,1,,,0,,,,"0.00",5,5,5,5
File,"AVLDelete.java",13,13,13,4,98,3,93,7,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,209,11,195,15,162,15,,,,133,159,14,148,,,,,,25,25,26,8,,,4,,,,"0.08",26,26,27,9
File,"AVLInsert.java",6,6,6,4,61,1,59,2,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,134,7,126,11,104,5,,,,93,107,10,97,,,,,,12,12,12,7,,,4,,,,"0.04",13,13,13,8
File,"AVLNode.java",2,1,2,1,8,0,7,0,,,,,1,0,0,11,,11,11,1,11,,0,0,0,11,,116,17,97,30,55,2,,,,51,68,24,45,,,,,,9,5,11,1,,,2,,,,"0.02",22,18,24,11
File,"AlgVis.java",3,3,3,1,29,3,20,6,,,,,1,0,1,4,,4,4,6,4,,0,0,0,4,,151,22,105,40,65,24,,,,85,100,44,69,,,,,,6,6,6,4,,,3,,,,"0.23",14,14,14,7
