Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BuildPositionalIndexIP.java",3,3,3,2,30,5,23,1,,,,,1,1,1,2,,2,1,0,2,,0,0,0,2,,102,16,68,33,39,18,,,,49,55,31,33,,,,,,5,5,5,4,,,1,,,,"0.26",6,6,6,5
File,"BuildTermDocVectors.java",2,2,2,0,25,4,18,2,,,,,6,0,7,13,,7,13,11,13,,0,0,0,13,,423,77,308,137,212,44,,,,222,256,119,187,,,,,,8,8,8,3,,,3,,,,"0.14",27,27,27,11
File,"IndexBuilder.java",6,6,8,2,78,11,65,2,,,,,1,1,11,2,,2,1,0,2,,0,0,0,2,,213,32,177,67,125,5,,,,123,136,64,85,,,,,,12,12,15,4,,,2,,,,"0.03",13,13,16,5
File,"PreprocessCollection.java",4,4,5,3,44,5,36,3,,,,,1,0,1,1,,2,2,2,2,,0,0,0,2,,88,13,57,28,30,18,,,,42,48,28,26,,,,,,4,4,5,3,,,1,,,,"0.32",4,4,5,3
File,"PreprocessGov2.java",1,1,1,1,9,0,7,1,,,,,1,1,0,2,,2,1,0,2,,0,0,0,2,,50,8,24,11,10,18,,,,9,12,10,2,,,,,,1,1,1,1,,,0,,,,"0.75",2,2,2,2
File,"PreprocessTrec45.java",1,1,1,1,9,0,7,1,,,,,1,1,0,2,,2,1,0,2,,0,0,0,2,,50,8,24,11,10,18,,,,9,12,10,2,,,,,,1,1,1,1,,,0,,,,"0.75",2,2,2,2
File,"PreprocessWt10g.java",1,1,1,1,9,0,7,1,,,,,1,1,0,2,,2,1,0,2,,0,0,0,2,,50,8,24,11,10,18,,,,9,12,10,2,,,,,,1,1,1,1,,,0,,,,"0.75",2,2,2,2
Package,"ivory",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"ivory.app",2,2,3,1,28,3,23,1,,,,,6,5,13,,6,,7,2,12,,0,0,0,12,,553,85,374,161,224,95,,,,241,275,153,150,,,,,,12,12,15,4,,,2,,,,"0.25",29,29,33,19
Public Class,"ivory.app.BuildPositionalIndexIP",3,3,3,2,30,5,23,1,2,20,20,0,,1,1,,,,1,0,2,2,0,0,0,2,,65,12,50,15,39,3,,,,31,37,13,33,,,,,,5,5,5,4,,2,1,,0,0,"0.06",6,6,6,5
