Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ConnectionManager.java",2,2,2,1,14,0,13,0,,,,,9,0,1,38,,44,36,24,36,,17,6,2,11,,565,54,436,154,236,77,,,,226,316,140,204,,,,,,7,7,9,5,,,5,,,,"0.18",93,93,101,45
File,"Http2ClientTest.java",1,1,1,1,10,0,10,0,,,,,13,0,0,330,,330,80,1,80,,0,10,5,65,,1817,85,1675,384,1349,58,,,,1063,1191,319,1028,,,,,,4,4,4,1,,,3,,,,"0.03",378,372,378,330
File,"Http2Pool.java",1,1,1,1,8,0,8,0,,,,,1,0,0,12,,12,11,9,11,,3,1,0,7,,161,16,123,51,55,23,,,,62,86,43,47,,,,,,3,3,3,3,,,2,,,,"0.19",18,18,20,14
Package,"io",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"io.vertx",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"io.vertx.core",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"io.vertx.core.http",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"io.vertx.core.http.impl",2,2,2,1,13,0,12,0,,,,,10,0,1,,2,,47,33,47,,20,7,2,18,,726,70,559,205,291,100,,,,288,402,183,251,,,,,,7,7,9,5,,,5,,,,"0.18",111,111,121,59
Public Class,"io.vertx.core.http.impl.ConnectionManager",1,1,1,1,7,0,7,0,1,15,15,0,,0,1,,,,5,13,5,5,2,0,0,3,,506,50,396,114,236,62,,,,186,276,100,204,,,,,,2,2,3,1,,1,1,,70,70,"0.16",7,7,8,5
Private Class,"io.vertx.core.http.impl.ConnectionManager.ChannelConnector",3,3,3,1,41,1,38,1,1,28,28,0,,0,0,,,,4,0,4,4,3,0,1,0,,179,11,154,37,100,14,,,,61,94,25,81,,,,,,5,5,5,1,,1,5,,0,0,"0.09",24,24,25,6
Method,"io.vertx.core.http.impl.ConnectionManager.ChannelConnector.applyConnectionOptions",,,,,,,,,,,,,,,,,,,,,,,,,,,14,20,0,20,1,14,0,9,16,1,10,15,1,14,5,5,5,1,0,,,,,0,,1,0,,,"0.00",5,5,5,1
Method,"io.vertx.core.http.impl.ConnectionManager.ChannelConnector.applyHttp1xConnectionOptions",,,,,,,,,,,,,,,,,,,,,,,,,,,10,13,0,13,1,8,0,5,8,1,5,9,1,8,4,4,4,1,0,,,,,0,,1,0,,,"0.00",4,4,4,1
