Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"GeneralComponentTest.java",1,1,1,1,14,0,14,0,,,,,1,0,0,7,,7,7,0,7,,0,0,0,7,,125,13,112,53,71,2,,,,45,53,37,31,,,,,,1,1,1,1,,,0,,,,"0.02",7,7,7,7
File,"GeneralPropertyTest.java",1,1,1,1,9,0,9,0,,,,,1,0,0,12,,12,12,0,12,,0,0,0,12,,143,17,126,70,65,1,,,,74,87,57,51,,,,,,1,1,1,1,,,0,,,,"0.01",12,12,12,12
File,"ICalendarUtilities.java",4,4,5,3,34,0,25,11,,,,,2,14,1,22,,22,2,1,16,,1,1,0,14,,897,37,542,122,301,365,,,,250,342,121,266,,,,,,17,17,20,13,,,6,,,,"0.67",99,99,115,73
File,"PropertyBase.java",1,1,2,1,8,0,7,1,,,,,1,0,0,54,,54,46,11,46,,0,4,6,36,,544,33,426,146,205,97,,,,189,269,123,176,,,,,,7,7,10,4,,,3,,,,"0.23",96,96,109,57
File,"VComponentBase.java",1,1,1,1,9,0,8,1,,,,,1,0,2,13,,13,12,2,12,,3,0,1,8,,158,16,118,43,54,26,,,,52,73,39,44,,,,,,8,8,9,1,,,4,,,,"0.22",22,22,23,13
File,"VJournal.java",1,1,1,1,6,0,4,1,,,,,1,1,0,11,,11,9,1,10,,0,0,0,10,,155,14,67,24,23,74,,,,30,44,23,22,,,,,,2,2,2,1,,,1,,,,"1.10",15,15,15,11
Package,"jfxtras",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jfxtras.labs",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jfxtras.labs.icalendarfx",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jfxtras.labs.icalendarfx.component",1,1,1,1,14,0,14,0,,,,,1,0,0,,1,,7,0,7,,0,0,0,7,,125,13,112,53,71,2,,,,45,53,37,31,,,,,,1,1,1,1,,,0,,,,"0.02",7,7,7,7
Public Class,"jfxtras.labs.icalendarfx.component.GeneralComponentTest",1,1,1,1,14,0,14,0,1,9,9,0,,0,0,,,,7,0,7,7,0,0,0,7,,110,8,102,43,71,2,,,,35,43,27,31,,,,,,1,1,1,1,,1,0,,0,0,"0.02",7,7,7,7
Public Method,"jfxtras.labs.icalendarfx.component.GeneralComponentTest.canCatchDuplicateProperty",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,9,4,5,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"jfxtras.labs.icalendarfx.component.GeneralComponentTest.canCatchSecondAssignmentException",,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,10,5,6,1,2,1,0,3,4,3,2,1,1,1,1,0,,,,,0,,0,0,,,"0.10",1,1,1,1
Public Method,"jfxtras.labs.icalendarfx.component.GeneralComponentTest.canChangePropertyAllowedOnlyOnce",,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,11,6,7,0,6,1,0,5,6,4,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"jfxtras.labs.icalendarfx.component.GeneralComponentTest.canEscapeTest",,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,0,11,6,7,0,5,1,0,5,6,4,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"jfxtras.labs.icalendarfx.component.GeneralComponentTest.canFoldAndUnfoldLine",,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,0,16,8,12,0,8,1,0,6,7,5,5,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"jfxtras.labs.icalendarfx.component.GeneralComponentTest.canMaintainOrderAfterEdit",,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,0,9,5,5,0,7,1,0,4,5,3,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"jfxtras.labs.icalendarfx.component.GeneralComponentTest.canSetPropertyOrder",,,,,,,,,,,,,,,,,,,,,,,,,,,2,34,1,33,8,29,1,12,1,0,10,11,5,10,1,1,1,1,0,,,,,0,,0,0,,,"0.03",1,1,1,1
Package,"jfxtras.labs.icalendarfx.components",1,1,1,1,8,0,6,1,,,,,2,1,2,,2,,21,3,22,,3,0,1,18,,313,30,185,67,77,100,,,,82,117,62,66,,,,,,8,8,9,1,,,4,,,,"0.54",37,37,38,24
Public Abstract Class,"jfxtras.labs.icalendarfx.components.VComponentBase",1,1,1,1,9,0,8,1,2,12,12,0,,0,2,,,,12,2,12,12,3,0,1,8,,145,13,108,33,54,26,,,,42,63,29,44,,,,,,8,8,9,1,,2,4,,85,66,"0.24",22,22,23,13
Constructor,"jfxtras.labs.icalendarfx.components.VComponentBase.VComponentBase",,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,0,9,1,6,3,7,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.33",1,1,1,1
Constructor,"jfxtras.labs.icalendarfx.components.VComponentBase.VComponentBase",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,5,1,2,1,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.20",1,1,1,1
Public Constructor,"jfxtras.labs.icalendarfx.components.VComponentBase.VComponentBase",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,5,1,2,1,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.20",1,1,1,1
Public Method,"jfxtras.labs.icalendarfx.components.VComponentBase.componentName",,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,2,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"jfxtras.labs.icalendarfx.components.VComponentBase.copyChildCallback",,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,0,13,3,6,1,1,1,0,4,6,2,5,1,1,1,1,0,,,,,0,,1,0,,,"0.08",3,3,3,2
Lambda Method,"jfxtras.labs.icalendarfx.components.VComponentBase.copyChildCallback.(lambda_expr_1)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,9,1,5,1,4,2,0,3,4,1,4,2,2,2,1,0,,,,,0,,0,0,,,"0.11",2,2,2,1
Public Method,"jfxtras.labs.icalendarfx.components.VComponentBase.copyFrom",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,2,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"jfxtras.labs.icalendarfx.components.VComponentBase.getParent",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
