Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CacheResolver.java",1,1,1,1,4,0,4,0,,,,,1,0,0,11,,11,11,2,11,,0,0,0,11,,84,15,66,38,17,3,,,,28,41,26,17,,,,,,3,3,3,1,,,1,,,,"0.05",13,13,13,11
File,"CompileOutputResolver.java",1,1,1,1,6,0,6,0,,,,,1,0,0,11,,11,11,3,11,,0,1,0,10,,101,15,82,45,27,4,,,,36,54,33,27,,,,,,3,3,3,1,,,2,,,,"0.05",17,17,17,11
File,"ContainerResolver.java",2,2,2,1,9,0,9,0,,,,,2,1,0,12,,12,11,2,12,,0,1,0,11,,140,15,122,48,52,3,,,,45,83,42,47,,,,,,5,5,5,3,,,2,,,,"0.02",29,29,29,22
File,"EmptyResolver.java",1,1,1,1,4,0,4,0,,,,,1,0,1,9,,9,9,0,9,,0,0,0,9,,68,13,51,33,9,4,,,,18,28,20,9,,,,,,1,1,1,1,,,0,,,,"0.08",9,9,9,9
File,"FilesResolver.java",1,1,1,1,5,0,5,0,,,,,1,0,0,10,,10,10,3,10,,0,0,0,10,,86,15,68,39,18,3,,,,27,42,27,18,,,,,,3,3,3,1,,,2,,,,"0.04",14,14,14,10
File,"JarFileResolver.java",1,1,1,1,5,0,5,0,,,,,1,0,1,12,,12,12,3,12,,0,2,0,10,,113,19,91,50,30,3,,,,43,60,37,27,,,,,,3,3,3,1,,,2,,,,"0.03",17,17,17,12
File,"JarsUtils.java",2,2,2,1,8,0,8,0,,,,,2,4,1,5,,5,1,0,5,,0,1,0,4,,68,9,59,27,24,0,,,,30,43,27,19,,,,,,4,4,4,1,,,2,,,,"0.00",11,11,12,5
File,"Resolver.java",1,1,1,1,11,0,4,7,,,,,1,6,0,6,,13,7,0,13,,0,0,0,13,,162,17,50,37,7,95,,,,26,33,27,7,,,,,,2,2,2,1,,,0,,,,"1.90",7,7,7,6
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.jetbrains",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.jetbrains.plugin",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.jetbrains.plugin.structure",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.jetbrains.plugin.structure.classes",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.jetbrains.plugin.structure.classes.resolvers",1,1,1,1,6,0,5,0,,,,,8,7,2,,7,,71,13,78,,0,4,0,74,,754,109,530,290,160,115,,,,223,341,212,152,,,,,,5,5,5,3,,,2,,,,"0.22",106,106,106,81
Public Class,"com.jetbrains.plugin.structure.classes.resolvers.CacheResolver",1,1,1,1,4,0,4,0,1,10,10,0,,0,0,,,,11,2,11,24,0,0,0,11,,71,12,56,28,17,3,,,,18,31,16,17,,,,,,3,3,3,1,,2,1,,45,36,"0.05",13,13,13,11
Public Constructor,"com.jetbrains.plugin.structure.classes.resolvers.CacheResolver.CacheResolver",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Constructor,"com.jetbrains.plugin.structure.classes.resolvers.CacheResolver.CacheResolver",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.CacheResolver.close",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.CacheResolver.containsClass",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.CacheResolver.findClass",,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,0,11,5,6,0,4,2,0,5,7,3,6,3,3,3,1,0,,,,,0,,1,0,,,"0.00",3,3,3,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.CacheResolver.getAllClasses",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,3,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.CacheResolver.getClassLocation",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.CacheResolver.getClassPath",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,3,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.CacheResolver.getEventualResolvers",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.CacheResolver.isEmpty",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.CacheResolver.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Class,"com.jetbrains.plugin.structure.classes.resolvers.CompileOutputResolver",1,1,1,1,6,0,6,0,1,18,18,0,,0,0,,,,11,3,11,24,0,1,0,10,,87,12,71,34,27,4,,,,25,43,22,27,,,,,,3,3,3,1,,2,2,,72,69,"0.06",17,17,17,11
Public Constructor,"com.jetbrains.plugin.structure.classes.resolvers.CompileOutputResolver.CompileOutputResolver",,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,0,12,4,8,0,8,3,0,6,10,5,8,3,3,3,1,0,,,,,0,,2,0,,,"0.00",3,3,3,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.CompileOutputResolver.close",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,3,2,0,1,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.33",1,1,1,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.CompileOutputResolver.containsClass",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.CompileOutputResolver.findClass",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,8,3,3,0,4,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.CompileOutputResolver.getAllClasses",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,3,1,0,4,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.CompileOutputResolver.getClassLocation",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,8,3,3,0,2,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.CompileOutputResolver.getClassPath",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,3,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"com.jetbrains.plugin.structure.classes.resolvers.CompileOutputResolver.getClassRoot",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,9,4,5,0,3,2,0,6,8,4,5,3,3,3,1,0,,,,,0,,1,0,,,"0.00",3,3,3,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.CompileOutputResolver.getEventualResolvers",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.CompileOutputResolver.isEmpty",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.CompileOutputResolver.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Final Class,"com.jetbrains.plugin.structure.classes.resolvers.ContainerResolver",2,2,2,1,9,0,9,0,1,13,13,0,,1,0,,,,10,2,11,24,0,1,0,10,,125,12,110,36,52,3,,,,33,71,30,47,,,,,,5,5,5,3,,2,2,,50,40,"0.03",28,28,28,21
Private Constructor,"com.jetbrains.plugin.structure.classes.resolvers.ContainerResolver.ContainerResolver",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.ContainerResolver.close",,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,0,14,3,8,0,1,6,1,4,9,3,6,4,4,4,1,1,,,,,0,,2,0,,,"0.00",4,4,4,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.ContainerResolver.containsClass",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,9,2,4,0,2,3,0,2,6,2,4,3,3,3,3,3,,,,,3,,2,3,,,"0.00",3,3,3,3
Public Static Method,"com.jetbrains.plugin.structure.classes.resolvers.ContainerResolver.createFromList",,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,0,16,3,9,0,7,9,1,5,11,3,9,5,5,5,3,2,,,,,2,,2,2,,,"0.00",5,5,5,3
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.ContainerResolver.findClass",,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,11,4,5,0,2,3,0,3,7,3,5,3,3,3,3,3,,,,,3,,2,3,,,"0.00",3,3,3,3
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.ContainerResolver.getAllClasses",,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,0,11,5,6,0,4,1,0,3,5,3,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
