Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ACC.java",1,1,1,1,14,1,6,6,,,,,1,0,1,10,,10,10,6,10,,0,1,0,9,,234,35,82,49,45,117,,,,51,63,43,34,,,,,,8,8,9,1,,,1,,,,"1.43",18,18,19,10
File,"Gipps.java",1,1,1,1,10,0,5,5,,,,,1,0,1,9,,9,9,3,9,,0,1,1,7,,160,21,58,33,25,81,,,,34,44,29,22,,,,,,1,1,1,1,,,0,,,,"1.40",9,9,9,9
File,"IDM.java",1,1,1,1,14,0,6,6,,,,,1,0,1,10,,10,10,5,10,,0,1,0,9,,221,26,82,34,43,114,,,,50,64,31,39,,,,,,3,3,3,1,,,1,,,,"1.39",13,13,13,10
File,"KKW.java",1,1,1,1,11,0,5,5,,,,,1,0,2,12,,12,12,7,12,,0,1,1,10,,237,31,88,50,44,125,,,,58,71,46,31,,,,,,8,8,8,1,,,0,,,,"1.42",19,19,19,12
File,"Krauss.java",1,1,1,1,13,0,5,7,,,,,1,0,1,8,,8,8,4,8,,0,1,0,7,,179,22,59,35,28,99,,,,39,48,33,24,,,,,,1,1,1,1,,,0,,,,"1.68",8,8,8,8
File,"LongitudinalModelBase.java",1,1,1,0,7,0,3,3,,,,,3,0,1,26,,24,28,19,28,,0,1,3,24,,316,37,129,66,46,153,,,,62,89,55,44,,,,,,4,4,4,4,,,1,,,,"1.19",26,26,26,25
File,"NSM.java",1,1,1,1,12,0,7,4,,,,,1,0,2,8,,8,8,2,8,,0,1,1,6,,158,20,70,35,36,68,,,,39,51,31,26,,,,,,4,4,4,1,,,2,,,,"0.97",13,13,13,8
File,"Newell.java",1,1,1,1,14,1,6,6,,,,,1,0,1,4,,4,4,1,4,,0,1,0,3,,98,14,35,22,16,49,,,,23,28,20,14,,,,,,1,1,1,1,,,0,,,,"1.40",4,4,4,4
File,"OVM_FVDM.java",2,2,2,1,15,0,8,7,,,,,1,0,1,9,,9,9,5,9,,0,1,0,8,,209,25,91,40,54,99,,,,57,74,38,45,,,,,,12,12,13,1,,,1,,,,"1.09",20,20,21,9
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.movsim",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.movsim.simulator",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.movsim.simulator.vehicles",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.movsim.simulator.vehicles.longitudinalmodel",1,1,1,0,7,0,3,3,,,,,3,0,1,,1,,28,19,28,,0,1,3,24,,316,37,129,66,46,153,,,,62,89,55,44,,,,,,4,4,4,4,,,1,,,,"1.19",26,26,26,25
Public Abstract Class,"org.movsim.simulator.vehicles.longitudinalmodel.LongitudinalModelBase",1,1,1,1,12,0,4,7,1,9,9,8,,0,1,,,,16,6,16,16,0,0,3,13,,281,35,121,58,46,128,,,,54,81,47,44,,,,,,4,4,4,4,,1,1,,86,85,"1.06",18,18,18,17
Protected Constructor,"org.movsim.simulator.vehicles.longitudinalmodel.LongitudinalModelBase.LongitudinalModelBase",,,,,,,,,,,,,,,,,,,,,,,,,,,11,13,0,5,1,3,8,5,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"1.60",1,1,1,1
Public Enum Type,"org.movsim.simulator.vehicles.longitudinalmodel.LongitudinalModelBase.ModelCategory",0,0,0,0,2,0,2,0,1,2,2,0,,0,0,,,,5,3,5,5,0,0,0,5,,16,3,13,6,3,0,,,,4,7,4,3,,,,,,1,1,1,1,,1,0,,,,"0.00",3,3,3,3
Public Method,"org.movsim.simulator.vehicles.longitudinalmodel.LongitudinalModelBase.ModelCategory.isCA",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.movsim.simulator.vehicles.longitudinalmodel.LongitudinalModelBase.ModelCategory.isIteratedMap",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.movsim.simulator.vehicles.longitudinalmodel.LongitudinalModelBase.ModelCategory.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Implicit Method,"org.movsim.simulator.vehicles.longitudinalmodel.LongitudinalModelBase.ModelCategory.valueOf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",0,0,0,0
Public Implicit Method,"org.movsim.simulator.vehicles.longitudinalmodel.LongitudinalModelBase.ModelCategory.values",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",0,0,0,0
