Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ChannelListener.java",2,1,2,1,13,1,10,3,,,,,1,0,0,9,,9,9,5,9,,0,0,1,8,,214,23,117,37,60,80,,,,64,83,38,49,,,,,,11,5,12,1,,,2,,,,"0.68",23,17,24,9
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.portico",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.portico.bindings",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.portico.bindings.jgroups",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.portico.bindings.jgroups.channel",2,1,2,1,13,1,10,3,,,,,1,0,0,,1,,9,5,9,,0,0,1,8,,214,23,117,37,60,80,,,,64,83,38,49,,,,,,11,5,12,1,,,2,,,,"0.68",23,17,24,9
Public Class,"org.portico.bindings.jgroups.channel.ChannelListener",2,1,2,1,13,1,10,3,4,16,16,0,,0,0,,,,9,5,9,9,0,0,1,8,,179,20,99,19,60,66,,,,46,65,20,49,,,,,,11,5,12,1,,1,2,,57,57,"0.67",23,17,24,9
Protected Constructor,"org.portico.bindings.jgroups.channel.ChannelListener.ChannelListener",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,1,8,1,5,0,8,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.portico.bindings.jgroups.channel.ChannelListener.block",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"org.portico.bindings.jgroups.channel.ChannelListener.getState",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"org.portico.bindings.jgroups.channel.ChannelListener.handle",,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,1,9,1,4,8,7,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,"0.89",2,2,2,1
Public Method,"org.portico.bindings.jgroups.channel.ChannelListener.receive",,,,,,,,,,,,,,,,,,,,,,,,,,,15,67,4,53,3,42,10,23,36,2,28,33,3,32,11,5,12,1,29,,,,,0,,2,0,,,"0.19",11,5,12,1
Public Method,"org.portico.bindings.jgroups.channel.ChannelListener.setState",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"org.portico.bindings.jgroups.channel.ChannelListener.suspect",,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,3,9,3,6,3,5,2,0,5,7,3,6,2,2,2,1,0,,,,,0,,1,0,,,"0.33",2,2,2,1
Public Method,"org.portico.bindings.jgroups.channel.ChannelListener.unblock",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"org.portico.bindings.jgroups.channel.ChannelListener.viewAccepted",,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,8,1,3,2,3,3,0,1,5,2,3,3,3,3,1,0,,,,,0,,2,0,,,"0.25",3,3,3,1
