Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"EntityManager.java",2,2,2,1,14,0,11,2,,,,,2,0,3,16,,14,16,6,16,,0,4,4,8,,306,32,216,101,107,59,,,,99,134,69,86,,,,,,6,6,6,6,,,4,,,,"0.27",33,33,34,19
File,"IvoryWebException.java",1,1,1,1,6,0,6,0,,,,,1,2,1,3,,3,1,0,3,,0,1,0,2,,52,9,26,13,11,17,,,,13,18,12,8,,,,,,2,2,3,1,,,1,,,,"0.65",4,4,5,3
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.ivory",1,1,1,1,6,0,6,0,,,,,1,2,1,,1,,1,0,3,,0,1,0,2,,52,9,26,13,11,17,,,,13,18,12,8,,,,,,2,2,3,1,,,1,,,,"0.65",4,4,5,3
Public Class,"org.apache.ivory.IvoryWebException",1,1,1,1,6,0,6,0,1,6,6,0,,2,1,,,,1,0,3,3,0,1,0,2,,26,5,21,8,11,0,,,,8,13,7,8,,,,,,2,2,3,1,,2,1,,0,0,"0.00",4,4,5,3
Public Constructor,"org.apache.ivory.IvoryWebException.IvoryWebException",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Method,"org.apache.ivory.IvoryWebException.getAddnInfo",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,8,3,5,0,4,2,0,4,6,3,4,2,2,3,1,0,,,,,0,,1,0,,,"0.00",2,2,3,1
Public Static Method,"org.apache.ivory.IvoryWebException.newException",,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,0,7,2,4,0,9,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Package,"org.apache.ivory.resource",2,2,2,1,14,0,11,2,,,,,2,0,3,,1,,16,6,16,,0,4,4,8,,306,32,216,101,107,59,,,,99,134,69,86,,,,,,6,6,6,6,,,4,,,,"0.27",33,33,34,19
