Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AnnotationBasedResourceGroupImpl.java",1,1,1,1,7,0,6,0,,,,,1,1,0,11,,11,10,4,11,,0,1,0,10,,113,18,90,40,35,5,,,,40,65,35,33,,,,,,4,4,6,4,,,3,,,,"0.06",19,19,21,16
File,"DataTypeImpl.java",1,1,1,1,6,0,5,0,,,,,1,0,0,13,,13,13,1,13,,0,0,1,12,,118,25,90,47,32,3,,,,40,60,36,30,,,,,,6,6,6,1,,,2,,,,"0.03",22,22,22,13
File,"EnunciateJackson1Context.java",2,2,2,1,12,0,10,1,,,,,5,0,1,39,,39,39,7,39,,0,1,11,27,,593,72,453,128,241,71,,,,219,320,119,224,,,,,,12,12,15,6,,,4,,,,"0.16",92,92,103,55
File,"EnunciateJacksonContext.java",2,2,2,1,13,0,10,1,,,,,5,0,1,39,,39,39,7,39,,0,1,11,27,,616,74,474,130,260,71,,,,238,340,121,243,,,,,,12,12,15,6,,,4,,,,"0.15",93,93,106,55
File,"EnunciateJaxrsContext.java",2,2,2,1,10,1,8,1,,,,,4,0,0,29,,27,29,12,29,,0,0,4,25,,388,63,284,106,152,41,,,,150,220,109,143,,,,,,7,7,8,5,,,4,,,,"0.14",60,60,61,31
File,"EnunciateSpringWebContext.java",1,1,1,1,7,0,7,0,,,,,3,0,0,18,,16,18,8,18,,0,0,0,18,,196,32,155,66,75,9,,,,80,118,66,68,,,,,,7,7,7,5,,,4,,,,"0.06",33,33,33,20
File,"ResourceClassResourceGroupImpl.java",1,1,2,1,8,0,7,0,,,,,1,0,0,10,,10,10,4,10,,0,0,0,10,,119,17,99,48,42,3,,,,50,72,42,41,,,,,,4,4,4,3,,,2,,,,"0.03",18,18,20,12
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.webcohesion",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.webcohesion.enunciate",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
