Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ACD_PDETest.java",1,1,1,1,56,6,44,6,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,73,11,56,20,41,6,,,,51,53,19,41,,,,,,1,1,1,1,,,0,,,,"0.11",1,1,1,1
File,"Acd.java",1,1,1,1,3,0,3,0,,,,,24,3,4,12,,13,10,9,13,,5,0,0,8,,148,44,101,55,16,3,,,,29,65,55,15,,,,,,1,1,1,1,,,0,,,,"0.03",12,12,12,12
Package,"acd",1,1,1,1,3,0,3,0,,,,,24,3,4,,1,,10,9,13,,5,0,0,8,,148,44,101,55,16,3,,,,29,65,55,15,,,,,,1,1,1,1,,,0,,,,"0.03",12,12,12,12
Public Class,"acd.Acd",1,1,1,1,3,0,3,0,1,1,1,1,,1,0,,,,0,0,1,1,0,0,0,1,,6,1,5,2,1,0,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0,"0.00",1,1,1,1
Public Static Method,"acd.Acd.getString1",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Class,"acd.Acd_static",1,1,1,1,3,0,3,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,5,0,5,2,1,0,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0,"0.00",1,1,1,1
Public Method,"acd.Acd_static.getString",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Class,"acd.Acd_static1",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,3,1,2,1,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Class,"acd.Chain1",1,1,1,1,3,0,3,0,1,1,1,0,,1,0,,,,1,0,2,2,0,0,0,2,,9,1,8,3,2,0,,,,2,5,3,2,,,,,,1,1,1,1,,1,0,,0,0,"0.00",2,2,2,2
Public Static Method,"acd.Chain1.getInstance",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"acd.Chain1.hello",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Class,"acd.Chain2",1,1,1,1,3,0,3,0,1,1,1,0,,0,0,,,,1,0,1,1,1,0,0,0,,6,1,5,2,1,0,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0,"0.00",1,1,1,1
Method,"acd.Chain2.testmethod",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Class,"acd.Chain3",1,1,1,1,3,0,3,0,1,1,1,0,,1,0,,,,1,0,2,2,0,0,0,2,,9,1,8,3,2,0,,,,2,5,3,2,,,,,,1,1,1,1,,1,0,,0,0,"0.00",2,2,2,2
