Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"PKWareExtraHeader.java",1,1,1,0,7,0,3,4,,,,,3,2,2,20,,16,18,23,20,,2,0,1,17,,301,27,110,54,34,164,,,,42,66,36,32,,,,,,2,2,2,1,,,1,,,,"1.49",20,20,20,16
File,"X0014_X509Certificates.java",1,1,1,1,3,0,3,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,50,3,7,4,2,40,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,,"5.71",1,1,1,1
File,"X0015_CertificateIdForFile.java",1,1,1,1,5,0,3,2,,,,,1,0,1,4,,4,4,2,4,,0,0,0,4,,76,6,21,10,7,49,,,,10,15,9,6,,,,,,1,1,1,1,,,0,,,,"2.33",4,4,4,4
File,"X0016_CertificateIdForCentralDirectory.java",1,1,1,1,5,0,3,2,,,,,1,0,1,4,,4,4,2,4,,0,0,0,4,,76,6,20,10,6,50,,,,9,14,9,5,,,,,,1,1,1,1,,,0,,,,"2.50",4,4,4,4
File,"X0017_StrongEncryptionHeader.java",1,1,1,1,13,0,8,3,,,,,1,0,1,8,,8,8,13,8,,0,0,0,8,,383,19,88,31,50,276,,,,63,76,31,50,,,,,,4,4,4,1,,,3,,,,"3.14",12,12,12,8
File,"X0019_EncryptionRecipientCertificateList.java",1,1,1,1,3,0,3,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,58,3,7,4,2,48,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,,"6.86",1,1,1,1
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.commons",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.commons.compress",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
