Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Base.java",2,2,2,1,12,0,10,1,,,,,1,0,3,5,,9,9,2,9,,0,0,9,0,,101,19,75,28,29,7,,,,36,45,28,22,,,,,,7,7,7,1,,,3,,,,"0.09",11,11,11,5
File,"MongoDBClient.java",2,2,2,1,21,2,14,4,,,,,1,0,1,22,,22,22,5,22,,0,3,1,18,,651,88,363,151,187,204,,,,182,235,138,162,,,,,,6,6,8,4,,,3,,,,"0.56",50,50,54,25
File,"MongoDBDataHandler.java",5,5,5,1,45,4,29,12,,,,,1,0,1,11,,11,11,0,11,,4,7,0,0,,579,62,360,114,184,159,,,,142,199,106,135,,,,,,14,14,16,5,,,6,,,,"0.44",55,55,62,19
File,"MongoDBQuery.java",3,3,3,1,22,1,17,4,,,,,1,0,1,12,,12,12,0,12,,0,4,4,4,,377,33,243,73,104,101,,,,97,136,68,85,,,,,,15,15,17,1,,,4,,,,"0.42",38,38,47,12
File,"StudentMongoBigIntegerTest.java",1,1,1,1,19,0,17,0,,,,,1,0,1,27,,27,27,1,27,,0,12,0,15,,579,54,503,120,300,22,,,,331,394,126,291,,,,,,4,4,4,1,,,2,,,,"0.04",52,52,52,27
File,"StudentMongoDoubleTest.java",1,1,1,1,19,0,18,0,,,,,1,0,1,27,,27,27,1,27,,0,12,0,15,,576,54,504,118,299,18,,,,321,385,124,284,,,,,,4,4,4,1,,,2,,,,"0.04",53,53,53,27
File,"StudentMongoSqlDateTest.java",1,1,1,1,19,0,17,0,,,,,1,0,1,27,,27,27,1,27,,0,12,0,15,,581,55,502,119,298,24,,,,322,385,125,283,,,,,,4,4,4,1,,,2,,,,"0.05",52,52,52,27
File,"StudentMongoTimestampTest.java",1,1,1,1,19,0,17,0,,,,,1,0,1,27,,27,27,1,27,,0,12,0,15,,582,56,503,120,298,23,,,,323,386,126,283,,,,,,4,4,4,1,,,2,,,,"0.05",52,52,52,27
File,"StudentMongobooleanTest.java",1,1,1,1,18,0,17,0,,,,,1,0,2,27,,27,27,1,27,,0,12,0,15,,549,53,477,116,276,19,,,,297,360,121,260,,,,,,4,4,4,1,,,2,,,,"0.04",53,53,53,27
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.impetus",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.impetus.client",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.impetus.client.crud",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.impetus.client.crud.datatypes",1,1,1,1,18,0,17,0,,,,,6,0,9,,6,,144,7,144,,0,60,9,75,,2968,291,2564,621,1500,113,,,,1630,1955,650,1423,,,,,,7,7,7,1,,,3,,,,"0.04",273,273,273,140
Public Abstract Class,"com.impetus.client.crud.datatypes.Base",2,2,2,1,12,0,10,1,1,14,14,5,,0,3,,,,9,2,9,9,0,0,9,0,,88,15,66,19,29,7,,,,27,36,19,22,,,,,,7,7,7,1,,1,3,,19,19,"0.11",11,11,11,5
Protected Abstract Method,"com.impetus.client.crud.datatypes.Base.createSchema",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Protected Abstract Method,"com.impetus.client.crud.datatypes.Base.dropSchema",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Protected Method,"com.impetus.client.crud.datatypes.Base.getMaxValue",,,,,,,,,,,,,,,,,,,,,,,,,,,68,5,0,5,1,2,0,4,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"com.impetus.client.crud.datatypes.Base.getMinValue",,,,,,,,,,,,,,,,,,,,,,,,,,,61,5,0,5,1,2,0,4,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"com.impetus.client.crud.datatypes.Base.getPartialValue",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,1,2,0,4,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"com.impetus.client.crud.datatypes.Base.getRandomValue",,,,,,,,,,,,,,,,,,,,,,,,,,,39,5,0,5,1,2,0,4,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Abstract Method,"com.impetus.client.crud.datatypes.Base.startCluster",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Protected Abstract Method,"com.impetus.client.crud.datatypes.Base.stopCluster",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Protected Method,"com.impetus.client.crud.datatypes.Base.truncateMongo",,,,,,,,,,,,,,,,,,,,,,,,,,,11,42,1,34,5,17,7,9,7,1,10,14,5,13,7,7,7,1,10,,,,,0,,3,0,,,"0.21",7,7,7,1
Public Class,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest",1,1,1,1,19,0,17,0,1,14,14,0,,0,1,,,,27,1,27,36,0,12,0,15,,559,48,489,106,300,22,,,,317,380,112,291,,,,,,4,4,4,1,,2,2,,29,11,"0.04",52,52,52,27
Public Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.createSchema",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.deleteNamed",,,,,,,,,,,,,,,,,,,,,,,,,,,4,19,1,15,5,10,3,7,2,0,9,11,5,9,2,2,2,1,0,,,,,0,,1,0,,,"0.20",2,2,2,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.dropSchema",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,2,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.findAllQuery",,,,,,,,,,,,,,,,,,,,,,,,,,,3,38,0,34,6,23,4,14,4,1,19,24,7,20,4,4,4,1,2,,,,,0,,2,0,,,"0.12",4,4,4,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.findByAge",,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,0,25,6,15,0,12,2,0,19,22,7,15,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.findByAgeAndNameGTAndLT",,,,,,,,,,,,,,,,,,,,,,,,,,,3,28,2,26,6,16,0,13,2,0,20,23,7,16,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.findByName",,,,,,,,,,,,,,,,,,,,,,,,,,,3,36,0,33,6,19,3,13,3,0,21,25,7,18,3,3,3,1,1,,,,,0,,2,0,,,"0.09",3,3,3,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.findByNameAndAGEBetween",,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,1,26,6,16,0,14,2,0,20,23,7,16,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.findByNameAndAgeGTAndLT",,,,,,,,,,,,,,,,,,,,,,,,,,,3,28,2,26,6,16,0,14,2,0,20,23,7,16,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.findByNameAndAgeGTAndLTEQ",,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,1,26,6,16,0,13,2,0,20,23,7,16,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.findByNameAndAgeGTEQAndLTEQ",,,,,,,,,,,,,,,,,,,,,,,,,,,3,37,2,35,6,21,0,14,3,0,23,27,7,20,3,3,3,1,1,,,,,0,,2,0,,,"0.00",3,3,3,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.findByNameAndAgeWithOrClause",,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,0,25,6,15,0,13,2,0,19,22,7,15,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.findByRange",,,,,,,,,,,,,,,,,,,,,,,,,,,3,33,0,33,6,20,0,14,4,1,21,26,7,19,4,4,4,1,1,,,,,0,,2,0,,,"0.00",4,4,4,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.setUp",,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,0,13,2,5,0,4,4,1,3,6,1,5,3,3,3,1,0,,,,,0,,1,0,,,"0.00",3,3,3,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.startCluster",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.stopCluster",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,3,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.33",1,1,1,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.tearDown",,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,0,10,2,4,5,3,2,0,3,5,1,4,2,2,2,1,0,,,,,0,,1,0,,,"0.50",2,2,2,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.testDelete",,,,,,,,,,,,,,,,,,,,,,,,,,,5,18,1,17,3,12,0,10,2,0,11,13,3,12,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.testExecute",,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,10,2,6,0,6,1,0,6,7,1,6,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.testExecuteUseSameEm",,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,10,2,6,0,6,1,0,6,7,1,6,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.testFindById",,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,3,27,5,20,0,10,4,1,18,21,5,20,3,3,3,1,0,,,,,0,,1,0,,,"0.00",3,3,3,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.testFindByQuery",,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,0,13,1,10,0,10,1,0,10,11,1,10,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.testMerge",,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,1,19,4,14,0,10,2,0,13,15,4,14,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.testNamedQuery",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.testNamedQueryUseSameEm",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.testPersist",,,,,,,,,,,,,,,,,,,,,,,,,,,4,26,3,20,5,17,3,9,1,0,17,18,5,17,1,1,1,1,0,,,,,0,,0,0,,,"0.15",1,1,1,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoBigIntegerTest.updateNamed",,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,0,17,5,12,3,10,2,0,11,13,5,11,2,2,2,1,0,,,,,0,,1,0,,,"0.18",2,2,2,1
Public Class,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest",1,1,1,1,19,0,17,0,1,14,14,0,,0,1,,,,27,1,27,36,0,12,0,15,,562,49,489,106,298,24,,,,309,372,112,283,,,,,,4,4,4,1,,2,2,,29,11,"0.05",52,52,52,27
Public Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.createSchema",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.deleteNamed",,,,,,,,,,,,,,,,,,,,,,,,,,,4,19,1,15,5,10,3,7,2,0,9,11,5,9,2,2,2,1,0,,,,,0,,1,0,,,"0.20",2,2,2,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.dropSchema",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,2,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.findAllQuery",,,,,,,,,,,,,,,,,,,,,,,,,,,3,38,0,34,6,23,4,15,4,1,19,24,7,20,4,4,4,1,2,,,,,0,,2,0,,,"0.12",4,4,4,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.findByAge",,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,0,24,6,14,0,11,2,0,18,21,7,14,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.findByAgeAndNameGTAndLT",,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,2,25,6,15,0,12,2,0,18,21,7,14,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.findByName",,,,,,,,,,,,,,,,,,,,,,,,,,,3,36,0,33,6,19,3,13,3,0,21,25,7,18,3,3,3,1,1,,,,,0,,2,0,,,"0.09",3,3,3,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.findByNameAndAGEBetween",,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,1,25,6,15,0,13,2,0,18,21,7,14,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.findByNameAndAgeGTAndLT",,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,2,25,6,15,0,13,2,0,18,21,7,14,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.findByNameAndAgeGTAndLTEQ",,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,1,25,6,15,0,12,2,0,18,21,7,14,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.findByNameAndAgeGTEQAndLTEQ",,,,,,,,,,,,,,,,,,,,,,,,,,,3,36,2,34,6,20,0,13,3,0,21,25,7,18,3,3,3,1,1,,,,,0,,2,0,,,"0.00",3,3,3,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.findByNameAndAgeWithOrClause",,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,0,24,6,14,0,12,2,0,18,21,7,14,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.findByRange",,,,,,,,,,,,,,,,,,,,,,,,,,,3,40,0,40,6,25,0,15,4,1,25,30,7,23,4,4,4,1,2,,,,,0,,2,0,,,"0.00",4,4,4,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.setUp",,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,0,13,2,5,0,4,4,1,3,6,1,5,3,3,3,1,0,,,,,0,,1,0,,,"0.00",3,3,3,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.startCluster",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.stopCluster",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,3,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.33",1,1,1,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.tearDown",,,,,,,,,,,,,,,,,,,,,,,,,,,2,17,0,10,2,4,7,3,2,0,3,5,1,4,2,2,2,1,0,,,,,0,,1,0,,,"0.70",2,2,2,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.testDelete",,,,,,,,,,,,,,,,,,,,,,,,,,,5,18,1,17,3,12,0,10,2,0,11,13,3,12,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.testExecute",,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,10,2,6,0,6,1,0,6,7,1,6,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.testExecuteUseSameEm",,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,10,2,6,0,6,1,0,6,7,1,6,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.testFindById",,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,3,27,5,20,0,10,4,1,18,21,5,20,3,3,3,1,0,,,,,0,,1,0,,,"0.00",3,3,3,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.testFindByQuery",,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,0,13,1,10,0,10,1,0,10,11,1,10,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.impetus.client.crud.datatypes.StudentMongoSqlDateTest.testMerge",,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,1,19,4,14,0,10,2,0,13,15,4,14,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
