Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"FileFilterUtil.java",1,1,1,1,8,0,7,0,,,,,4,6,0,9,,9,3,0,9,,1,0,0,8,,90,10,63,27,35,17,,,,30,43,28,26,,,,,,2,2,3,1,,,1,,,,"0.27",12,12,13,9
File,"FileNamePattern.java",2,2,2,1,10,0,9,0,,,,,1,0,1,12,,12,12,2,12,,1,0,0,11,,183,24,133,45,75,26,,,,67,100,45,63,,,,,,5,5,5,3,,,4,,,,"0.20",31,31,31,16
File,"ScaffoldingForRollingTests.java",1,1,1,1,6,0,5,0,,,,,1,7,2,17,,17,10,8,17,,2,0,7,8,,175,27,131,63,63,19,,,,70,99,60,52,,,,,,3,3,3,1,,,2,,,,"0.15",25,25,25,17
File,"SizeAndTimeBasedFNATP.java",1,1,2,1,11,1,9,1,,,,,1,0,0,6,,6,6,4,6,,1,0,0,5,,106,18,69,29,37,19,,,,37,49,24,31,,,,,,4,4,4,4,,,1,,,,"0.28",11,11,12,9
File,"SizeAndTimeBasedFNATP_Test.java",2,2,2,1,18,2,16,0,,,,,1,0,0,9,,9,9,8,9,,5,0,0,4,,213,40,161,50,115,12,,,,111,128,41,92,,,,,,3,3,4,3,,,1,,,,"0.07",18,18,19,11
Package,"ch",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"ch.qos",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"ch.qos.logback",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"ch.qos.logback.core",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"ch.qos.logback.core.rolling",1,1,1,1,10,0,9,0,,,,,3,7,2,,3,,25,20,32,,8,0,7,17,,494,85,361,142,215,50,,,,218,276,125,175,,,,,,4,4,4,4,,,2,,,,"0.14",54,54,56,37
Public Class,"ch.qos.logback.core.rolling.ScaffoldingForRollingTests",1,1,1,1,6,0,5,0,1,15,15,1,,7,2,,,,10,8,17,17,2,0,7,8,,154,23,114,46,63,19,,,,53,82,43,52,,,,,,3,3,3,1,,1,2,,88,86,"0.17",25,25,25,17
Protected Method,"ch.qos.logback.core.rolling.ScaffoldingForRollingTests.addExpectedFileName_ByDate",,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,1,9,3,5,0,3,2,0,4,6,2,5,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Protected Method,"ch.qos.logback.core.rolling.ScaffoldingForRollingTests.addExpectedFileNamedIfItsTime_ByDate",,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,0,8,2,4,0,4,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Method,"ch.qos.logback.core.rolling.ScaffoldingForRollingTests.addGZIfNotLast",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,8,2,5,0,2,2,0,3,5,2,4,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
