Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ThroughputPlotDataProvider.java",1,1,1,1,9,1,8,0,,,,,1,0,0,6,,6,6,2,6,,0,2,0,4,,91,20,67,37,30,4,,,,41,52,34,28,,,,,,3,3,3,3,,,2,,,,"0.06",9,9,9,8
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.griddynamics",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.griddynamics.jagger",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.griddynamics.jagger.webclient",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.griddynamics.jagger.webclient.server",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.griddynamics.jagger.webclient.server.plot",1,1,1,1,9,1,8,0,,,,,1,0,0,,1,,6,2,6,,0,2,0,4,,91,20,67,37,30,4,,,,41,52,34,28,,,,,,3,3,3,3,,,2,,,,"0.06",9,9,9,8
Public Class,"com.griddynamics.jagger.webclient.server.plot.ThroughputPlotDataProvider",1,1,1,1,9,1,8,0,2,16,16,0,,0,0,,,,6,2,6,6,0,2,0,4,,73,16,53,23,30,4,,,,27,38,20,28,,,,,,3,3,3,3,,1,2,,33,33,"0.08",9,9,9,8
Private Method,"com.griddynamics.jagger.webclient.server.plot.ThroughputPlotDataProvider.assemble",,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,1,5,3,3,0,5,1,0,3,4,3,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"com.griddynamics.jagger.webclient.server.plot.ThroughputPlotDataProvider.findAllTimeInvocationStatisticsByTaskData",,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,2,3,0,4,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.griddynamics.jagger.webclient.server.plot.ThroughputPlotDataProvider.getPlotData",,,,,,,,,,,,,,,,,,,,,,,,,,,5,19,5,14,6,10,0,11,2,0,9,11,5,10,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"com.griddynamics.jagger.webclient.server.plot.ThroughputPlotDataProvider.getPlotData",,,,,,,,,,,,,,,,,,,,,,,,,,,5,21,4,17,6,12,0,14,3,0,10,14,6,12,3,3,3,3,1,,,,,1,,2,1,,,"0.00",3,3,3,3
Public Method,"com.griddynamics.jagger.webclient.server.plot.ThroughputPlotDataProvider.setEntityManager",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.griddynamics.jagger.webclient.server.plot.ThroughputPlotDataProvider.setLegendProvider",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
