Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ERXApplication.java",3,3,3,1,19,0,12,6,,,,,3,7,11,54,,54,47,11,54,,1,3,0,50,,1243,107,772,219,465,365,,,,396,574,223,434,,,,,,19,19,21,4,,,5,,,,"0.47",184,184,206,59
Package,"er",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"er.extensions",3,3,3,1,19,0,12,6,,,,,3,7,11,,1,,47,11,54,,1,3,0,50,,1243,107,772,219,465,365,,,,396,574,223,434,,,,,,19,19,21,4,,,5,,,,"0.47",184,184,206,59
Public Abstract Class,"er.extensions.ERXApplication",3,3,4,1,20,0,13,6,2,77,77,0,,6,11,,,,41,9,47,47,0,3,0,44,,1180,101,721,168,465,359,,,,345,523,172,434,,,,,,19,19,21,4,,2,5,,96,92,"0.50",168,168,189,50
Static Class,"er.extensions.ERXApplication.AppClassLoader",3,3,3,1,12,0,11,0,1,8,8,0,,1,0,,,,2,0,3,3,1,0,0,2,,41,3,37,12,22,1,,,,17,27,13,20,,,,,,5,5,6,1,,2,3,,0,0,"0.03",9,9,10,3
Constructor,"er.extensions.ERXApplication.AppClassLoader.AppClassLoader",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Method,"er.extensions.ERXApplication.AppClassLoader.getAppClassLoader",,,,,,,,,,,,,,,,,,,,,,,,,,,6,16,0,15,5,10,1,8,3,0,9,12,6,8,3,3,3,1,1,,,,,0,,2,0,,,"0.07",3,3,3,1
Public Method,"er.extensions.ERXApplication.AppClassLoader.loadClass",,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,0,17,5,11,0,9,7,1,7,12,5,11,5,5,6,1,0,,,,,0,,3,0,,,"0.00",5,5,6,1
Public Constructor,"er.extensions.ERXApplication.ERXApplication",,,,,,,,,,,,,,,,,,,,,,,,,,,13,52,6,39,3,30,7,34,256,2,22,31,3,30,9,9,10,1,0,,,,,0,,1,0,,,"0.18",9,9,10,1
Private Class,"er.extensions.ERXApplication.SessionInfo",1,1,1,1,7,0,7,0,1,4,4,0,,0,0,,,,4,2,4,4,0,0,0,4,,38,5,32,8,16,1,,,,12,20,8,13,,,,,,4,4,4,3,,1,1,,50,37,"0.03",7,7,7,6
