Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"LuaCompletionContributor.java",3,3,4,1,26,3,16,6,,,,,9,1,18,18,,18,17,2,18,,0,4,6,8,,463,83,272,107,176,108,,,,136,208,99,156,,,,,,15,15,19,5,,,4,,,,"0.40",62,62,74,34
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.sylvanaar",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.sylvanaar.idea",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.sylvanaar.idea.Lua",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.sylvanaar.idea.Lua.editor",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.sylvanaar.idea.Lua.editor.completion",3,3,4,1,26,3,16,6,,,,,9,1,18,,1,,17,2,18,,0,4,6,8,,463,83,272,107,176,108,,,,136,208,99,156,,,,,,15,15,19,5,,,4,,,,"0.40",62,62,74,34
Public Class,"com.sylvanaar.idea.Lua.editor.completion.LuaCompletionContributor",2,2,3,1,38,5,22,10,1,24,24,0,,1,18,,,,7,0,8,8,0,4,0,4,,419,77,249,85,176,93,,,,114,186,77,156,,,,,,6,6,8,5,,2,3,,93,93,"0.37",21,21,26,12
Public Constructor,"com.sylvanaar.idea.Lua.editor.completion.LuaCompletionContributor.LuaCompletionContributor",,,,,,,,,,,,,,,,,,,,,,,,,,,9,162,24,112,20,94,26,4,1,0,49,85,31,72,1,1,1,1,0,,,,,0,,0,0,,,"0.23",1,1,1,1
Anonymous Class,"com.sylvanaar.idea.Lua.editor.completion.LuaCompletionContributor.LuaCompletionContributor.(Anon_1)",1,1,1,1,5,0,5,0,1,5,5,0,,0,0,,,,1,0,1,1,0,0,1,0,,6,0,6,0,5,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Protected Method,"com.sylvanaar.idea.Lua.editor.completion.LuaCompletionContributor.LuaCompletionContributor.(Anon_1).addCompletions",,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,5,0,4,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Anonymous Class,"com.sylvanaar.idea.Lua.editor.completion.LuaCompletionContributor.LuaCompletionContributor.(Anon_2)",2,2,2,1,6,0,6,0,1,6,6,0,,0,0,,,,1,0,1,1,0,0,1,0,,7,0,7,0,6,0,,,,1,4,2,2,,,,,,2,2,2,1,,2,1,,0,0,"0.00",2,2,2,1
