Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"EmailContactController.java",1,1,1,1,32,2,16,13,,,,,1,0,0,2,,2,2,4,2,,0,0,0,2,,120,14,57,37,19,49,,,,37,41,29,17,,,,,,2,2,2,1,,,1,,,,"0.86",3,3,3,2
File,"EmailContactControllerTest.java",1,1,1,1,19,1,16,1,,,,,6,0,2,5,,5,5,10,5,,0,0,2,3,,173,27,107,46,51,39,,,,60,67,42,36,,,,,,2,2,4,1,,,1,,,,"0.36",6,6,9,5
File,"EntityIdentifier.java",1,1,1,1,8,0,4,4,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,85,9,31,11,6,45,,,,10,17,11,6,,,,,,1,1,1,1,,,0,,,,"1.45",6,6,6,6
File,"GetEmailAddressForStreamExecution.java",1,1,1,1,14,1,7,5,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,68,9,28,19,7,31,,,,17,20,17,7,,,,,,1,1,1,1,,,0,,,,"1.11",2,2,2,2
File,"GetEmailAddressForStreamExecutionTest.java",1,1,1,1,30,4,23,3,,,,,3,0,0,1,,1,1,3,1,,0,0,0,1,,85,11,50,31,21,24,,,,32,34,26,13,,,,,,1,1,1,1,,,0,,,,"0.48",1,1,1,1
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.eurekastreams",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.eurekastreams.server",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.eurekastreams.server.action",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.eurekastreams.server.action.execution",1,1,1,1,19,2,12,4,,,,,4,0,0,,2,,3,5,3,,0,0,0,3,,153,20,78,50,28,55,,,,49,54,43,20,,,,,,1,1,1,1,,,0,,,,"0.71",3,3,3,3
