Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"FeedConstants.java",1,1,2,1,4,0,4,0,,,,,3,0,11,2,,2,2,0,2,,0,0,0,2,,57,9,29,19,18,24,,,,19,22,19,5,,,,,,1,1,2,1,,,0,,,,"0.83",2,2,4,2
File,"NuGetPackageStructureVisitor.java",3,3,3,1,14,0,13,0,,,,,2,0,1,5,,5,5,1,5,,0,1,0,4,,112,10,81,32,42,21,,,,42,61,34,32,,,,,,11,11,11,5,,,5,,,,"0.26",16,16,16,9
File,"PackRunnerDiscoverer.java",2,2,3,1,9,0,9,0,,,,,2,0,1,7,,7,7,0,7,,0,4,2,1,,108,12,78,36,37,18,,,,43,67,36,39,,,,,,8,8,9,5,,,3,,,,"0.23",19,19,22,11
File,"PackageInfoLoader.java",4,4,4,2,19,2,16,0,,,,,1,2,1,3,,3,1,0,3,,0,2,0,1,,100,15,65,26,33,20,,,,33,46,24,27,,,,,,5,5,6,5,,,4,,,,"0.31",12,12,14,7
Package,"jetbrains",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jetbrains.buildServer",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jetbrains.buildServer.nuget",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jetbrains.buildServer.nuget.common",2,2,3,1,13,1,11,0,,,,,4,2,12,,2,,3,0,5,,0,2,0,3,,157,24,94,45,51,44,,,,52,68,43,32,,,,,,5,5,6,5,,,4,,,,"0.47",14,14,18,9
Public Class,"jetbrains.buildServer.nuget.common.FeedConstants",0,0,0,0,0,0,0,0,1,3,3,0,,0,11,,,,0,0,0,0,0,0,0,0,,33,5,24,14,18,9,,,,14,17,14,5,,,,,,0,0,0,0,,1,0,,0,0,"0.38",0,0,0,0
Anonymous Class,"jetbrains.buildServer.nuget.common.FeedConstants.(Anon_1)",1,1,2,1,3,0,3,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,4,0,4,1,3,0,,,,1,2,1,1,,,,,,1,1,2,1,,2,0,,0,0,"0.00",1,1,2,1
Public Method,"jetbrains.buildServer.nuget.common.FeedConstants.(Anon_1).accept",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,0,2,0,4,1,0,1,2,1,1,1,1,2,1,0,,,,,0,,0,0,,,"0.00",1,1,2,1
Anonymous Class,"jetbrains.buildServer.nuget.common.FeedConstants.(Anon_2)",1,1,2,1,6,0,6,0,1,3,3,0,,0,0,,,,1,0,1,1,0,0,0,1,,7,0,7,1,6,0,,,,2,3,1,2,,,,,,1,1,2,1,,2,0,,0,0,"0.00",1,1,2,1
Public Method,"jetbrains.buildServer.nuget.common.FeedConstants.(Anon_2).accept",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,0,5,0,3,1,0,2,3,1,2,1,1,2,1,0,,,,,0,,0,0,,,"0.00",1,1,2,1
Public Class,"jetbrains.buildServer.nuget.common.PackageInfoLoader",4,4,4,2,19,2,16,0,1,19,19,0,,2,1,,,,1,0,3,3,0,2,0,1,,69,11,53,14,33,5,,,,21,34,12,27,,,,,,5,5,6,5,,1,4,,0,0,"0.09",12,12,14,7
Private Static Method,"jetbrains.buildServer.nuget.common.PackageInfoLoader.close",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,8,1,4,1,1,3,0,1,4,1,3,3,3,3,1,1,,,,,0,,2,0,,,"0.12",3,3,3,1
Public Method,"jetbrains.buildServer.nuget.common.PackageInfoLoader.loadPackageInfo",,,,,,,,,,,,,,,,,,,,,,,,,,,1,23,6,17,6,11,0,6,8,1,8,12,5,11,4,4,6,1,0,,,,,0,,1,0,,,"0.00",4,4,6,1
Private Static Method,"jetbrains.buildServer.nuget.common.PackageInfoLoader.parseNuSpec",,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,1,25,5,17,0,9,5,1,11,16,4,12,5,5,5,5,6,,,,,6,,4,6,,,"0.00",5,5,5,5
Package,"jetbrains.buildServer.nuget.server",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jetbrains.buildServer.nuget.server.feed",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jetbrains.buildServer.nuget.server.feed.server",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jetbrains.buildServer.nuget.server.feed.server.index",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jetbrains.buildServer.nuget.server.feed.server.index.impl",3,3,3,1,14,0,13,0,,,,,2,0,1,,1,,5,1,5,,0,1,0,4,,112,10,81,32,42,21,,,,42,61,34,32,,,,,,11,11,11,5,,,5,,,,"0.26",16,16,16,9
Public Class,"jetbrains.buildServer.nuget.server.feed.server.index.impl.NuGetPackageStructureVisitor",4,4,4,2,21,0,20,1,1,18,18,0,,0,1,,,,3,1,3,3,0,1,0,2,,76,6,64,15,42,6,,,,25,44,17,32,,,,,,11,11,11,5,,1,5,,33,33,"0.09",14,14,14,7
Public Constructor,"jetbrains.buildServer.nuget.server.feed.server.index.impl.NuGetPackageStructureVisitor.NuGetPackageStructureVisitor",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
