Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractJdbc1DatabaseMetaData.java",2,2,2,1,10,0,8,1,,,,,1,0,8,137,,137,137,1,137,,0,0,1,136,,3076,256,1259,267,762,1642,,,,592,860,260,663,,,,,,20,20,22,1,,,4,,,,"1.30",283,280,290,137
File,"AbstractJdbc2DatabaseMetaData.java",1,1,1,1,4,0,4,0,,,,,1,0,0,17,,17,17,0,17,,0,0,0,17,,149,29,86,29,21,34,,,,26,46,25,21,,,,,,3,3,3,3,,,1,,,,"0.40",19,19,19,19
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.postgresql",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.postgresql.jdbc1",2,2,2,1,10,0,8,1,,,,,1,0,8,,1,,137,1,137,,0,0,1,136,,3076,256,1259,267,762,1642,,,,592,860,260,663,,,,,,20,20,22,1,,,4,,,,"1.30",283,280,290,137
Public Abstract Class,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData",2,2,2,1,10,0,8,1,1,11,11,1,,0,8,,,,137,1,137,137,0,0,1,136,,3067,253,1253,261,762,1642,,,,586,854,254,663,,,,,,20,20,22,1,,1,4,,72,70,"1.31",283,280,290,137
Public Constructor,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.AbstractJdbc1DatabaseMetaData",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.allProceduresAreCallable",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,1,2,1,2,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,"0.20",2,2,2,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.allTablesAreSelectable",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,1,2,1,2,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,"0.20",2,2,2,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.dataDefinitionCausesTransactionCommit",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.dataDefinitionIgnoredInTransactions",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.doesMaxRowSizeIncludeBlobs",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getBestRowIdentifier",,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,2,15,4,11,3,2,1,0,12,13,4,10,1,1,1,1,0,,,,,0,,0,0,,,"0.20",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getCatalogSeparator",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,5,1,2,2,2,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,"0.40",2,2,2,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getCatalogTerm",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,1,2,0,2,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getCatalogs",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getColumnPrivileges",,,,,,,,,,,,,,,,,,,,,,,,,,,5,36,6,27,5,22,3,8,12,1,18,23,5,20,5,5,5,1,1,,,,,0,,2,0,,,"0.11",5,5,5,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getColumns",,,,,,,,,,,,,,,,,,,,,,,,,,,11,147,15,121,10,102,29,15,40,2,57,64,10,61,12,12,16,1,2,,,,,0,,2,0,,,"0.24",12,12,16,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getCrossReference",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getDatabaseProductName",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,1,2,0,2,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getDatabaseProductVersion",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,2,3,0,3,2,0,3,5,2,4,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getDefaultTransactionIsolation",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getDriverMajorVersion",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,2,3,0,3,2,0,3,5,2,4,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getDriverMinorVersion",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,2,3,0,3,2,0,3,5,2,4,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getDriverName",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,2,3,0,2,2,0,3,5,2,3,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getDriverVersion",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,2,3,0,3,2,0,3,5,2,4,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
