Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"InScopeSnapshotRunner.java",1,1,1,1,7,0,4,3,,,,,2,2,0,4,,5,3,1,5,,0,0,0,5,,44,6,25,10,9,13,,,,10,17,10,8,,,,,,1,1,1,1,,,1,,,,"0.52",4,4,4,4
File,"MixinsSolver.java",1,1,1,1,11,1,9,0,,,,,3,1,0,12,,12,11,2,12,,0,8,0,4,,155,30,115,48,62,11,,,,63,90,52,54,,,,,,4,4,4,1,,,3,,,,"0.10",23,23,23,12
File,"ReferencesSolver.java",2,1,2,1,10,0,9,0,,,,,2,0,1,15,,15,15,4,15,,0,9,3,3,,206,26,173,80,94,8,,,,103,133,84,78,,,,,,8,5,8,1,,,4,,,,"0.05",32,26,32,15
File,"Scope.java",1,1,1,1,5,0,4,0,,,,,2,5,4,66,,66,61,11,66,,0,11,7,48,,468,97,362,127,190,9,,,,180,283,132,179,,,,,,4,4,5,4,,,3,,,,"0.02",98,98,102,73
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.sommeri",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.sommeri.less4j",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.sommeri.less4j.core",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.sommeri.less4j.core.compiler",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.sommeri.less4j.core.compiler.scopes",1,1,1,1,5,0,4,0,,,,,4,7,4,,2,,64,12,71,,0,11,7,53,,512,103,387,137,199,22,,,,190,300,142,187,,,,,,4,4,5,4,,,3,,,,"0.06",102,102,106,77
Public Class,"com.github.sommeri.less4j.core.compiler.scopes.InScopeSnapshotRunner",1,1,1,1,7,0,4,3,1,3,3,0,,2,0,,,,2,1,4,4,0,0,0,4,,42,5,24,9,9,13,,,,9,16,9,8,,,,,,1,1,1,1,,1,1,,50,25,"0.54",4,4,4,4
