Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ConvertFromJUnitCompositeChange.java",1,1,1,1,11,0,10,0,,,,,2,0,0,7,,7,7,3,7,,0,1,0,6,,104,15,74,40,27,15,,,,42,59,39,26,,,,,,7,7,7,1,,,4,,,,"0.20",13,13,13,7
File,"SourceFolderChange.java",2,2,2,1,16,1,13,2,,,,,1,0,0,2,,2,2,0,2,,0,1,0,1,,62,7,46,27,21,9,,,,34,40,28,18,,,,,,3,3,3,1,,,1,,,,"0.20",5,5,5,2
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.testng",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.testng.eclipse",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.testng.eclipse.refactoring",2,2,2,1,12,0,10,0,,,,,3,0,0,,2,,9,3,9,,0,2,0,7,,166,22,120,67,48,24,,,,76,99,67,44,,,,,,7,7,7,1,,,4,,,,"0.20",18,18,18,9
Public Class,"org.testng.eclipse.refactoring.ConvertFromJUnitCompositeChange",1,1,1,1,8,0,8,0,1,10,10,0,,0,0,,,,6,3,6,6,0,1,0,5,,81,12,54,20,27,15,,,,22,39,19,26,,,,,,1,1,1,1,,2,0,,88,88,"0.28",6,6,6,6
Public Constructor,"org.testng.eclipse.refactoring.ConvertFromJUnitCompositeChange.ConvertFromJUnitCompositeChange",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,7,1,5,0,5,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.testng.eclipse.refactoring.ConvertFromJUnitCompositeChange.computeChanges",,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,3,26,6,18,1,1,1,0,11,22,10,17,1,1,1,1,0,,,,,0,,0,0,,,"0.04",1,1,1,1
Anonymous Class,"org.testng.eclipse.refactoring.ConvertFromJUnitCompositeChange.computeChanges.(Anon_1)",7,7,7,1,26,3,22,1,1,13,13,0,,0,0,,,,1,0,1,1,0,0,0,1,,27,3,23,5,17,1,,,,10,20,9,16,,,,,,7,7,7,1,,2,4,,0,0,"0.04",7,7,7,1
