Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"JavaTranslator.java",3,3,4,1,21,3,17,0,,,,,5,10,16,37,,35,27,8,37,,0,6,0,31,,844,175,651,211,483,19,,,,389,530,212,411,,,,,,36,36,38,7,,,5,,,,"0.03",138,138,150,50
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.eclipse",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.eclipse.iee",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.eclipse.iee.translator",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.eclipse.iee.translator.antlr",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.eclipse.iee.translator.antlr.translator",3,3,4,1,21,3,17,0,,,,,5,10,16,,1,,27,8,37,,0,6,0,31,,844,175,651,211,483,19,,,,389,530,212,411,,,,,,36,36,38,7,,,5,,,,"0.03",138,138,150,50
Public Class,"org.eclipse.iee.translator.antlr.translator.JavaTranslator",6,6,7,1,42,6,35,1,1,27,27,0,,10,16,,,,0,0,10,10,0,6,0,4,,809,172,619,179,483,19,,,,357,498,180,411,,,,,,36,36,38,7,,1,3,,78,70,"0.03",68,68,70,18
Private Static Class,"org.eclipse.iee.translator.antlr.translator.JavaTranslator.JavaMathVisitor",2,2,2,1,13,2,10,0,1,36,36,0,,0,0,,,,23,4,23,23,0,0,0,23,,338,83,247,77,180,8,,,,148,205,80,161,,,,,,12,12,14,4,,2,4,,89,89,"0.03",56,56,63,30
Public Method,"org.eclipse.iee.translator.antlr.translator.JavaTranslator.JavaMathVisitor.visitAdd",,,,,,,,,,,,,,,,,,,,,,,,,,,5,17,3,13,4,10,1,7,4,1,7,11,4,10,4,4,5,4,4,,,,,4,,2,4,,,"0.08",4,4,5,4
