Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"EclipseLocationProvider.java",1,1,1,1,3,0,3,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,44,6,17,9,8,21,,,,6,8,7,2,,,,,,1,1,1,1,,,0,,,,"1.24",1,1,1,1
File,"EclipseProductDescriptor.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,12,12,0,12,,12,0,0,0,,41,2,18,17,0,21,,,,16,17,17,0,,,,,,0,0,0,0,,,0,,,,"1.17",0,0,0,0
File,"EclipseProductLocation.java",5,5,6,3,27,1,22,3,,,,,1,2,3,11,,11,9,5,11,,1,3,0,7,,377,38,281,83,184,64,,,,144,211,80,162,,,,,,21,21,22,12,,,7,,,,"0.23",60,58,67,33
File,"EclipseProductLocationProvider.java",3,3,3,2,10,0,8,1,,,,,5,0,0,23,,24,24,3,24,,8,10,3,3,,324,42,228,72,123,61,,,,107,188,78,135,,,,,,15,15,17,14,,,5,,,,"0.27",72,70,75,50
File,"IdeLocation.java",2,2,2,1,7,0,5,2,,,,,1,3,2,4,,9,6,1,9,,0,0,0,9,,79,8,38,21,16,33,,,,23,32,22,13,,,,,,4,4,4,1,,,2,,,,"0.87",9,9,9,4
File,"IdeLocationProvider.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,50,4,8,7,0,38,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,"4.75",0,0,0,0
File,"Installer.java",2,2,2,1,10,0,9,0,,,,,6,8,2,19,,19,11,2,19,,3,3,0,13,,305,39,234,73,127,33,,,,106,169,73,111,,,,,,19,19,19,4,,,4,,,,"0.14",53,53,54,27
File,"InstallerGUI.java",2,2,2,1,22,2,19,0,,,,,27,0,13,48,,48,48,14,48,,5,10,0,33,,843,124,679,159,496,40,,,,420,531,184,396,,,,,,8,8,9,4,,,3,,,,"0.06",99,97,100,53
File,"JbdsLocationProvider.java",1,1,1,1,3,0,3,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,44,6,17,9,8,21,,,,6,8,7,2,,,,,,1,1,1,1,,,0,,,,"1.24",1,1,1,1
File,"MyEclipseLocationProvider.java",1,1,1,1,3,0,3,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,44,6,17,9,8,21,,,,6,8,7,2,,,,,,1,1,1,1,,,0,,,,"1.24",1,1,1,1
File,"OsUtils.java",2,2,2,1,9,0,7,1,,,,,2,4,1,9,,7,5,4,9,,1,3,0,5,,137,20,84,32,48,33,,,,45,69,32,48,,,,,,6,6,6,4,,,5,,,,"0.39",20,20,21,16
File,"RhdsLocationProvider.java",1,1,1,1,3,0,3,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,44,6,17,9,8,21,,,,6,8,7,2,,,,,,1,1,1,1,,,0,,,,"1.24",1,1,1,1
File,"STSLocationProvider.java",1,1,1,1,3,0,3,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,43,6,16,9,7,21,,,,6,8,7,2,,,,,,1,1,1,1,,,0,,,,"1.31",1,1,1,1
File,"StandardProductDescriptor.java",1,1,1,1,4,0,4,0,,,,,1,5,4,18,,18,13,12,18,,0,5,0,13,,158,23,114,46,50,21,,,,62,88,48,43,,,,,,4,3,4,3,,,2,,,,"0.18",25,23,25,20
Package,"lombok",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"lombok.installer",2,2,2,1,17,1,15,0,,,,,37,15,18,,5,,73,21,88,,12,16,0,60,,1414,195,1043,292,687,177,,,,600,808,318,568,,,,,,19,19,19,4,,,5,,,,"0.17",181,179,184,100
Public Abstract Class,"lombok.installer.IdeLocation",2,2,2,1,7,0,5,2,1,11,11,1,,3,2,,,,6,1,9,9,0,0,0,9,,50,5,33,16,16,12,,,,18,27,17,13,,,,,,4,4,4,1,,1,2,,100,100,"0.36",9,9,9,4
Public Static Method,"lombok.installer.IdeLocation.canonical",,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,0,8,2,5,4,4,2,0,3,5,2,4,3,3,3,1,1,,,,,0,,1,0,,,"0.50",3,3,3,1
Public Static Method,"lombok.installer.IdeLocation.escapePath",,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,0,9,3,6,0,6,3,0,5,9,4,7,4,4,4,1,0,,,,,0,,2,0,,,"0.00",4,4,4,1
Public Static Method,"lombok.installer.IdeLocation.findOurJar",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,3,1,1,4,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.33",1,1,1,1
Public Abstract Method,"lombok.installer.IdeLocation.getIdeIcon",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Public Abstract Method,"lombok.installer.IdeLocation.getName",,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Public Abstract Method,"lombok.installer.IdeLocation.hasLombok",,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Public Abstract Method,"lombok.installer.IdeLocation.install",,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Public Method,"lombok.installer.IdeLocation.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
