Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractIdentifiableSingleEntityMergeStrategy.java",2,2,2,1,15,0,11,3,,,,,3,0,1,22,,22,22,13,22,,0,4,5,13,,440,35,292,141,161,113,,,,156,211,116,136,,,,,,7,7,7,6,,,3,,,,"0.39",48,48,51,39
File,"RouteStopsInCommonDuplicateScoringStrategy.java",2,2,2,1,10,0,9,0,,,,,1,0,0,2,,2,2,0,2,,0,1,0,1,,54,5,33,21,12,16,,,,21,28,21,12,,,,,,3,3,3,1,,,2,,,,"0.48",4,4,4,2
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.onebusaway",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.onebusaway.gtfs_merge",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.onebusaway.gtfs_merge.strategies",2,2,2,1,15,0,11,3,,,,,3,0,1,,1,,22,13,22,,0,4,5,13,,440,35,292,141,161,113,,,,156,211,116,136,,,,,,7,7,7,6,,,3,,,,"0.39",48,48,51,39
Public Abstract Generic Class,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy",3,3,3,2,28,1,17,9,1,28,28,0,,0,1,,,,9,1,9,9,0,3,5,1,,414,32,269,119,160,113,,,,134,189,94,136,,,,,,7,7,7,6,,2,3,,77,66,"0.42",28,28,31,23
Public Constructor,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.AbstractIdentifiableSingleEntityMergeStrategy",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Class,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.Result",1,1,1,1,2,0,2,0,1,0,0,0,,0,0,,,,9,4,9,9,0,0,0,9,,32,0,32,14,12,0,,,,12,22,14,8,,,,,,1,1,1,1,,1,0,,77,77,"0.00",9,9,9,9
Public Constructor,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.Result.Result",,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.Result.getDuplicateElements",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.Result.getPercentComplete",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.Result.getTotalScore",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.Result.isDone",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.Result.setDone",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.Result.setDuplicateElements",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.Result.setPercentComplete",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.Result.setTotalScore",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Generic Class,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.ScoringTask",2,2,2,1,16,0,16,0,2,9,9,0,,0,0,,,,4,8,4,4,0,1,0,3,,81,6,75,35,36,0,,,,38,51,23,32,,,,,,7,7,7,4,,1,3,,50,50,"0.00",11,11,11,7
Public Constructor,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.ScoringTask.ScoringTask",,,,,,,,,,,,,,,,,,,,,,,,,,,8,15,0,15,7,7,0,8,1,0,7,8,1,7,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
TypeVariable,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.ScoringTask.T",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Public Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.ScoringTask.getResult",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.ScoringTask.run",,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,10,2,6,0,3,2,0,3,5,1,4,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.ScoringTask.score",,,,,,,,,,,,,,,,,,,,,,,,,,,9,38,1,37,16,22,0,9,26,1,19,27,11,20,7,7,7,4,1,,,,,1,,3,1,,,"0.00",7,7,7,4
TypeVariable,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.T",0,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,,0,0,"0.00",0,0,0,0
Protected Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.getFuzzyDuplicate",,,,,,,,,,,,,,,,,,,,,,,,,,,5,28,0,24,10,15,4,11,7,1,10,16,7,14,5,5,5,5,3,,,,,3,,2,3,,,"0.17",5,5,5,5
Protected Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.getIdentityDuplicate",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,4,2,0,4,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.getRawId",,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,0,9,1,6,7,3,3,0,3,6,1,5,3,3,3,3,2,,,,,2,,1,2,,,"0.78",3,3,3,3
Private Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.hasLikelyFuzzyOverlap",,,,,,,,,,,,,,,,,,,,,,,,,,,9,89,9,51,21,41,29,18,16,1,35,43,21,36,7,7,7,6,9,,,,,9,,3,7,,,"0.57",7,7,7,6
Private Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.hasLikelyIdentifierOverlap",,,,,,,,,,,,,,,,,,,,,,,,,,,6,52,4,27,16,22,21,11,3,0,15,19,13,16,3,3,4,1,1,,,,,0,,1,0,,,"0.78",3,3,4,1
Protected Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.pickBestDuplicateDetectionStrategy",,,,,,,,,,,,,,,,,,,,,,,,,,,5,23,2,17,5,11,4,7,4,1,6,10,3,9,4,4,5,4,3,,,,,3,,1,3,,,"0.24",4,4,5,4
Protected Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.rename",,,,,,,,,,,,,,,,,,,,,,,,,,,4,17,0,10,5,6,7,3,2,0,5,7,4,5,2,2,3,1,0,,,,,0,,1,0,,,"0.70",2,2,3,1
Protected Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.save",,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,0,10,3,6,12,6,2,0,5,7,2,6,2,2,2,1,0,,,,,0,,1,0,,,"1.20",2,2,2,1
Package,"org.onebusaway.gtfs_merge.strategies.scoring",2,2,2,1,10,0,9,0,,,,,1,0,0,,1,,2,0,2,,0,1,0,1,,54,5,33,21,12,16,,,,21,28,21,12,,,,,,3,3,3,1,,,2,,,,"0.48",4,4,4,2
Public Class,"org.onebusaway.gtfs_merge.strategies.scoring.RouteStopsInCommonDuplicateScoringStrategy",2,2,2,1,10,0,9,0,2,11,11,0,,0,0,,,,2,0,2,2,0,1,0,1,,40,2,22,10,12,16,,,,10,17,10,12,,,,,,3,3,3,1,,1,2,,0,0,"0.73",4,4,4,2
Private Method,"org.onebusaway.gtfs_merge.strategies.scoring.RouteStopsInCommonDuplicateScoringStrategy.getAllStopsForRoute",,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,0,13,4,9,1,6,3,0,7,12,6,9,3,3,3,1,0,,,,,0,,2,0,,,"0.08",3,3,3,1
Public Method,"org.onebusaway.gtfs_merge.strategies.scoring.RouteStopsInCommonDuplicateScoringStrategy.score",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,4,3,0,5,1,0,3,4,3,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
