Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"GrizzlyServerFactory.java",1,1,1,1,15,1,13,0,,,,,3,4,8,11,,11,7,0,11,,0,3,0,8,,183,23,159,75,93,4,,,,105,124,80,70,,,,,,6,6,7,1,,,1,,,,"0.03",18,18,19,11
File,"GrizzlyServerModule.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,0,2,,0,0,2,0,,21,4,17,13,2,0,,,,8,11,10,1,,,,,,1,1,1,1,,,0,,,,"0.00",2,2,2,2
File,"JerseyHttpServlet.java",2,2,2,1,16,1,15,0,,,,,1,2,3,5,,5,3,2,5,,0,3,1,1,,121,17,102,45,59,3,,,,61,72,42,42,,,,,,6,6,6,4,,,3,,,,"0.03",13,13,14,8
File,"JettyServerFactory.java",1,1,1,1,30,6,24,1,,,,,1,2,13,2,,2,0,0,2,,0,1,0,1,,105,22,83,47,57,2,,,,68,71,45,48,,,,,,1,1,1,1,,,0,,,,"0.02",2,2,2,2
File,"JettyServerModule.java",1,1,1,1,8,0,8,0,,,,,1,0,0,2,,2,2,0,2,,0,0,2,0,,35,4,31,21,11,1,,,,23,26,18,11,,,,,,1,1,1,1,,,0,,,,"0.03",2,2,2,2
File,"MemoryManagerFactory.java",2,2,2,2,15,2,13,0,,,,,1,1,0,2,,2,1,0,2,,1,1,0,0,,46,10,36,18,21,0,,,,15,20,15,9,,,,,,3,3,3,3,,,1,,,,"0.00",4,4,4,4
File,"Settings.java",1,1,1,1,5,0,5,0,,,,,4,0,0,9,,9,9,10,9,,0,0,0,9,,77,8,69,29,28,0,,,,36,53,30,27,,,,,,4,4,4,3,,,2,,,,"0.00",14,14,14,11
Package,"ru",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"ru.hh",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"ru.hh.nab",1,1,1,1,5,0,5,0,,,,,6,0,0,,3,,13,10,13,,0,0,4,9,,133,16,117,63,41,1,,,,67,90,58,39,,,,,,4,4,4,3,,,2,,,,"0.01",18,18,18,15
Class,"ru.hh.nab.GrizzlyServerModule",1,1,1,1,4,0,4,0,1,7,7,0,,0,0,,,,2,0,2,2,0,0,2,0,,12,2,10,6,2,0,,,,1,4,3,1,,,,,,1,1,1,1,,2,0,,0,0,"0.00",2,2,2,2
Protected Method,"ru.hh.nab.GrizzlyServerModule.configure",,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,2,0,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"ru.hh.nab.GrizzlyServerModule.jettyServer",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,3,2,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Class,"ru.hh.nab.JettyServerModule",1,1,1,1,8,0,8,0,1,12,12,0,,0,0,,,,2,0,2,2,0,0,2,0,,21,2,19,9,11,1,,,,11,14,6,11,,,,,,1,1,1,1,,2,0,,0,0,"0.05",2,2,2,2
Protected Method,"ru.hh.nab.JettyServerModule.configure",,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,2,0,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"ru.hh.nab.JettyServerModule.jettyServer",,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,0,15,6,11,1,10,1,0,11,12,4,11,1,1,1,1,0,,,,,0,,0,0,,,"0.07",1,1,1,1
Public Class,"ru.hh.nab.Settings",2,2,2,1,8,0,8,0,1,2,2,0,,0,0,,,,3,4,3,3,0,0,0,3,,73,6,67,27,28,0,,,,34,51,28,27,,,,,,4,4,4,3,,1,2,,58,50,"0.00",6,6,6,5
Public Static Final Class,"ru.hh.nab.Settings.BoolProperty",1,1,1,1,4,0,4,0,1,2,2,0,,0,0,,,,2,2,2,2,0,0,0,2,,12,0,12,6,4,0,,,,6,9,6,4,,,,,,2,2,2,1,,1,0,,0,0,"0.00",3,3,3,2
Public Constructor,"ru.hh.nab.Settings.BoolProperty.BoolProperty",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"ru.hh.nab.Settings.BoolProperty.getFrom",,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,4,2,2,0,3,1,0,2,3,2,2,2,2,2,1,0,,,,,0,,0,0,,,"0.00",2,2,2,1
Public Static Final Class,"ru.hh.nab.Settings.IntProperty",1,1,1,1,4,0,4,0,1,2,2,0,,0,0,,,,2,2,2,2,0,0,0,2,,12,0,12,6,4,0,,,,6,9,6,4,,,,,,2,2,2,1,,1,0,,0,0,"0.00",3,3,3,2
Public Constructor,"ru.hh.nab.Settings.IntProperty.IntProperty",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"ru.hh.nab.Settings.IntProperty.from",,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,0,4,2,2,0,3,1,0,2,3,2,2,2,2,2,1,0,,,,,0,,0,0,,,"0.00",2,2,2,1
Public Constructor,"ru.hh.nab.Settings.Settings",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,1,4,0,7,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Final Class,"ru.hh.nab.Settings.StringProperty",1,1,1,1,3,0,3,0,1,2,2,0,,0,0,,,,2,2,2,2,0,0,0,2,,11,0,11,5,3,0,,,,5,8,5,3,,,,,,1,1,1,1,,1,0,,0,0,"0.00",2,2,2,2
Public Constructor,"ru.hh.nab.Settings.StringProperty.StringProperty",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"ru.hh.nab.Settings.StringProperty.getFrom",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"ru.hh.nab.Settings.subTree",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"ru.hh.nab.Settings.subTree",,,,,,,,,,,,,,,,,,,,,,,,,,,4,17,0,17,3,12,0,7,6,1,8,13,4,11,4,4,4,3,2,,,,,2,,2,1,,,"0.00",4,4,4,3
Package,"ru.hh.nab.grizzly",1,1,1,1,15,1,13,0,,,,,4,5,8,,2,,8,0,13,,1,4,0,8,,229,33,195,93,114,4,,,,120,144,95,79,,,,,,6,6,7,3,,,1,,,,"0.02",22,22,23,15
Public Final Class,"ru.hh.nab.grizzly.GrizzlyServerFactory",2,2,2,1,29,4,25,1,1,30,30,0,,4,8,,,,0,0,4,4,0,3,0,1,,139,21,117,33,93,4,,,,63,82,38,70,,,,,,6,6,7,1,,1,1,,0,0,"0.03",9,9,10,4
Private Static Method,"ru.hh.nab.grizzly.GrizzlyServerFactory.configureNetworking",,,,,,,,,,,,,,,,,,,,,,,,,,,18,47,8,38,11,32,1,27,24,1,27,33,11,32,6,6,7,1,1,,,,,0,,1,0,,,"0.03",6,6,7,1
Public Static Method,"ru.hh.nab.grizzly.GrizzlyServerFactory.create",,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,0,9,3,7,0,12,1,0,7,8,3,7,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Method,"ru.hh.nab.grizzly.GrizzlyServerFactory.createWebapp",,,,,,,,,,,,,,,,,,,,,,,,,,,2,60,8,52,8,40,3,9,1,0,20,30,14,22,1,1,1,1,0,,,,,0,,0,0,,,"0.06",1,1,1,1
Anonymous Class,"ru.hh.nab.grizzly.GrizzlyServerFactory.createWebapp.(Anon_1)",1,1,1,1,13,1,12,0,1,14,14,0,,0,0,,,,3,0,3,3,0,0,0,3,,44,6,38,2,28,0,,,,9,18,9,11,,,,,,3,3,3,1,,2,0,,0,0,"0.00",5,5,5,3
Public Method,"ru.hh.nab.grizzly.GrizzlyServerFactory.createWebapp.(Anon_1).destroy",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,0,2,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"ru.hh.nab.grizzly.GrizzlyServerFactory.createWebapp.(Anon_1).doFilter",,,,,,,,,,,,,,,,,,,,,,,,,,,5,34,4,30,2,23,0,10,3,0,9,16,7,11,3,3,3,1,2,,,,,0,,0,0,,,"0.00",3,3,3,1
Anonymous Class,"ru.hh.nab.grizzly.GrizzlyServerFactory.createWebapp.(Anon_1).doFilter.(Anon_2)",1,1,1,1,3,0,3,0,1,5,5,0,,0,0,,,,4,0,4,4,0,0,0,4,,19,3,16,0,12,0,,,,3,7,4,3,,,,,,1,1,1,1,,2,0,,0,0,"0.00",4,4,4,4
