Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractJsonDataSet.java",5,5,5,4,17,1,16,0,,,,,1,0,0,1,,2,2,0,2,,0,0,2,0,,35,7,28,14,12,0,,,,17,21,14,9,,,,,,5,5,5,4,,,1,,,,"0.00",5,5,5,4
File,"AbstractXmlDataSet.java",2,2,2,1,15,2,10,2,,,,,1,0,0,16,,17,17,1,17,,0,14,1,2,,300,56,202,77,109,42,,,,98,140,69,90,,,,,,6,6,6,4,,,2,,,,"0.21",38,38,39,19
File,"AbstractYamlDataSet.java",3,3,3,1,15,1,14,0,,,,,1,0,0,1,,2,2,0,2,,0,0,2,0,,32,7,25,15,9,0,,,,15,19,14,8,,,,,,3,3,3,1,,,1,,,,"0.00",3,3,3,1
File,"ClassPathJsonDataSet.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,1,2,,0,0,1,1,,29,7,17,9,5,5,,,,9,13,9,5,,,,,,2,2,2,1,,,1,,,,"0.29",3,3,3,2
File,"ClassPathXmlDataSet.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,1,2,,0,0,1,1,,24,6,18,10,6,0,,,,9,13,9,5,,,,,,2,2,2,1,,,1,,,,"0.00",3,3,3,2
File,"ClassPathYamlDataSet.java",1,1,1,1,6,0,5,0,,,,,1,0,0,2,,2,2,1,2,,0,0,1,1,,26,8,18,10,6,0,,,,9,13,9,5,,,,,,2,2,2,1,,,1,,,,"0.00",3,3,3,2
File,"FileJsonDataSet.java",2,2,2,2,8,0,8,0,,,,,1,0,0,2,,2,2,1,2,,0,0,1,1,,33,7,26,11,10,0,,,,12,18,10,8,,,,,,3,3,3,3,,,1,,,,"0.00",5,5,5,4
File,"FileXmlDataSet.java",2,2,2,2,8,0,8,0,,,,,1,0,0,2,,2,2,1,2,,0,0,1,1,,33,7,26,11,10,0,,,,12,18,10,8,,,,,,3,3,3,3,,,1,,,,"0.00",5,5,5,4
File,"FileYamlDataSet.java",2,2,2,2,9,0,9,0,,,,,1,0,0,2,,2,2,1,2,,0,0,1,1,,34,7,27,11,11,0,,,,13,19,10,9,,,,,,3,3,3,3,,,1,,,,"0.00",5,5,5,4
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.cassandraunit",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.cassandraunit.dataset",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.cassandraunit.dataset.json",2,2,2,2,8,0,8,0,,,,,3,0,0,,3,,6,2,6,,0,0,4,2,,97,21,71,34,27,5,,,,38,52,33,22,,,,,,5,5,5,4,,,1,,,,"0.07",13,13,13,10
Public Abstract Class,"org.cassandraunit.dataset.json.AbstractJsonDataSet",5,5,5,4,17,1,16,0,1,7,7,2,,0,0,,,,2,0,2,2,0,0,2,0,,23,4,19,5,12,0,,,,8,12,5,9,,,,,,5,5,5,4,,2,1,,0,0,"0.00",5,5,5,4
Protected Abstract Method,"org.cassandraunit.dataset.json.AbstractJsonDataSet.getInputDataSetLocation",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Protected Method,"org.cassandraunit.dataset.json.AbstractJsonDataSet.getParsedKeyspace",,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,1,16,3,12,0,3,8,1,7,10,3,9,5,5,5,4,6,,,,,6,,1,6,,,"0.00",5,5,5,4
Public Class,"org.cassandraunit.dataset.json.ClassPathJsonDataSet",1,1,1,1,5,0,5,0,2,3,3,0,,0,0,,,,2,1,2,4,0,0,1,1,,22,4,13,5,5,5,,,,5,9,5,5,,,,,,2,2,2,1,,3,1,,0,0,"0.38",3,3,3,2
Public Constructor,"org.cassandraunit.dataset.json.ClassPathJsonDataSet.ClassPathJsonDataSet",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,1,3,0,3,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
