Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"DataFileHttpUploadView.java",2,2,2,1,13,0,12,0,,,,,5,0,1,3,,5,5,3,5,,2,0,0,3,,106,17,69,37,28,20,,,,38,50,35,23,,,,,,5,5,5,1,,,4,,,,"0.29",7,7,7,3
File,"DataFileUploadActivity.java",1,1,1,1,6,0,6,0,,,,,4,0,0,13,,13,13,4,13,,0,1,0,12,,124,17,89,40,34,18,,,,45,60,39,21,,,,,,2,2,2,1,,,1,,,,"0.20",14,14,14,13
File,"DataFilesProxy.java",1,1,1,1,9,0,8,0,,,,,7,0,0,18,,18,18,4,18,,0,2,0,16,,152,21,113,31,60,18,,,,49,73,41,33,,,,,,3,3,3,3,,,2,,,,"0.16",22,22,23,20
File,"FtpFileRegistrationForm.java",1,1,1,1,8,0,7,0,,,,,6,0,0,15,,16,16,7,16,,3,7,0,6,,180,28,134,51,63,18,,,,72,100,53,56,,,,,,4,4,5,3,,,2,,,,"0.13",25,25,26,19
File,"SubmissionService.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,16,16,0,16,,16,0,0,0,,75,21,36,35,1,18,,,,33,34,34,0,,,,,,0,0,0,0,,,0,,,,"0.50",0,0,0,0
File,"SubmissionServiceAsync.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,16,16,0,16,,16,0,0,0,,52,19,33,32,0,0,,,,31,32,32,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"SubmissionServiceImpl.java",3,3,4,2,16,0,16,0,,,,,1,0,1,21,,21,21,3,21,,0,4,0,17,,455,39,396,163,225,21,,,,198,252,123,166,,,,,,11,11,11,7,,,3,,,,"0.05",82,82,84,60
Package,"uk",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.ac",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.ac.ebi",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
