Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractIrpQueue.java",2,2,2,1,16,0,10,5,,,,,2,0,0,8,,10,10,3,10,,2,0,4,4,,185,21,91,20,37,73,,,,33,52,21,34,,,,,,4,4,4,1,,,3,,,,"0.80",16,16,17,8
File,"ControlIrpQueue.java",1,1,2,1,15,0,12,2,,,,,1,0,0,3,,3,3,1,3,,1,0,2,0,,77,8,51,23,20,18,,,,24,30,18,15,,,,,,3,3,4,1,,,1,,,,"0.35",5,5,6,3
File,"IrpQueue.java",3,3,4,1,31,0,23,6,,,,,1,0,0,7,,7,7,1,7,,1,4,2,0,,257,17,183,52,104,57,,,,78,104,44,78,,,,,,7,7,8,3,,,3,,,,"0.31",26,25,29,11
Package,"de",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.ailis",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.ailis.usb4java",2,2,2,1,21,0,15,5,,,,,4,0,0,,3,,20,5,20,,4,4,8,4,,519,46,325,95,161,148,,,,135,186,83,127,,,,,,7,7,8,3,,,3,,,,"0.46",47,46,52,22
Abstract Generic Class,"de.ailis.usb4java.AbstractIrpQueue",2,2,2,1,18,0,11,6,1,9,9,2,,0,0,,,,9,3,9,9,2,0,4,3,,171,16,86,15,37,69,,,,28,47,16,34,,,,,,4,4,4,1,,1,3,,57,52,"0.80",15,15,16,7
Constructor,"de.ailis.usb4java.AbstractIrpQueue.AbstractIrpQueue",,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,0,6,1,3,6,2,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,"1.00",2,2,2,1
TypeVariable,"de.ailis.usb4java.AbstractIrpQueue.T",0,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,,0,0,"0.00",0,0,0,0
Public Final Method,"de.ailis.usb4java.AbstractIrpQueue.abort",,,,,,,,,,,,,,,,,,,,,,,,,,,1,23,0,18,1,7,5,5,4,1,3,8,1,7,4,4,4,1,1,,,,,0,,3,0,,,"0.28",4,4,4,1
