Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ConfigFile.java",3,2,3,1,15,0,13,0,,,,,2,3,1,35,,39,36,3,39,,0,0,38,1,,601,82,511,80,288,8,,,,208,315,84,246,,,,,,17,17,18,6,,,5,,,,"0.02",108,101,113,66
File,"CustomObject.java",3,3,3,1,12,2,9,0,,,,,1,0,0,6,,6,6,3,6,,0,0,4,2,,100,28,71,25,35,1,,,,31,51,23,30,,,,,,10,10,12,3,,,3,,,,"0.01",18,18,21,10
File,"CustomObjectCompiled.java",2,2,3,1,19,4,15,0,,,,,1,0,0,8,,8,8,32,8,,0,2,4,2,,225,58,167,60,84,0,,,,109,134,60,79,,,,,,11,11,13,8,,,3,,,,"0.00",21,21,25,15
File,"WorldConfig.java",3,3,3,0,38,7,29,1,,,,,5,0,0,21,,13,21,104,21,,0,3,4,14,,1088,233,743,155,527,113,,,,567,648,154,516,,,,,,20,20,20,5,,,4,,,,"0.15",66,66,71,19
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.khorn",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.khorn.terraincontrol",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.khorn.terraincontrol.configuration",3,2,3,1,23,3,19,0,,,,,7,3,1,,2,,57,107,60,,0,3,42,15,,1689,315,1254,235,815,121,,,,775,963,238,762,,,,,,20,20,20,6,,,5,,,,"0.10",174,167,184,85
Public Abstract Class,"com.khorn.terraincontrol.configuration.ConfigFile",3,2,3,1,15,0,13,0,1,23,23,3,,3,1,,,,36,3,39,39,0,0,38,1,,586,79,499,69,288,8,,,,197,304,73,246,,,,,,17,17,18,6,,1,5,,79,78,"0.02",108,101,113,66
Protected Method,"com.khorn.terraincontrol.configuration.ConfigFile.CheckValue",,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,0,9,1,6,0,1,3,0,3,6,1,5,3,3,3,3,2,,,,,2,,1,2,,,"0.00",3,3,3,3
