Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"SteamCommunityTest.java",1,1,1,1,18,3,13,4,,,,,1,0,0,8,,8,8,2,8,,0,0,0,8,,199,44,132,47,88,43,,,,72,81,37,56,,,,,,1,1,1,1,,,0,,,,"0.33",8,8,8,8
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.koraktor",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.koraktor.steamcondenser",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.koraktor.steamcondenser.steam",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.koraktor.steamcondenser.steam.community",1,1,1,1,18,3,13,4,,,,,1,0,0,,1,,8,2,8,,0,0,0,8,,199,44,132,47,88,43,,,,72,81,37,56,,,,,,1,1,1,1,,,0,,,,"0.33",8,8,8,8
Public Class,"com.github.koraktor.steamcondenser.steam.community.SteamCommunityTest",1,1,1,1,18,3,13,4,1,11,11,0,,0,0,,,,8,2,8,8,0,0,0,8,,176,37,116,31,88,43,,,,56,65,21,56,,,,,,1,1,1,1,,1,0,,43,43,"0.37",8,8,8,8
Public Method,"com.github.koraktor.steamcondenser.steam.community.SteamCommunityTest.getFriends",,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,4,13,4,10,4,8,1,0,6,7,3,6,1,1,1,1,0,,,,,0,,0,0,,,"0.31",1,1,1,1
Public Method,"com.github.koraktor.steamcondenser.steam.community.SteamCommunityTest.getGames",,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,3,10,4,7,4,8,1,0,5,6,3,5,1,1,1,1,0,,,,,0,,0,0,,,"0.40",1,1,1,1
Public Method,"com.github.koraktor.steamcondenser.steam.community.SteamCommunityTest.getTF2Stats",,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,3,15,4,12,3,10,1,0,8,9,3,8,1,1,1,1,0,,,,,0,,0,0,,,"0.20",1,1,1,1
Public Method,"com.github.koraktor.steamcondenser.steam.community.SteamCommunityTest.groupByCustomUrl",,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,2,11,3,8,2,7,1,0,4,5,2,4,1,1,1,1,0,,,,,0,,0,0,,,"0.18",1,1,1,1
Public Method,"com.github.koraktor.steamcondenser.steam.community.SteamCommunityTest.groupByGroupId64",,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,3,11,3,8,2,7,1,0,4,5,2,4,1,1,1,1,0,,,,,0,,0,0,,,"0.18",1,1,1,1
Public Method,"com.github.koraktor.steamcondenser.steam.community.SteamCommunityTest.init",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,6,2,3,0,5,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.github.koraktor.steamcondenser.steam.community.SteamCommunityTest.steamIdByCustomUrl",,,,,,,,,,,,,,,,,,,,,,,,,,,1,32,5,22,3,19,9,16,1,0,12,13,2,12,1,1,1,1,0,,,,,0,,0,0,,,"0.41",1,1,1,1
Public Method,"com.github.koraktor.steamcondenser.steam.community.SteamCommunityTest.steamIdBySteamId64",,,,,,,,,,,,,,,,,,,,,,,,,,,1,33,6,22,3,19,9,16,1,0,12,13,2,12,1,1,1,1,0,,,,,0,,0,0,,,"0.41",1,1,1,1
