Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AnnotationProcessor_Array_Test.java",1,1,1,1,13,1,8,3,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,78,14,46,29,23,18,,,,32,37,25,23,,,,,,1,1,1,1,,,0,,,,"0.39",4,4,4,4
File,"AnnotationProcessor_BaseclassAndGenerationGap_Test.java",1,1,1,1,21,2,14,4,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,134,23,86,51,57,25,,,,66,72,43,51,,,,,,1,1,1,1,,,0,,,,"0.29",5,5,5,5
File,"AnnotationProcessor_Baseclass_Test.java",1,1,1,1,17,1,10,5,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,111,18,65,39,39,28,,,,48,54,34,39,,,,,,1,1,1,1,,,0,,,,"0.43",5,5,5,5
File,"AnnotationProcessor_BuilderDependencies_Test.java",1,1,1,1,12,1,8,3,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,58,10,37,24,17,14,,,,26,30,21,14,,,,,,1,1,1,1,,,0,,,,"0.38",3,3,3,3
File,"AnnotationProcessor_BuilderInterface_Test.java",1,1,1,1,19,1,11,5,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,120,18,70,43,41,32,,,,50,56,35,41,,,,,,1,1,1,1,,,0,,,,"0.46",5,5,5,5
File,"AnnotationProcessor_ClassAnnotation_Test.java",1,1,1,1,10,1,7,2,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,55,11,33,22,13,11,,,,22,26,19,13,,,,,,1,1,1,1,,,0,,,,"0.33",3,3,3,3
File,"AnnotationProcessor_ConstructorAnnotation_Test.java",1,1,1,1,14,1,8,4,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,81,15,47,30,23,19,,,,32,37,25,23,,,,,,1,1,1,1,,,0,,,,"0.40",4,4,4,4
File,"AnnotationProcessor_CopyMethod_Test.java",1,1,1,1,15,1,9,4,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,104,20,59,36,33,26,,,,42,48,31,32,,,,,,1,1,1,1,,,0,,,,"0.44",5,5,5,5
File,"AnnotationProcessor_CustomAnnotation_Test.java",1,1,1,1,18,1,11,4,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,118,20,73,44,45,25,,,,56,62,39,44,,,,,,1,1,1,1,,,0,,,,"0.34",5,5,5,5
File,"AnnotationProcessor_Enums_Test.java",1,1,1,1,10,1,7,2,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,55,11,33,22,13,11,,,,22,26,19,13,,,,,,1,1,1,1,,,0,,,,"0.33",3,3,3,3
