Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractSingleImageLayer.java",1,1,1,1,13,0,10,2,,,,,1,0,0,5,,6,6,3,6,,0,0,4,2,,130,13,88,61,29,29,,,,56,64,48,25,,,,,,2,2,2,1,,,1,,,,"0.33",6,6,6,5
File,"ImageLayer.java",1,1,1,1,19,1,16,1,,,,,3,0,3,8,,8,8,8,8,,0,0,2,6,,260,29,198,120,98,33,,,,125,141,97,67,,,,,,5,5,5,4,,,3,,,,"0.17",12,12,12,11
File,"WmsLayer.java",1,1,2,1,16,0,13,2,,,,,1,0,1,8,,8,8,2,8,,0,0,2,6,,179,18,140,69,68,21,,,,72,90,52,48,,,,,,7,7,8,7,,,3,,,,"0.15",15,15,18,14
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mapfish",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mapfish.print",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mapfish.print.map",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mapfish.print.map.image",1,1,1,1,17,1,13,2,,,,,4,0,3,,2,,14,11,14,,0,0,6,8,,390,42,286,181,127,62,,,,181,205,145,92,,,,,,5,5,5,4,,,3,,,,"0.22",18,18,18,16
Public Abstract Class,"org.mapfish.print.map.image.AbstractSingleImageLayer",1,1,1,1,13,0,10,2,1,27,27,2,,0,0,,,,6,3,6,6,0,0,4,2,,98,9,60,33,29,29,,,,28,36,20,25,,,,,,2,2,2,1,,2,1,,60,60,"0.48",6,6,6,5
Protected Constructor,"org.mapfish.print.map.image.AbstractSingleImageLayer.AbstractSingleImageLayer",,,,,,,,,,,,,,,,,,,,,,,,,,,7,19,0,10,5,4,9,4,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,"0.90",1,1,1,1
Protected Method,"org.mapfish.print.map.image.AbstractSingleImageLayer.createErrorImage",,,,,,,,,,,,,,,,,,,,,,,,,,,7,16,0,11,3,8,5,7,1,0,6,8,3,7,1,1,1,1,0,,,,,0,,1,0,,,"0.45",1,1,1,1
Public Final Method,"org.mapfish.print.map.image.AbstractSingleImageLayer.getImageBufferScaling",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Final Method,"org.mapfish.print.map.image.AbstractSingleImageLayer.getLayers",,,,,,,,,,,,,,,,,,,,,,,,,,,4,26,3,23,14,15,0,18,2,0,12,14,9,12,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.mapfish.print.map.image.AbstractSingleImageLayer.getStyleSupplier",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Abstract Method,"org.mapfish.print.map.image.AbstractSingleImageLayer.loadImage",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,3,3,0,6,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"2.00",0,0,0,0
Public Final Class,"org.mapfish.print.map.image.ImageLayer",2,2,2,2,41,3,34,3,1,41,41,0,,0,1,,,,3,3,3,9,0,0,2,1,,209,25,151,73,98,33,,,,78,94,50,67,,,,,,5,5,5,4,,3,3,,33,33,"0.22",7,7,7,6
