Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"LatencyPlotDataProvider.java",1,1,1,1,16,3,13,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,96,21,71,39,38,4,,,,46,55,33,34,,,,,,3,3,3,3,,,2,,,,"0.06",7,7,7,6
File,"LegendProvider.java",1,1,1,1,8,1,7,0,,,,,1,0,0,6,,6,6,1,6,,0,2,0,4,,73,15,54,21,27,4,,,,22,32,19,16,,,,,,3,3,4,1,,,1,,,,"0.07",8,8,9,6
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.griddynamics",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.griddynamics.jagger",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.griddynamics.jagger.webclient",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.griddynamics.jagger.webclient.server",1,1,1,1,8,1,7,0,,,,,1,0,0,,1,,6,1,6,,0,2,0,4,,73,15,54,21,27,4,,,,22,32,19,16,,,,,,3,3,4,1,,,1,,,,"0.07",8,8,9,6
Public Class,"com.griddynamics.jagger.webclient.server.LegendProvider",1,1,1,1,8,1,7,0,1,8,8,0,,0,0,,,,6,1,6,6,0,2,0,4,,63,12,47,15,26,4,,,,16,26,13,16,,,,,,3,3,4,1,,1,1,,50,50,"0.09",8,8,9,6
Public Constructor,"com.griddynamics.jagger.webclient.server.LegendProvider.LegendProvider",,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"com.griddynamics.jagger.webclient.server.LegendProvider.generatePlotHeader",,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,1,11,2,9,0,3,1,0,3,4,2,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"com.griddynamics.jagger.webclient.server.LegendProvider.generatePlotHeader",,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,3,15,2,10,0,8,3,0,6,10,3,8,3,3,4,1,1,,,,,0,,1,0,,,"0.00",3,3,4,1
Public Method,"com.griddynamics.jagger.webclient.server.LegendProvider.getPlotHeader",,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,1,6,2,3,0,6,1,0,3,4,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.griddynamics.jagger.webclient.server.LegendProvider.getPlotHeader",,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,1,6,4,3,0,5,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.griddynamics.jagger.webclient.server.LegendProvider.setEntityManager",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
