Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"EViewer.java",2,2,3,1,20,3,14,3,,,,,2,2,4,19,,19,9,6,11,,0,4,0,7,,425,74,277,94,177,77,,,,180,220,94,150,,,,,,7,7,11,6,,,3,,,,"0.28",50,49,57,27
Package,"de",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.uni_passau",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.uni_passau.fim",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.uni_passau.fim.infosun",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.uni_passau.fim.infosun.prophet",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.uni_passau.fim.infosun.prophet.experimentGUI",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer",2,2,3,1,20,3,14,3,,,,,2,2,4,,1,,9,6,11,,0,4,0,7,,425,74,277,94,177,77,,,,180,220,94,150,,,,,,7,7,11,6,,,3,,,,"0.28",50,49,57,27
Public Class,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer",3,3,4,1,33,5,21,6,1,30,30,0,,2,4,,,,8,6,10,11,0,4,0,6,,387,70,243,60,177,77,,,,146,186,60,150,,,,,,7,7,11,6,,2,3,,70,63,"0.32",45,45,52,25
Lambda Method,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer.(lambda_expr_1)",,,,,,,,,,,,,,,,,,,,,,,,,,,5,13,0,13,1,11,0,6,3,0,5,6,0,6,3,2,3,1,3,,,,,0,,0,0,,,"0.00",3,2,3,1
Public Constructor,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer.EViewer",,,,,,,,,,,,,,,,,,,,,,,,,,,13,68,14,49,11,42,6,25,1,0,33,39,12,36,1,1,1,1,0,,,,,0,,0,0,,,"0.12",7,7,7,4
Anonymous Class,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer.EViewer.(Anon_1)",2,2,2,1,11,1,10,0,1,4,4,0,,0,0,,,,1,0,1,1,0,0,0,1,,13,2,11,2,9,0,,,,5,7,3,6,,,,,,2,2,2,1,,2,1,,0,0,"0.00",2,2,2,1
Public Method,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer.EViewer.(Anon_1).windowClosing",,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,1,10,2,8,0,8,2,0,5,7,3,6,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Lambda Method,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer.EViewer.(lambda_expr_2)",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,1,6,1,4,0,6,2,0,2,3,1,3,2,2,2,1,0,,,,,0,,0,0,,,"0.00",2,2,2,1
Lambda Method,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer.EViewer.(lambda_expr_3)",,,,,,,,,,,,,,,,,,,,,,,,,,,5,13,2,11,4,8,0,10,3,0,5,7,4,7,3,3,3,1,0,,,,,0,,0,0,,,"0.00",3,3,3,1
Lambda Method,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer.EViewer.(lambda_expr_4)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Method,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer.applyToTree",,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,4,1,2,6,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"1.50",2,2,2,2
Lambda Method,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer.applyToTree.(lambda_expr_1)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0,1,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer.endExperiment",,,,,,,,,,,,,,,,,,,,,,,,,,,9,23,5,14,2,11,4,11,2,0,9,11,2,10,2,2,2,1,1,,,,,0,,1,0,,,"0.29",2,2,2,1
Public Method,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer.getExperimentTree",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer.getSaveDir",,,,,,,,,,,,,,,,,,,,,,,,,,,13,41,7,27,7,17,7,13,10,1,15,21,7,16,6,6,7,1,0,,,,,0,,3,0,,,"0.26",8,8,9,3
Lambda Method,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer.getSaveDir.(lambda_expr_1)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Lambda Method,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer.getSaveDir.(lambda_expr_2)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer.loadExperiment",,,,,,,,,,,,,,,,,,,,,,,,,,,7,44,7,31,6,24,6,14,18,1,16,22,6,20,6,6,6,1,2,,,,,0,,2,0,,,"0.19",6,6,6,1
Public Static Method,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer.main",,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,1,10,1,7,6,1,1,0,4,6,1,5,1,1,1,1,0,,,,,0,,1,0,,,"0.60",3,3,3,2
Lambda Method,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer.main.(lambda_expr_1)",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,1,8,0,6,0,7,2,0,3,4,0,4,2,2,2,1,1,,,,,0,,0,0,,,"0.00",2,2,2,1
Public Method,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer.nextNode",,,,,,,,,,,,,,,,,,,,,,,,,,,14,47,7,31,8,21,9,17,12,1,18,24,8,19,7,7,11,6,5,,,,,5,,2,5,,,"0.29",7,7,11,6
Public Method,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer.previousNode",,,,,,,,,,,,,,,,,,,,,,,,,,,8,36,5,23,7,15,8,11,6,1,14,18,7,13,5,5,7,4,3,,,,,3,,2,3,,,"0.35",5,5,7,4
Private Method,"de.uni_passau.fim.infosun.prophet.experimentGUI.experimentViewer.EViewer.switchNode",,,,,,,,,,,,,,,,,,,,,,,,,,,7,44,9,27,4,22,8,16,5,1,19,23,4,22,4,4,4,1,1,,,,,0,,1,0,,,"0.30",4,4,4,1
