Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ArchiveBucketEndpoint.java",1,1,1,1,7,0,7,0,,,,,1,0,1,11,,11,11,0,11,,0,10,0,1,,144,22,108,53,55,14,,,,54,72,42,40,,,,,,3,3,3,1,,,1,,,,"0.13",17,17,17,11
File,"CopyBucketEndpoint.java",4,4,4,1,28,2,26,0,,,,,1,0,1,2,,2,2,0,2,,0,1,0,1,,104,13,77,40,42,14,,,,44,53,32,29,,,,,,5,5,5,1,,,2,,,,"0.18",8,8,8,2
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.splunk",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.splunk.shuttl",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.splunk.shuttl.server",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.splunk.shuttl.server.mbeans",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.splunk.shuttl.server.mbeans.rest",1,1,1,1,11,0,10,0,,,,,2,0,2,,2,,13,0,13,,0,11,0,2,,248,35,185,93,97,28,,,,98,125,74,69,,,,,,5,5,5,1,,,2,,,,"0.15",25,25,25,13
Public Class,"com.splunk.shuttl.server.mbeans.rest.ArchiveBucketEndpoint",1,1,1,1,7,0,7,0,1,24,24,0,,0,1,,,,11,0,11,11,0,10,0,1,,104,16,88,33,55,0,,,,34,52,22,40,,,,,,3,3,3,1,,1,1,,0,0,"0.00",17,17,17,11
Public Method,"com.splunk.shuttl.server.mbeans.rest.ArchiveBucketEndpoint.archiveBucket",,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,0,14,4,8,0,5,2,0,5,7,1,6,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
