Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"FCSRRegister.java",6,5,6,2,19,1,14,3,,,,,1,0,0,11,,11,11,0,11,,0,0,0,11,,266,40,161,22,113,70,,,,67,113,22,91,,,,,,11,11,11,6,,,1,,,,"0.43",68,59,68,25
File,"FPInstructionUtils.java",5,5,8,4,36,6,22,7,,,,,1,23,13,23,,23,0,0,23,,0,0,0,23,,960,202,532,104,389,229,,,,256,382,105,322,,,,,,16,13,27,13,,,4,,,,"0.43",135,125,205,102
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.edumips64",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.edumips64.core",6,5,6,2,19,1,14,3,,,,,1,0,0,,1,,11,0,11,,0,0,0,11,,266,40,161,22,113,70,,,,67,113,22,91,,,,,,11,11,11,6,,,1,,,,"0.43",68,59,68,25
Public Class,"org.edumips64.core.FCSRRegister",6,5,6,2,19,1,14,3,1,4,4,0,,0,0,,,,11,0,11,11,0,0,0,11,,237,35,159,20,113,48,,,,65,111,20,91,,,,,,11,11,11,6,,2,1,,0,0,"0.30",68,59,68,25
Public Method,"org.edumips64.core.FCSRRegister.getFCSRConditionCode",,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,1,10,4,7,3,4,2,0,5,7,4,3,2,2,2,1,1,,,,,0,,1,0,,,"0.30",2,2,2,1
Public Method,"org.edumips64.core.FCSRRegister.getFCSREnables",,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,5,18,1,11,4,4,6,1,6,12,1,11,11,11,11,6,5,,,,,5,,1,5,,,"0.22",11,11,11,6
Public Method,"org.edumips64.core.FCSRRegister.getFCSRFlags",,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,5,18,1,11,4,4,6,1,6,12,1,11,11,11,11,6,5,,,,,5,,1,5,,,"0.22",11,11,11,6
Public Method,"org.edumips64.core.FCSRRegister.getFCSRRoundingMode",,,,,,,,,,,,,,,,,,,,,,,,,,,6,21,5,16,2,10,0,4,5,1,6,11,2,9,5,5,5,5,4,,,,,4,,1,4,,,"0.00",5,5,5,5
