Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"PackageCheckerNuGetBulk.java",3,3,3,1,18,2,16,0,,,,,2,0,1,5,,5,5,3,5,,0,1,0,4,,119,17,83,37,39,19,,,,46,68,41,36,,,,,,6,6,6,3,,,3,,,,"0.23",15,15,16,7
File,"PackageCheckerNuGetPerPackage.java",2,2,2,1,12,0,11,0,,,,,2,0,1,5,,5,5,3,5,,0,1,0,4,,101,12,70,36,31,19,,,,41,56,37,28,,,,,,4,4,4,3,,,1,,,,"0.27",11,11,12,7
Package,"jetbrains",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jetbrains.buildServer",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jetbrains.buildServer.nuget",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jetbrains.buildServer.nuget.server",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jetbrains.buildServer.nuget.server.trigger",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jetbrains.buildServer.nuget.server.trigger.impl",2,2,2,1,15,1,14,0,,,,,4,0,2,,2,,10,6,10,,0,2,0,8,,220,29,153,73,70,38,,,,87,124,78,64,,,,,,6,6,6,3,,,3,,,,"0.25",26,26,28,14
Public Class,"jetbrains.buildServer.nuget.server.trigger.impl.PackageCheckerNuGetBulk",2,2,2,1,17,2,15,0,2,21,21,0,,0,1,,,,4,3,4,4,0,1,0,3,,83,13,66,20,39,4,,,,29,51,24,36,,,,,,4,4,4,3,,1,1,,58,41,"0.06",9,9,10,6
Public Constructor,"jetbrains.buildServer.nuget.server.trigger.impl.PackageCheckerNuGetBulk.PackageCheckerNuGetBulk",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,3,3,0,4,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"jetbrains.buildServer.nuget.server.trigger.impl.PackageCheckerNuGetBulk.accept",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,2,1,0,,,,,0,,0,0,,,"0.00",1,1,2,1
Private Method,"jetbrains.buildServer.nuget.server.trigger.impl.PackageCheckerNuGetBulk.getNuGetPath",,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,2,12,4,7,0,5,3,0,5,8,3,7,3,3,3,3,2,,,,,2,,1,2,,,"0.00",3,3,3,3
Public Method,"jetbrains.buildServer.nuget.server.trigger.impl.PackageCheckerNuGetBulk.update",,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,6,38,7,27,0,11,6,1,16,32,14,24,4,4,4,1,0,,,,,0,,0,0,,,"0.00",4,4,4,1
Anonymous Class,"jetbrains.buildServer.nuget.server.trigger.impl.PackageCheckerNuGetBulk.update.(Anon_1)",6,6,6,1,25,3,22,0,1,6,6,0,,0,0,,,,1,0,1,1,0,0,0,1,,26,3,23,3,17,0,,,,9,18,7,14,,,,,,6,6,6,1,,2,3,,0,0,"0.00",6,6,6,1
Public Method,"jetbrains.buildServer.nuget.server.trigger.impl.PackageCheckerNuGetBulk.update.(Anon_1).run",,,,,,,,,,,,,,,,,,,,,,,,,,,4,25,3,22,3,16,0,15,8,1,9,18,7,14,6,6,6,1,1,,,,,0,,3,0,,,"0.00",6,6,6,1
Public Class,"jetbrains.buildServer.nuget.server.trigger.impl.PackageCheckerNuGetPerPackage",2,2,2,1,12,0,12,0,2,18,18,0,,0,1,,,,4,3,4,4,0,1,0,3,,66,8,54,20,31,4,,,,25,40,21,28,,,,,,4,4,4,3,,1,1,,58,41,"0.07",9,9,10,6
Public Constructor,"jetbrains.buildServer.nuget.server.trigger.impl.PackageCheckerNuGetPerPackage.PackageCheckerNuGetPerPackage",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,3,3,0,4,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"jetbrains.buildServer.nuget.server.trigger.impl.PackageCheckerNuGetPerPackage.accept",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,2,1,0,,,,,0,,0,0,,,"0.00",1,1,2,1
Private Method,"jetbrains.buildServer.nuget.server.trigger.impl.PackageCheckerNuGetPerPackage.getNuGetPath",,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,2,12,4,7,0,5,3,0,5,8,3,7,3,3,3,3,2,,,,,2,,1,2,,,"0.00",3,3,3,3
Public Method,"jetbrains.buildServer.nuget.server.trigger.impl.PackageCheckerNuGetPerPackage.update",,,,,,,,,,,,,,,,,,,,,,,,,,,2,27,1,26,7,19,0,11,6,1,12,21,11,16,4,4,4,1,0,,,,,0,,0,0,,,"0.00",4,4,4,1
Anonymous Class,"jetbrains.buildServer.nuget.server.trigger.impl.PackageCheckerNuGetPerPackage.update.(Anon_1)",2,2,2,1,11,0,11,0,1,5,5,0,,0,0,,,,1,0,1,1,0,0,0,1,,12,0,12,3,10,0,,,,6,8,4,7,,,,,,2,2,2,1,,2,1,,0,0,"0.00",2,2,2,1
Public Method,"jetbrains.buildServer.nuget.server.trigger.impl.PackageCheckerNuGetPerPackage.update.(Anon_1).run",,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,0,11,3,9,0,8,2,0,6,8,4,7,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
