Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Command.java",1,1,1,1,10,0,5,4,,,,,1,0,0,2,,3,3,0,3,,0,0,1,2,,56,5,18,9,6,33,,,,9,13,9,5,,,,,,1,1,1,1,,,1,,,,"1.83",2,2,2,2
Package,"me",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"me.prettyprint",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"me.prettyprint.cassandra",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"me.prettyprint.cassandra.dao",1,1,1,1,10,0,5,4,,,,,1,0,0,,1,,3,0,3,,0,0,1,2,,56,5,18,9,6,33,,,,9,13,9,5,,,,,,1,1,1,1,,,1,,,,"1.83",2,2,2,2
Public Abstract Generic Class,"me.prettyprint.cassandra.dao.Command",1,1,1,1,10,0,5,4,1,5,5,0,,0,0,,,,3,0,3,3,0,0,1,2,,50,3,14,5,6,33,,,,5,9,5,5,,,,,,1,1,1,1,,1,1,,0,0,"2.36",2,2,2,2
TypeVariable,"me.prettyprint.cassandra.dao.Command.OUTPUT",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Public Abstract Method,"me.prettyprint.cassandra.dao.Command.execute",,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,0,1,1,0,11,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"11.00",0,0,0,0
Public Final Method,"me.prettyprint.cassandra.dao.Command.execute",,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,0,8,2,5,9,7,1,0,3,5,2,4,1,1,1,1,0,,,,,0,,1,0,,,"1.12",1,1,1,1
Protected Method,"me.prettyprint.cassandra.dao.Command.getPool",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
