Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CityLookupTest.java",1,1,1,1,29,5,24,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,44,12,31,12,22,1,,,,22,24,10,17,,,,,,1,1,1,1,,,0,,,,"0.03",1,1,1,1
File,"LookupService.java",4,4,5,1,25,1,19,4,,,,,1,2,25,34,,34,32,13,34,,1,5,0,28,,1124,83,807,232,611,234,,,,411,557,158,410,,,,,,16,16,40,7,,,4,,,,"0.29",144,144,179,59
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.maxmind",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.maxmind.geoip",4,4,5,1,25,1,19,4,,,,,2,2,26,,2,,33,13,35,,1,5,0,29,,1168,95,838,244,633,235,,,,433,581,168,427,,,,,,16,16,40,7,,,4,,,,"0.28",145,145,180,60
Public Class,"com.maxmind.geoip.CityLookupTest",1,1,1,1,29,5,24,0,1,4,4,0,,0,1,,,,1,0,1,1,0,0,0,1,,34,7,27,8,22,0,,,,18,20,6,17,,,,,,1,1,1,1,,1,0,,0,0,"0.00",1,1,1,1
Public Method,"com.maxmind.geoip.CityLookupTest.testCityLookup",,,,,,,,,,,,,,,,,,,,,,,,,,,13,29,5,24,6,21,0,6,1,0,17,18,4,17,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Class,"com.maxmind.geoip.LookupService",4,4,5,1,25,1,19,4,1,13,13,0,,2,25,,,,32,13,34,34,1,5,0,28,,1096,80,801,226,611,215,,,,405,551,152,410,,,,,,16,16,40,7,,1,4,,83,27,"0.27",144,144,179,59
Public Constructor,"com.maxmind.geoip.LookupService.LookupService",,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,0,3,1,1,9,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"3.00",1,1,1,1
Public Constructor,"com.maxmind.geoip.LookupService.LookupService",,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,0,5,1,3,9,4,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"1.80",1,1,1,1
Public Constructor,"com.maxmind.geoip.LookupService.LookupService",,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,0,3,1,1,13,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"4.33",1,1,1,1
Public Constructor,"com.maxmind.geoip.LookupService.LookupService",,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,0,6,1,4,13,5,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,"2.17",1,1,1,1
Method,"com.maxmind.geoip.LookupService._check_mtime",,,,,,,,,,,,,,,,,,,,,,,,,,,9,17,0,15,2,10,2,6,4,1,6,10,2,9,4,4,4,1,1,,,,,0,,3,0,,,"0.13",4,4,4,1
Private Static Method,"com.maxmind.geoip.LookupService.bytesToLong",,,,,,,,,,,,,,,,,,,,,,,,,,,8,18,0,11,3,7,7,1,3,0,7,10,4,6,3,3,3,1,0,,,,,0,,2,0,,,"0.64",3,3,3,1
Public Method,"com.maxmind.geoip.LookupService.close",,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,0,9,1,5,4,2,3,0,2,5,1,4,3,3,3,1,1,,,,,0,,2,0,,,"0.44",3,3,3,1
Public Method,"com.maxmind.geoip.LookupService.getCountry",,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,0,9,2,5,7,5,2,0,4,6,2,4,2,2,2,1,2,,,,,0,,1,0,,,"0.78",2,2,2,1
Public Method,"com.maxmind.geoip.LookupService.getCountry",,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,3,1,1,7,4,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.33",1,1,1,1
Public Method,"com.maxmind.geoip.LookupService.getCountry",,,,,,,,,,,,,,,,,,,,,,,,,,,10,18,0,11,2,7,7,2,4,1,4,7,2,6,3,3,4,1,1,,,,,0,,1,0,,,"0.64",3,3,4,1
Public Method,"com.maxmind.geoip.LookupService.getCountryV6",,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,0,9,2,5,7,3,2,0,4,6,2,4,2,2,2,1,2,,,,,0,,1,0,,,"0.78",2,2,2,1
Public Method,"com.maxmind.geoip.LookupService.getCountryV6",,,,,,,,,,,,,,,,,,,,,,,,,,,9,18,0,11,2,7,7,2,4,1,4,7,2,6,3,3,4,1,1,,,,,0,,1,0,,,"0.64",3,3,4,1
