Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BundleAnalysingComponentInstantiationListener.java",1,1,2,1,8,0,8,0,,,,,1,0,1,12,,12,12,3,12,,0,9,0,3,,165,21,129,56,61,16,,,,69,96,54,53,,,,,,4,4,10,4,,,3,,,,"0.12",23,23,33,15
File,"PaxWicketSpringBeanComponentInjector.java",2,2,3,1,8,0,8,0,,,,,4,0,3,7,,7,7,3,7,,0,2,0,5,,148,19,95,43,39,34,,,,50,70,44,31,,,,,,4,4,10,4,,,3,,,,"0.36",15,15,24,10
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ops4j",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ops4j.pax",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ops4j.pax.wicket",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ops4j.pax.wicket.internal",1,1,2,1,8,0,8,0,,,,,1,0,1,,1,,12,3,12,,0,9,0,3,,165,21,129,56,61,16,,,,69,96,54,53,,,,,,4,4,10,4,,,3,,,,"0.12",23,23,33,15
Public Class,"org.ops4j.pax.wicket.internal.BundleAnalysingComponentInstantiationListener",1,1,2,1,8,0,8,0,1,30,30,0,,0,1,,,,12,3,12,12,0,9,0,3,,137,17,105,32,61,16,,,,45,72,30,53,,,,,,4,4,10,4,,1,3,,83,75,"0.15",23,23,33,15
Public Constructor,"org.ops4j.pax.wicket.internal.BundleAnalysingComponentInstantiationListener.BundleAnalysingComponentInstantiationListener",,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,0,12,5,7,1,12,2,0,6,8,3,7,2,2,2,1,0,,,,,0,,1,0,,,"0.08",2,2,2,1
Private Method,"org.ops4j.pax.wicket.internal.BundleAnalysingComponentInstantiationListener.checkAccessabilityOfField",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,1,2,0,2,2,0,1,3,1,2,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
