Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Faction.java",2,2,2,1,9,1,7,0,,,,,1,1,0,94,,94,93,11,94,,0,1,0,93,,1248,259,794,234,370,197,,,,370,583,237,418,,,,,,11,11,14,5,,,3,,,,"0.25",201,201,216,124
File,"MPlayer.java",2,2,2,1,9,1,7,1,,,,,1,2,0,68,,68,66,11,68,,0,0,0,68,,950,176,569,170,274,205,,,,277,433,162,302,,,,,,14,14,15,6,,,3,,,,"0.36",151,151,158,95
File,"MPlayerColl.java",2,2,2,1,13,1,10,1,,,,,2,1,1,7,,7,6,0,7,,0,0,0,7,,123,26,77,29,36,20,,,,38,60,29,37,,,,,,7,7,7,3,,,2,,,,"0.26",19,19,19,9
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.massivecraft",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.massivecraft.factions",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.massivecraft.factions.entity",2,2,2,1,10,1,7,1,,,,,4,4,1,,3,,165,22,169,,0,1,0,168,,2321,461,1440,433,680,422,,,,685,1076,428,757,,,,,,14,14,15,6,,,3,,,,"0.29",371,371,393,228
Public Class,"com.massivecraft.factions.entity.Faction",2,2,2,1,9,1,7,0,3,45,45,0,,1,0,,,,93,11,94,94,0,1,0,93,,1205,255,755,195,370,197,,,,331,544,198,418,,,,,,11,11,14,5,,2,3,,95,90,"0.26",201,201,216,124
Private Method,"com.massivecraft.factions.entity.Faction.checkMPlayerIndex",,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,0,15,4,8,0,12,3,0,6,9,4,8,3,3,3,1,0,,,,,0,,2,0,,,"0.00",3,3,3,1
Public Method,"com.massivecraft.factions.entity.Faction.describeTo",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
