Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"PodamFactoryImpl.java",6,6,7,2,64,10,35,19,,,,,1,0,6,45,,45,45,3,45,,0,37,0,8,,3076,522,1641,467,1179,913,,,,678,984,349,761,,,,,,26,26,30,10,,,5,,,,"0.56",308,308,351,94
Package,"uk",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.co",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.co.jemos",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.co.jemos.podam",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.co.jemos.podam.api",6,6,7,2,64,10,35,19,,,,,1,0,6,,1,,45,3,45,,0,37,0,8,,3076,522,1641,467,1179,913,,,,678,984,349,761,,,,,,26,26,30,10,,,5,,,,"0.56",308,308,351,94
Public Class,"uk.co.jemos.podam.api.PodamFactoryImpl",6,6,7,2,64,10,35,19,2,76,76,0,,0,6,,,,45,3,45,45,0,37,0,8,,3022,517,1592,418,1179,913,,,,629,935,300,761,,,,,,26,26,30,10,,1,5,,81,58,"0.57",308,308,351,94
Public Constructor,"uk.co.jemos.podam.api.PodamFactoryImpl.PodamFactoryImpl",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,4,1,2,3,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.75",1,1,1,1
Public Constructor,"uk.co.jemos.podam.api.PodamFactoryImpl.PodamFactoryImpl",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,3,1,1,6,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Public Constructor,"uk.co.jemos.podam.api.PodamFactoryImpl.PodamFactoryImpl",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,3,1,1,7,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.33",1,1,1,1
Public Constructor,"uk.co.jemos.podam.api.PodamFactoryImpl.PodamFactoryImpl",,,,,,,,,,,,,,,,,,,,,,,,,,,5,14,0,5,2,2,9,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"1.80",1,1,1,1
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.containsAttributeStrategyAnnotation",,,,,,,,,,,,,,,,,,,,,,,,,,,2,23,2,12,3,7,9,3,3,0,4,8,3,5,3,3,3,3,2,,,,,2,,2,2,,,"0.75",3,3,3,3
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.fillCollection",,,,,,,,,,,,,,,,,,,,,,,,,,,7,56,2,27,15,20,27,11,4,1,12,15,9,14,3,3,4,1,0,,,,,0,,1,0,,,"1.00",3,3,4,1
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.fillCollection",,,,,,,,,,,,,,,,,,,,,,,,,,,8,98,11,53,10,38,34,15,54,2,20,30,8,24,9,9,12,3,6,,,,,3,,3,2,,,"0.64",9,9,12,3
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.fillMap",,,,,,,,,,,,,,,,,,,,,,,,,,,7,67,3,38,20,31,26,18,4,1,22,25,12,23,3,3,4,1,0,,,,,0,,1,0,,,"0.68",3,3,4,1
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.fillMap",,,,,,,,,,,,,,,,,,,,,,,,,,,7,100,17,59,14,45,24,25,42,2,35,44,12,36,8,8,9,3,4,,,,,3,,3,2,,,"0.41",8,8,9,3
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.fillTypeArgMap",,,,,,,,,,,,,,,,,,,,,,,,,,,9,72,5,47,14,33,20,18,120,2,23,33,12,28,10,10,11,1,1,,,,,0,,4,0,,,"0.43",10,10,11,1
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getBooleanValueForAnnotation",,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,6,11,3,7,7,4,3,0,5,9,4,5,3,3,3,3,2,,,,,2,,2,2,,,"0.64",3,3,3,3
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getByteValueWithinRange",,,,,,,,,,,,,,,,,,,,,,,,,,,7,58,10,31,9,23,17,10,6,1,13,20,8,15,6,6,7,3,4,,,,,3,,4,2,,,"0.55",6,6,7,3
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getCharacterValueWithinRange",,,,,,,,,,,,,,,,,,,,,,,,,,,5,47,12,23,7,16,12,7,5,1,10,16,7,12,5,5,5,3,3,,,,,3,,4,2,,,"0.52",5,5,5,3
Private Generic Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getDefaultFieldValue",,,,,,,,,,,,,,,,,,,,,,,,,,,7,39,8,18,5,13,13,7,3,0,8,11,4,9,3,3,3,1,2,,,,,0,,2,0,,,"0.72",3,3,3,1
TypeVariable,"uk.co.jemos.podam.api.PodamFactoryImpl.getDefaultFieldValue.T",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getDoubleValueWithinRange",,,,,,,,,,,,,,,,,,,,,,,,,,,8,56,13,31,9,23,12,10,6,1,13,20,8,15,6,6,7,3,4,,,,,3,,4,2,,,"0.39",6,6,7,3
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getField",,,,,,,,,,,,,,,,,,,,,,,,,,,5,32,3,17,3,12,12,4,6,1,7,11,3,8,4,4,4,3,2,,,,,2,,2,2,,,"0.71",4,4,4,3
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getFloatValueWithinRange",,,,,,,,,,,,,,,,,,,,,,,,,,,8,62,11,31,9,23,20,10,6,1,13,20,8,15,6,6,7,3,4,,,,,3,,4,2,,,"0.65",6,6,7,3
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getIntegerValueWithinRange",,,,,,,,,,,,,,,,,,,,,,,,,,,8,63,13,31,9,23,19,10,6,1,13,20,8,15,6,6,7,3,4,,,,,3,,4,2,,,"0.61",6,6,7,3
Private Method,"uk.co.jemos.podam.api.PodamFactoryImpl.getLongValueWithinRange",,,,,,,,,,,,,,,,,,,,,,,,,,,8,59,11,31,9,23,17,10,6,1,13,20,8,15,6,6,7,3,4,,,,,3,,4,2,,,"0.55",6,6,7,3
