Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CategoryMap.java",1,1,1,1,4,0,4,0,,,,,1,1,0,21,,21,20,2,21,,0,0,0,21,,155,27,102,51,28,26,,,,36,59,33,26,,,,,,2,2,2,1,,,1,,,,"0.25",22,22,24,21
File,"PDPModel.java",1,1,1,0,9,0,6,3,,,,,10,0,0,44,,44,50,32,50,,5,0,4,41,,712,79,353,143,163,297,,,,173,235,110,131,,,,,,4,4,4,1,,,2,,,,"0.84",50,50,51,38
Package,"rinde",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"rinde.sim",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"rinde.sim.core",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"rinde.sim.core.model",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"rinde.sim.core.model.pdp",1,1,1,0,9,0,6,3,,,,,10,0,0,,1,,50,32,50,,5,0,4,41,,712,79,353,143,163,297,,,,173,235,110,131,,,,,,4,4,4,1,,,2,,,,"0.84",50,50,51,38
Public Class,"rinde.sim.core.model.pdp.PDPModel",1,1,1,1,13,0,7,5,4,31,31,0,,0,0,,,,27,11,27,27,0,0,3,24,,680,74,326,116,163,297,,,,146,208,83,131,,,,,,4,4,4,1,,1,2,,78,75,"0.91",38,38,39,27
Protected Interface,"rinde.sim.core.model.pdp.PDPModel.Action",0,0,0,0,0,0,0,0,0,1,1,1,,0,0,,,,2,0,2,2,2,0,0,0,,13,1,4,3,0,8,,,,2,3,3,0,,,,,,0,0,0,0,,0,0,,0,0,"2.00",0,0,0,0
Abstract Method,"rinde.sim.core.model.pdp.PDPModel.Action.isDone",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,1,1,0,4,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"4.00",0,0,0,0
Abstract Method,"rinde.sim.core.model.pdp.PDPModel.Action.perform",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,1,1,0,4,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"4.00",0,0,0,0
Class,"rinde.sim.core.model.pdp.PDPModel.DeliverAction",1,1,1,1,4,0,4,0,1,6,6,0,,0,0,,,,2,0,2,9,0,0,0,2,,13,2,11,5,3,0,,,,3,6,3,3,,,,,,1,1,1,1,,2,0,,0,0,"0.00",2,2,2,2
Public Constructor,"rinde.sim.core.model.pdp.PDPModel.DeliverAction.DeliverAction",,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"rinde.sim.core.model.pdp.PDPModel.DeliverAction.finish",,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,0,5,2,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Constructor,"rinde.sim.core.model.pdp.PDPModel.PDPModel",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Constructor,"rinde.sim.core.model.pdp.PDPModel.PDPModel",,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,1,11,1,9,4,15,1,0,9,10,1,9,1,1,1,1,0,,,,,0,,0,0,,,"0.36",1,1,1,1
Public Class,"rinde.sim.core.model.pdp.PDPModel.PDPModelEvent",1,1,1,1,7,0,7,0,1,3,3,0,,0,0,,,,1,3,1,1,0,0,0,1,,15,3,12,6,4,0,,,,7,9,5,4,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Constructor,"rinde.sim.core.model.pdp.PDPModel.PDPModelEvent.PDPModelEvent",,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,0,7,2,4,0,4,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
